LocationType,Location,TimeFrame,DataFormat,Statistics
State,Maryland,2003,Number,159414
State,Maryland,2003,Percent,0.115
State,Maryland,2004,Number,156087
State,Maryland,2004,Percent,0.111
State,Maryland,2005,Number,149712
State,Maryland,2005,Percent,0.109
State,Maryland,2006,Number,134767
State,Maryland,2006,Percent,0.101
State,Maryland,2007,Number,141532
State,Maryland,2007,Percent,0.106
State,Maryland,2008,Number,137831
State,Maryland,2008,Percent,0.104
State,Maryland,2009,Number,157164
State,Maryland,2009,Percent,0.118
State,Maryland,2010,Number,174469
State,Maryland,2010,Percent,0.131
State,Maryland,2011,Number,184238
State,Maryland,2011,Percent,0.139
State,Maryland,2012,Number,187400
State,Maryland,2012,Percent,0.141
State,Maryland,2013,Number,184220
State,Maryland,2013,Percent,0.139
State,Maryland,2014,Number,183531
State,Maryland,2014,Percent,0.138
State,Maryland,2015,Number,184229
State,Maryland,2015,Percent,0.139
State,Maryland,2016,Number,172868
State,Maryland,2016,Percent,0.13
State,Maryland,2017,Number,165365
State,Maryland,2017,Percent,0.124
State,Maryland,2018,Number,159872
State,Maryland,2018,Percent,0.121
State,Maryland,2019,Number,160600
State,Maryland,2019,Percent,0.123
State,Maryland,2020,Number,146629
State,Maryland,2020,Percent,0.112
City,Baltimore,2003,Number,42584
City,Baltimore,2003,Percent,0.27
City,Baltimore,2004,Number,42335
City,Baltimore,2004,Percent,0.266
City,Baltimore,2005,Number,48261
City,Baltimore,2005,Percent,0.309
City,Baltimore,2006,Number,38792
City,Baltimore,2006,Percent,0.255
City,Baltimore,2007,Number,40775
City,Baltimore,2007,Percent,0.27
City,Baltimore,2008,Number,36563
City,Baltimore,2008,Percent,0.245
City,Baltimore,2009,Number,39342
City,Baltimore,2009,Percent,0.282
City,Baltimore,2010,Number,44646
City,Baltimore,2010,Percent,0.343
City,Baltimore,2011,Number,46393
City,Baltimore,2011,Percent,0.356
City,Baltimore,2012,Number,43892
City,Baltimore,2012,Percent,0.334
City,Baltimore,2013,Number,41957
City,Baltimore,2013,Percent,0.326
City,Baltimore,2014,Number,41670
City,Baltimore,2014,Percent,0.322
City,Baltimore,2015,Number,43515
City,Baltimore,2015,Percent,0.339
City,Baltimore,2016,Number,39682
City,Baltimore,2016,Percent,0.313
City,Baltimore,2017,Number,39518
City,Baltimore,2017,Percent,0.318
City,Baltimore,2018,Number,31447
City,Baltimore,2018,Percent,0.261
City,Baltimore,2019,Number,35693
City,Baltimore,2019,Percent,0.306
City,Baltimore,2020,Number,30709
City,Baltimore,2020,Percent,0.268
County,Allegany,2003,Number,2781
County,Allegany,2003,Percent,0.195
County,Allegany,2004,Number,2482
County,Allegany,2004,Percent,0.178
County,Allegany,2005,Number,2692
County,Allegany,2005,Percent,0.196
County,Allegany,2006,Number,2302
County,Allegany,2006,Percent,0.175
County,Allegany,2007,Number,2310
County,Allegany,2007,Percent,0.175
County,Allegany,2008,Number,2459
County,Allegany,2008,Percent,0.19
County,Allegany,2009,Number,2885
County,Allegany,2009,Percent,0.224
County,Allegany,2010,Number,3144
County,Allegany,2010,Percent,0.239
County,Allegany,2011,Number,3209
County,Allegany,2011,Percent,0.251
County,Allegany,2012,Number,3253
County,Allegany,2012,Percent,0.256
County,Allegany,2013,Number,3107
County,Allegany,2013,Percent,0.247
County,Allegany,2014,Number,2868
County,Allegany,2014,Percent,0.229
County,Allegany,2015,Number,3363
County,Allegany,2015,Percent,0.271
County,Allegany,2016,Number,2730
County,Allegany,2016,Percent,0.221
County,Allegany,2017,Number,2793
County,Allegany,2017,Percent,0.228
County,Allegany,2018,Number,2557
County,Allegany,2018,Percent,0.213
County,Allegany,2019,Number,2456
County,Allegany,2019,Percent,0.208
County,Allegany,2020,Number,2186
County,Allegany,2020,Percent,0.186
County,Anne Arundel,2003,Number,9239
County,Anne Arundel,2003,Percent,0.074
County,Anne Arundel,2004,Number,9611
County,Anne Arundel,2004,Percent,0.076
County,Anne Arundel,2005,Number,8886
County,Anne Arundel,2005,Percent,0.071
County,Anne Arundel,2006,Number,6951
County,Anne Arundel,2006,Percent,0.058
County,Anne Arundel,2007,Number,7752
County,Anne Arundel,2007,Percent,0.063
County,Anne Arundel,2008,Number,8449
County,Anne Arundel,2008,Percent,0.07
County,Anne Arundel,2009,Number,10873
County,Anne Arundel,2009,Percent,0.07
County,Anne Arundel,2010,Number,10846
County,Anne Arundel,2010,Percent,0.088
County,Anne Arundel,2011,Number,11306
County,Anne Arundel,2011,Percent,0.092
County,Anne Arundel,2012,Number,11281
County,Anne Arundel,2012,Percent,0.091
County,Anne Arundel,2013,Number,11693
County,Anne Arundel,2013,Percent,0.093
County,Anne Arundel,2014,Number,11567
County,Anne Arundel,2014,Percent,0.092
County,Anne Arundel,2015,Number,10107
County,Anne Arundel,2015,Percent,0.081
County,Anne Arundel,2016,Number,11699
County,Anne Arundel,2016,Percent,0.093
County,Anne Arundel,2017,Number,10158
County,Anne Arundel,2017,Percent,0.08
County,Anne Arundel,2018,Number,12144
County,Anne Arundel,2018,Percent,0.096
County,Anne Arundel,2019,Number,10206
County,Anne Arundel,2019,Percent,0.081
County,Anne Arundel,2020,Number,8048
County,Anne Arundel,2020,Percent,0.063
County,Baltimore City,2003,Number,42584
County,Baltimore City,2003,Percent,0.27
County,Baltimore City,2004,Number,42335
County,Baltimore City,2004,Percent,0.266
County,Baltimore City,2005,Number,48261
County,Baltimore City,2005,Percent,0.309
County,Baltimore City,2006,Number,38792
County,Baltimore City,2006,Percent,0.255
County,Baltimore City,2007,Number,40775
County,Baltimore City,2007,Percent,0.27
County,Baltimore City,2008,Number,36563
County,Baltimore City,2008,Percent,0.245
County,Baltimore City,2009,Number,39342
County,Baltimore City,2009,Percent,0.282
County,Baltimore City,2010,Number,44646
County,Baltimore City,2010,Percent,0.343
County,Baltimore City,2011,Number,46393
County,Baltimore City,2011,Percent,0.356
County,Baltimore City,2012,Number,43892
County,Baltimore City,2012,Percent,0.334
County,Baltimore City,2013,Number,41957
County,Baltimore City,2013,Percent,0.326
County,Baltimore City,2014,Number,41670
County,Baltimore City,2014,Percent,0.322
County,Baltimore City,2015,Number,43515
County,Baltimore City,2015,Percent,0.339
County,Baltimore City,2016,Number,39682
County,Baltimore City,2016,Percent,0.313
County,Baltimore City,2017,Number,39518
County,Baltimore City,2017,Percent,0.318
County,Baltimore City,2018,Number,31447
County,Baltimore City,2018,Percent,0.261
County,Baltimore City,2019,Number,35693
County,Baltimore City,2019,Percent,0.306
County,Baltimore City,2020,Number,30709
County,Baltimore City,2020,Percent,0.268
County,Baltimore County,2003,Number,17729
County,Baltimore County,2003,Percent,0.099
County,Baltimore County,2004,Number,18036
County,Baltimore County,2004,Percent,0.1
County,Baltimore County,2005,Number,15603
County,Baltimore County,2005,Percent,0.088
County,Baltimore County,2006,Number,16661
County,Baltimore County,2006,Percent,0.096
County,Baltimore County,2007,Number,16116
County,Baltimore County,2007,Percent,0.092
County,Baltimore County,2008,Number,16597
County,Baltimore County,2008,Percent,0.097
County,Baltimore County,2009,Number,17359
County,Baltimore County,2009,Percent,0.102
County,Baltimore County,2010,Number,18970
County,Baltimore County,2010,Percent,0.11
County,Baltimore County,2011,Number,21674
County,Baltimore County,2011,Percent,0.125
County,Baltimore County,2012,Number,22765
County,Baltimore County,2012,Percent,0.13
County,Baltimore County,2013,Number,22685
County,Baltimore County,2013,Percent,0.129
County,Baltimore County,2014,Number,22777
County,Baltimore County,2014,Percent,0.13
County,Baltimore County,2015,Number,21024
County,Baltimore County,2015,Percent,0.119
County,Baltimore County,2016,Number,20966
County,Baltimore County,2016,Percent,0.119
County,Baltimore County,2017,Number,18533
County,Baltimore County,2017,Percent,0.104
County,Baltimore County,2018,Number,22854
County,Baltimore County,2018,Percent,0.13
County,Baltimore County,2019,Number,19181
County,Baltimore County,2019,Percent,0.11
County,Baltimore County,2020,Number,19540
County,Baltimore County,2020,Percent,0.112
County,Calvert,2003,Number,1602
County,Calvert,2003,Percent,0.07
County,Calvert,2004,Number,1485
County,Calvert,2004,Percent,0.065
County,Calvert,2005,Number,1374
County,Calvert,2005,Percent,0.061
County,Calvert,2006,Number,1277
County,Calvert,2006,Percent,0.059
County,Calvert,2007,Number,1377
County,Calvert,2007,Percent,0.062
County,Calvert,2008,Number,1431
County,Calvert,2008,Percent,0.066
County,Calvert,2009,Number,1701
County,Calvert,2009,Percent,0.075
County,Calvert,2010,Number,1810
County,Calvert,2010,Percent,0.079
County,Calvert,2011,Number,1970
County,Calvert,2011,Percent,0.088
County,Calvert,2012,Number,2007
County,Calvert,2012,Percent,0.091
County,Calvert,2013,Number,1895
County,Calvert,2013,Percent,0.086
County,Calvert,2014,Number,1669
County,Calvert,2014,Percent,0.077
County,Calvert,2015,Number,1709
County,Calvert,2015,Percent,0.081
County,Calvert,2016,Number,1570
County,Calvert,2016,Percent,0.074
County,Calvert,2017,Number,1493
County,Calvert,2017,Percent,0.07
County,Calvert,2018,Number,1394
County,Calvert,2018,Percent,0.066
County,Calvert,2019,Number,1489
County,Calvert,2019,Percent,0.071
County,Calvert,2020,Number,1110
County,Calvert,2020,Percent,0.053
County,Caroline,2003,Number,1212
County,Caroline,2003,Percent,0.157
County,Caroline,2004,Number,1118
County,Caroline,2004,Percent,0.141
County,Caroline,2005,Number,1274
County,Caroline,2005,Percent,0.163
County,Caroline,2006,Number,1203
County,Caroline,2006,Percent,0.155
County,Caroline,2007,Number,1289
County,Caroline,2007,Percent,0.162
County,Caroline,2008,Number,1185
County,Caroline,2008,Percent,0.149
County,Caroline,2009,Number,1525
County,Caroline,2009,Percent,0.188
County,Caroline,2010,Number,1556
County,Caroline,2010,Percent,0.192
County,Caroline,2011,Number,1643
County,Caroline,2011,Percent,0.208
County,Caroline,2012,Number,1813
County,Caroline,2012,Percent,0.234
County,Caroline,2013,Number,1848
County,Caroline,2013,Percent,0.242
County,Caroline,2014,Number,1800
County,Caroline,2014,Percent,0.237
County,Caroline,2015,Number,1715
County,Caroline,2015,Percent,0.229
County,Caroline,2016,Number,1662
County,Caroline,2016,Percent,0.221
County,Caroline,2017,Number,1576
County,Caroline,2017,Percent,0.205
County,Caroline,2018,Number,1529
County,Caroline,2018,Percent,0.199
County,Caroline,2019,Number,1497
County,Caroline,2019,Percent,0.196
County,Caroline,2020,Number,1374
County,Caroline,2020,Percent,0.179
County,Carroll,2003,Number,2339
County,Carroll,2003,Percent,0.056
County,Carroll,2004,Number,2315
County,Carroll,2004,Percent,0.055
County,Carroll,2005,Number,1903
County,Carroll,2005,Percent,0.046
County,Carroll,2006,Number,1841
County,Carroll,2006,Percent,0.045
County,Carroll,2007,Number,2127
County,Carroll,2007,Percent,0.052
County,Carroll,2008,Number,2556
County,Carroll,2008,Percent,0.064
County,Carroll,2009,Number,2708
County,Carroll,2009,Percent,0.065
County,Carroll,2010,Number,2827
County,Carroll,2010,Percent,0.069
County,Carroll,2011,Number,2881
County,Carroll,2011,Percent,0.073
County,Carroll,2012,Number,3034
County,Carroll,2012,Percent,0.078
County,Carroll,2013,Number,2956
County,Carroll,2013,Percent,0.078
County,Carroll,2014,Number,2759
County,Carroll,2014,Percent,0.074
County,Carroll,2015,Number,2644
County,Carroll,2015,Percent,0.072
County,Carroll,2016,Number,2360
County,Carroll,2016,Percent,0.065
County,Carroll,2017,Number,2015
County,Carroll,2017,Percent,0.055
County,Carroll,2018,Number,2197
County,Carroll,2018,Percent,0.061
County,Carroll,2019,Number,2038
County,Carroll,2019,Percent,0.057
County,Carroll,2020,Number,2011
County,Carroll,2020,Percent,0.056
County,Cecil,2003,Number,2832
County,Cecil,2003,Percent,0.116
County,Cecil,2004,Number,2735
County,Cecil,2004,Percent,0.11
County,Cecil,2005,Number,2799
County,Cecil,2005,Percent,0.115
County,Cecil,2006,Number,2476
County,Cecil,2006,Percent,0.105
County,Cecil,2007,Number,3112
County,Cecil,2007,Percent,0.128
