"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"1","24005400100","Census Tract 4001"," Baltimore County"," Maryland","number_households",2419,158,"2010"
"2","24005400100","Census Tract 4001"," Baltimore County"," Maryland","median_income",38967,8001,"2010"
"3","24005400200","Census Tract 4002"," Baltimore County"," Maryland","number_households",1107,72,"2010"
"4","24005400200","Census Tract 4002"," Baltimore County"," Maryland","median_income",67936,8305,"2010"
"5","24005400400","Census Tract 4004"," Baltimore County"," Maryland","number_households",2144,99,"2010"
"6","24005400400","Census Tract 4004"," Baltimore County"," Maryland","median_income",99704,6499,"2010"
"7","24005400500","Census Tract 4005"," Baltimore County"," Maryland","number_households",815,35,"2010"
"8","24005400500","Census Tract 4005"," Baltimore County"," Maryland","median_income",112313,18592,"2010"
"9","24005400600","Census Tract 4006"," Baltimore County"," Maryland","number_households",1181,83,"2010"
"10","24005400600","Census Tract 4006"," Baltimore County"," Maryland","median_income",63780,5719,"2010"
"11","24005400701","Census Tract 4007.01"," Baltimore County"," Maryland","number_households",1301,80,"2010"
"12","24005400701","Census Tract 4007.01"," Baltimore County"," Maryland","median_income",62902,9964,"2010"
"13","24005400702","Census Tract 4007.02"," Baltimore County"," Maryland","number_households",695,45,"2010"
"14","24005400702","Census Tract 4007.02"," Baltimore County"," Maryland","median_income",71953,12851,"2010"
"15","24005400800","Census Tract 4008"," Baltimore County"," Maryland","number_households",1181,36,"2010"
"16","24005400800","Census Tract 4008"," Baltimore County"," Maryland","median_income",54592,5083,"2010"
"17","24005400900","Census Tract 4009"," Baltimore County"," Maryland","number_households",766,50,"2010"
"18","24005400900","Census Tract 4009"," Baltimore County"," Maryland","median_income",48849,8007,"2010"
"19","24005401000","Census Tract 4010"," Baltimore County"," Maryland","number_households",815,74,"2010"
"20","24005401000","Census Tract 4010"," Baltimore County"," Maryland","median_income",71125,19614,"2010"
"21","24005401101","Census Tract 4011.01"," Baltimore County"," Maryland","number_households",2329,146,"2010"
"22","24005401101","Census Tract 4011.01"," Baltimore County"," Maryland","median_income",58750,5806,"2010"
"23","24005401102","Census Tract 4011.02"," Baltimore County"," Maryland","number_households",478,16,"2010"
"24","24005401102","Census Tract 4011.02"," Baltimore County"," Maryland","median_income",41829,7131,"2010"
"25","24005401200","Census Tract 4012"," Baltimore County"," Maryland","number_households",1233,54,"2010"
"26","24005401200","Census Tract 4012"," Baltimore County"," Maryland","median_income",65724,10236,"2010"
"27","24005401301","Census Tract 4013.01"," Baltimore County"," Maryland","number_households",1395,97,"2010"
"28","24005401301","Census Tract 4013.01"," Baltimore County"," Maryland","median_income",70107,12533,"2010"
"29","24005401302","Census Tract 4013.02"," Baltimore County"," Maryland","number_households",1318,56,"2010"
"30","24005401302","Census Tract 4013.02"," Baltimore County"," Maryland","median_income",41282,5758,"2010"
"31","24005401400","Census Tract 4014"," Baltimore County"," Maryland","number_households",614,25,"2010"
"32","24005401400","Census Tract 4014"," Baltimore County"," Maryland","median_income",89722,11580,"2010"
"33","24005401503","Census Tract 4015.03"," Baltimore County"," Maryland","number_households",2541,104,"2010"
"34","24005401503","Census Tract 4015.03"," Baltimore County"," Maryland","median_income",78229,8756,"2010"
"35","24005401504","Census Tract 4015.04"," Baltimore County"," Maryland","number_households",2069,126,"2010"
"36","24005401504","Census Tract 4015.04"," Baltimore County"," Maryland","median_income",75735,12258,"2010"
"37","24005401505","Census Tract 4015.05"," Baltimore County"," Maryland","number_households",1402,79,"2010"
"38","24005401505","Census Tract 4015.05"," Baltimore County"," Maryland","median_income",64955,5706,"2010"
"39","24005401506","Census Tract 4015.06"," Baltimore County"," Maryland","number_households",1828,79,"2010"
"40","24005401506","Census Tract 4015.06"," Baltimore County"," Maryland","median_income",69881,20513,"2010"
"41","24005401507","Census Tract 4015.07"," Baltimore County"," Maryland","number_households",2193,133,"2010"
"42","24005401507","Census Tract 4015.07"," Baltimore County"," Maryland","median_income",53194,9591,"2010"
"43","24005402201","Census Tract 4022.01"," Baltimore County"," Maryland","number_households",1137,77,"2010"
"44","24005402201","Census Tract 4022.01"," Baltimore County"," Maryland","median_income",99375,9241,"2010"
"45","24005402202","Census Tract 4022.02"," Baltimore County"," Maryland","number_households",594,51,"2010"
"46","24005402202","Census Tract 4022.02"," Baltimore County"," Maryland","median_income",98636,28541,"2010"
"47","24005402302","Census Tract 4023.02"," Baltimore County"," Maryland","number_households",1700,88,"2010"
"48","24005402302","Census Tract 4023.02"," Baltimore County"," Maryland","median_income",68843,7777,"2010"
"49","24005402303","Census Tract 4023.03"," Baltimore County"," Maryland","number_households",2562,139,"2010"
"50","24005402303","Census Tract 4023.03"," Baltimore County"," Maryland","median_income",54156,4714,"2010"
"51","24005402304","Census Tract 4023.04"," Baltimore County"," Maryland","number_households",1427,67,"2010"
"52","24005402304","Census Tract 4023.04"," Baltimore County"," Maryland","median_income",56875,8472,"2010"
"53","24005402305","Census Tract 4023.05"," Baltimore County"," Maryland","number_households",873,21,"2010"
"54","24005402305","Census Tract 4023.05"," Baltimore County"," Maryland","median_income",33886,4638,"2010"
"55","24005402306","Census Tract 4023.06"," Baltimore County"," Maryland","number_households",1398,106,"2010"
"56","24005402306","Census Tract 4023.06"," Baltimore County"," Maryland","median_income",54265,15339,"2010"
"57","24005402307","Census Tract 4023.07"," Baltimore County"," Maryland","number_households",2584,135,"2010"
"58","24005402307","Census Tract 4023.07"," Baltimore County"," Maryland","median_income",52158,6533,"2010"
"59","24005402403","Census Tract 4024.03"," Baltimore County"," Maryland","number_households",863,31,"2010"
"60","24005402403","Census Tract 4024.03"," Baltimore County"," Maryland","median_income",44479,13364,"2010"
"61","24005402404","Census Tract 4024.04"," Baltimore County"," Maryland","number_households",2220,130,"2010"
"62","24005402404","Census Tract 4024.04"," Baltimore County"," Maryland","median_income",50495,11463,"2010"
"63","24005402405","Census Tract 4024.05"," Baltimore County"," Maryland","number_households",1387,97,"2010"
"64","24005402405","Census Tract 4024.05"," Baltimore County"," Maryland","median_income",47530,5218,"2010"
