"","geoid","census_tract","county","x2010_total","x2010_white","x2010_black","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_hispanic"
"1","24510010100","Census Tract 101"," Baltimore city",3028,2857,115,287,3010,2627,198,117
"2","24510010200","Census Tract 102"," Baltimore city",3516,2770,539,716,3042,2707,81,97
"3","24510010300","Census Tract 103"," Baltimore city",2002,1776,12,69,2341,2033,18,94
"4","24510010400","Census Tract 104"," Baltimore city",1900,1786,8,65,2920,2266,191,313
"5","24510010500","Census Tract 105"," Baltimore city",2252,1837,254,456,1919,1743,72,283
"6","24510020100","Census Tract 201"," Baltimore city",2502,1810,374,772,1662,1265,222,186
"7","24510020200","Census Tract 202"," Baltimore city",2187,1696,111,1072,1605,1187,221,178
"8","24510020300","Census Tract 203"," Baltimore city",3001,2357,202,143,3910,3007,364,419
"9","24510030100","Census Tract 301"," Baltimore city",2025,510,1475,86,2109,376,1678,132
"10","24510030200","Census Tract 302"," Baltimore city",2519,1109,1038,84,2659,1623,704,236
"11","24510040100","Census Tract 401"," Baltimore city",2993,1793,324,173,4869,2456,1264,406
"12","24510040200","Census Tract 402"," Baltimore city",1419,684,411,43,1161,406,521,33
"13","24510060100","Census Tract 601"," Baltimore city",3128,1080,1966,400,2925,985,1365,606
"14","24510060200","Census Tract 602"," Baltimore city",2851,1263,1126,605,2973,1244,1428,308
"15","24510060300","Census Tract 603"," Baltimore city",1731,495,1170,133,1709,905,612,140
"16","24510060400","Census Tract 604"," Baltimore city",1443,243,873,21,1875,612,949,57
"17","24510070100","Census Tract 701"," Baltimore city",2645,53,2576,24,2569,73,2158,196
"18","24510070200","Census Tract 702"," Baltimore city",3431,60,3191,263,3735,96,2989,381
"19","24510070300","Census Tract 703"," Baltimore city",1163,37,1105,0,1133,45,963,95
"20","24510070400","Census Tract 704"," Baltimore city",978,0,880,0,1622,141,1264,60
"21","24510080101","Census Tract 801.01"," Baltimore city",3555,900,2327,181,4083,1215,2646,152
"22","24510080102","Census Tract 801.02"," Baltimore city",2608,101,2471,0,2077,47,2023,6
"23","24510080200","Census Tract 802"," Baltimore city",1211,29,1150,0,796,61,735,0
"24","24510080301","Census Tract 803.01"," Baltimore city",2007,0,1954,33,2171,50,1991,156
"25","24510080302","Census Tract 803.02"," Baltimore city",3281,40,3232,18,2787,124,2581,43
