"","place","median_score","total_score","zip"
"1","Harford/Echodale",2882,22585554,21234
"2","Canton",4470.5,20019097,21224
"3","Allendale/Irvington/S. Hilton",2493.5,16719777,21223
"4","Belair-Edison",2548.5,15482652,21213
"5","Downtown/Seton Hill",3730,15204895,21201
"6","Claremont/Armistead",2240.5,13643477,21205
"7","Greater Mondawmin",2443,13384490,21217
"8","Greenmount East",4612,10501569,21202
"9","Cherry Hill",4565,9707782,21230
"10","Southeastern",2530,8819422,21222
"11",NA,3055,8631768,21286
"12","Greater Charles Village/Barclay",3885,8540278,21211
"13","Hamilton",2794,8135393,21214
"14","Cross Country/Cheswolde",2138,7764827,21215
"15","Chinquapin Park/Belvedere",2055.5,7664728,21239
"16","Cedonia/Frankford",2439.5,7640968,21206
"17","Forest Park/Walbrook",1750,7170374,21216
