,Street,Side,,Starting Rate,"First RateChange",Second Rate Change,Third Rate Change,"Fourth RateChange",Fifth Rate Change,
nit,Hopkins,ES,,-,-,-,$1.50 ,$1.50 ,$1.50 ,
0,Light,WS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,Increase
0,Light,WS,,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.50 ,Maintain
0,Light,WS,,$2.00 ,$2.25 ,$2.00 ,$2.00 ,$2.00 ,$1.75 ,Decrease
nit,Light,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,Little W Lexington,NS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
0,Little W Lexington,SS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
0,Market,ES,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,$2.50 ,
0,Market,WS,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,$2.50 ,
nit,Market,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Calvert,ES,,$2.00 ,-,$2.25 ,$2.25 ,$2.25 ,$2.50 ,
0,N Calvert,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Calvert,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Calvert,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
0,N Charles,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Charles,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Charles,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Charles,ES,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
0,N Charles,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
nit,N Charles,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
nit,N Charles,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
0,N Eutaw,ES,,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.75 ,
0,N Eutaw,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
