300,N Eutaw,ES,,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.00 ,
300,N Eutaw,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.00 
400,N Eutaw,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$2.75 
400,N Eutaw,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$2.75 
Unit,N Eutaw,ES,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 
Unit,N Eutaw,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 
200,N Frederick,WS,,$0.50 ,$2.25 ,$2.50 ,$2.50 ,$2.50 ,$2.75 
100,N Gay,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 
Unit,N Gay,WS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$3.00 
100,N Greene,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 
100,N Greene,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 
200,N Greene,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 
200,N Greene,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 
Unit,N Greene,ES,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.50 
Unit,N Greene,WS,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.50 
Unit,N Hanover,WS,,$2.00 ,-,$2.25 ,$2.25 ,$2.50 ,$2.75 
300,N Howard,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$3.00 
400,N Howard,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 
100,N Liberty,ES,,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$1.75 
100,N Liberty,WS,,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$1.75 
200,N Liberty,ES,,$2.00 ,$2.25 ,$2.00 ,$2.00 ,$2.00 ,$2.00 
200,N Liberty,WS,,$2.00 ,$2.25 ,$2.00 ,$2.00 ,$2.00 ,$2.00 
100,N Paca,ES,,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.25 ,-
100,N Paca,WS,,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.25 ,$2.25 
200,N Paca,WS,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.00 ,$1.75 
300,N Paca,ES,,$2.00 ,$2.25 ,$2.00 ,$1.75 ,$1.75 ,-
300,N Paca,WS,,$2.00 ,$2.25 ,$2.00 ,$1.75 ,$1.75 ,$1.75 
400,N Paca,ES,,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$2.00 ,$2.00 
400,N Paca,WS,,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$2.00 ,$2.00 
