Block,Street,Side,,Starting Rate,"First RateChange",Second Rate Change,Third Rate Change,"Fourth RateChange",Fifth Rate Change,
400,W Redwood,NS,,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.50 ,$2.25 ,
400,W Redwood,SS,,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.50 ,$2.25 ,Increase
100,W Saratoga,NS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.25 ,Maintain
100,W Saratoga,SS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.25 ,Decrease
200,W Saratoga,NS,,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,$1.25 ,
200,W Saratoga,SS,,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,$1.25 ,
300,W Saratoga,NS,,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,$1.75 ,
400,W Saratoga,NS,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,
400,W Saratoga,SS,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,
500,W Saratoga,SS,,-,-,-,-,$1.75 ,$1.50 ,
100,Water,SS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
300,Water,NS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
400,Water,NS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$3.00 ,
500,Water,NS,,-,-,-,$2.50 ,$2.75 ,$3.00 ,
600,Water,NS,,$2.00 ,-,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
