"","address","neighborhood","latest_day","location.lon","location.lat"
"1","900 Cathedral, Baltimore, Md","mtvernon",2.00,-76.61749, 39.29995
"2","1000 Cathedral, Baltimore, Md","mtvernon",1.75,-76.61808, 39.30117
"3","1000 Cathedral, Baltimore, Md","mtvernon",1.75,-76.61808, 39.30117
"4","1100 Cathedral, Baltimore, Md","mtvernon",2.50,-76.61800, 39.30182
"5","1200 Cathedral, Baltimore, Md","mtvernon",1.75,-76.61841, 39.30345
"6","300 Druid Hill Ave, Baltimore, Md","mtvernon",0.50,-76.62153, 39.29658
"7","Unit E Biddle, Baltimore, Md","mtvernon",1.00,-76.58550, 39.30464
"8","Unit E Biddle, Baltimore, Md","mtvernon",1.00,-76.58550, 39.30464
"9","Unit E Centre, Baltimore, Md","mtvernon",1.50,-76.61248, 39.29646
"10","Unit E Chase, Baltimore, Md","mtvernon",0.75,-76.58544, 39.30358
"11","Unit E Chase, Baltimore, Md","mtvernon",0.75,-76.58544, 39.30358
"12","Unit E Eager, Baltimore, Md","mtvernon",0.50,-76.58390, 39.30178
"13","100 E Hamilton, Baltimore, Md","mtvernon",1.25,-76.61429, 39.29570
"14","200 E Madison, Baltimore, Md","mtvernon",0.50,-76.61241, 39.29883
"15","200 E Madison, Baltimore, Md","mtvernon",0.50,-76.61241, 39.29883
"16","100 E Monument, Baltimore, Md","mtvernon",1.50,-76.61405, 39.29760
"17","200 E Monument, Baltimore, Md","mtvernon",0.50,-76.61285, 39.29765
"18","200 E Monument, Baltimore, Md","mtvernon",0.50,-76.61285, 39.29765
"19","100 E Mount Royal, Baltimore, Md","mtvernon",0.50,-76.61455, 39.30550
"20","100 E Mount Royal, Baltimore, Md","mtvernon",0.50,-76.61455, 39.30550
"21","200 E Mount Royal, Baltimore, Md","mtvernon",NA,-76.61338, 39.30555
"22","200 E Mount Royal, Baltimore, Md","mtvernon",NA,-76.61338, 39.30555
"23","Unit E Mount Royal, Baltimore, Md","mtvernon",0.75,-76.61396, 39.30553
"24","Unit E Mount Royal, Baltimore, Md","mtvernon",0.75,-76.61396, 39.30553
"25","200 E Read, Baltimore, Md","mtvernon",0.50,-76.61260, 39.29992
"26","Unit E Read, Baltimore, Md","mtvernon",NA,-76.61360, 39.29973
"27","Unit E Read, Baltimore, Md","mtvernon",2.00,-76.61360, 39.29973
"28","700 Linden, Baltimore, Md","mtvernon",0.50,-76.62103, 39.29756
"29","800 Linden, Baltimore, Md","mtvernon",2.25,-76.62104, 39.29889
"30","1200 Maryland, Baltimore, Md","mtvernon",0.50,-76.61743, 39.30376
"31","1200 Maryland, Baltimore, Md","mtvernon",0.50,-76.61743, 39.30376
"32","1300 Maryland, Baltimore, Md","mtvernon",0.50,-76.61748, 39.30444
"33","1300 Maryland, Baltimore, Md","mtvernon",0.50,-76.61748, 39.30444
"34","1000 MLK, Baltimore, Md","mtvernon",1.50,-76.61987, 39.30165
"35","1100 MLK, Baltimore, Md","mtvernon",1.50,-76.62029, 39.30168
"36","1100 MLK, Baltimore, Md","mtvernon",1.50,-76.62029, 39.30168
"37","1000 Morton, Baltimore, Md","mtvernon",0.50,-76.61686, 39.30116
"38","500 N Calvert, Baltimore, Md","mtvernon",1.50,-76.61302, 39.29580
"39","600 N Calvert, Baltimore, Md","mtvernon",1.50,-76.61297, 39.29661
"40","600 N Calvert, Baltimore, Md","mtvernon",1.50,-76.61297, 39.29661
"41","700 N Calvert, Baltimore, Md","mtvernon",1.50,-76.61324, 39.29799
"42","700 N Calvert, Baltimore, Md","mtvernon",1.50,-76.61324, 39.29799
"43","800 N Calvert, Baltimore, Md","mtvernon",0.75,-76.61264, 39.29884
"44","500 N Charles, Baltimore, Md","mtvernon",1.75,-76.61552, 39.29511
"45","500 N Charles, Baltimore, Md","mtvernon",1.75,-76.61552, 39.29511
"46","800 N Charles, Baltimore, Md","mtvernon",1.75,-76.61597, 39.29875
"47","800 N Charles, Baltimore, Md","mtvernon",1.75,-76.61597, 39.29875
"48","900 N Charles, Baltimore, Md","mtvernon",1.50,-76.61614, 39.29980
"49","900 N Charles, Baltimore, Md","mtvernon",1.50,-76.61614, 39.29980
"50","1000 N Charles, Baltimore, Md","mtvernon",1.50,-76.61628, 39.30120
"51","1000 N Charles, Baltimore, Md","mtvernon",1.50,-76.61628, 39.30120
"52","1100 N Charles, Baltimore, Md","mtvernon",1.50,-76.61622, 39.30251
"53","1100 N Charles, Baltimore, Md","mtvernon",1.50,-76.61622, 39.30251
"54","1200 N Charles, Baltimore, Md","mtvernon",2.00,-76.61638, 39.30355
"55","1200 N Charles, Baltimore, Md","mtvernon",2.00,-76.61638, 39.30355
"56","1300 N Charles, Baltimore, Md","mtvernon",1.50,-76.61659, 39.30462
"57","1300 N Charles, Baltimore, Md","mtvernon",1.50,-76.61659, 39.30462
"58","700 N Eutaw, Baltimore, Md","mtvernon",1.50,-76.62163, 39.29691
"59","700 N Eutaw, Baltimore, Md","mtvernon",1.50,-76.62163, 39.29691
"60","500‐600 N Eutaw, Baltimore, Md","mtvernon",1.50,-76.62171, 39.29584
"61","500‐600 N Eutaw, Baltimore, Md","mtvernon",1.50,-76.62171, 39.29584
"62","600 N Howard, Baltimore, Md","mtvernon",1.50,-76.62028, 39.29678
"63","700 N Howard, Baltimore, Md","mtvernon",1.50,-76.62013, 39.29748
"64","800 N Howard, Baltimore, Md","mtvernon",1.50,-76.62012, 39.29848
"65","800 N Howard, Baltimore, Md","mtvernon",1.50,-76.62012, 39.29848
"66","500 Park, Baltimore, Md","mtvernon",1.50,-76.61841, 39.29513
"67","500 Park, Baltimore, Md","mtvernon",1.50,-76.61841, 39.29513
"68","600 Park, Baltimore, Md","mtvernon",0.50,-76.71868, 39.32162
"69","600 Park, Baltimore, Md","mtvernon",0.50,-76.71868, 39.32162
"70","700 Park, Baltimore, Md","mtvernon",0.50,-76.71868, 39.32162
"71","800 Park, Baltimore, Md","mtvernon",0.50,-76.71868, 39.32162
"72","800 Park, Baltimore, Md","mtvernon",0.50,-76.71868, 39.32162
"73","900 Park, Baltimore, Md","mtvernon",1.50,-76.71868, 39.32162
"74","500 St Paul Pl
(upper), Baltimore, Md","mtvernon",1.00,-76.61433, 39.29515
"75","500 St Paul St
(lower), Baltimore, Md","mtvernon",2.00,-76.61379, 39.29582
"76","700 St Paul St, Baltimore, Md","mtvernon",0.50,-76.61407, 39.29779
"77","800 St Paul St, Baltimore, Md","mtvernon",1.25,-76.61442, 39.29879
"78","1000 St Paul St, Baltimore, Md","mtvernon",1.25,-76.61442, 39.30140
"79","1000 St Paul St, Baltimore, Md","mtvernon",1.25,-76.61442, 39.30140
"80","1100 St Paul St, Baltimore, Md","mtvernon",0.75,-76.61465, 39.30269
"81","1100 St Paul St, Baltimore, Md","mtvernon",0.75,-76.61465, 39.30269
"82","1200 St Paul St, Baltimore, Md","mtvernon",1.00,-76.61467, 39.30362
"83","1200 St Paul St, Baltimore, Md","mtvernon",1.00,-76.61467, 39.30362
"84","1300 St Paul St, Baltimore, Md","mtvernon",0.50,-76.61466, 39.30476
"85","Unit W Biddle, Baltimore, Md","mtvernon",0.75,-76.61741, 39.30338
"86","Unit W Centre, Baltimore, Md","mtvernon",2.50,-76.61853, 39.29622
"87","200 W Centre, Baltimore, Md","mtvernon",1.25,-76.61832, 39.29624
"88","300 W Centre, Baltimore, Md","mtvernon",1.50,-76.61992, 39.29623
"89","100 W Chase, Baltimore, Md","mtvernon",1.50,-76.61800, 39.30231
"90","100 W Chase, Baltimore, Md","mtvernon",1.50,-76.61800, 39.30231
"91","200 W Chase, Baltimore, Md","mtvernon",1.50,-76.61871, 39.30228
"92","200 W Chase, Baltimore, Md","mtvernon",1.50,-76.61871, 39.30228
"93","Unit W Chase, Baltimore, Md","mtvernon",1.00,-76.61799, 39.30231
"94","Unit W Chase, Baltimore, Md","mtvernon",1.00,-76.61799, 39.30231
"95","100 W Eager, Baltimore, Md","mtvernon",0.50,-76.61757, 39.30088
"96","100 W Eager, Baltimore, Md","mtvernon",0.50,-76.61757, 39.30088
"97","Unit W Eager, Baltimore, Md","mtvernon",0.50,-76.61716, 39.30096
"98","Unit W Eager, Baltimore, Md","mtvernon",0.50,-76.61716, 39.30096
"99","100 W Hamilton, Baltimore, Md","mtvernon",1.50,-76.61730, 39.29571
"100","300 W Madison, Baltimore, Md","mtvernon",1.00,-76.62020, 39.29842
"101","300 W Madison, Baltimore, Md","mtvernon",1.00,-76.62020, 39.29842
"102","300 W Monument, Baltimore, Md","mtvernon",1.25,-76.62035, 39.29749
