"","geoid","census_tract","county","state","variable","x2010","x2016","x2020","Diff_2020_2010","Diff_2020_2016"
"1","24510010100","Census Tract 101"," Baltimore city"," Maryland","median_income",75938,100985,128839,52901,27854
"2","24510010200","Census Tract 102"," Baltimore city"," Maryland","median_income",58409,96171,130357,71948,34186
"3","24510010300","Census Tract 103"," Baltimore city"," Maryland","median_income",77841,116875,151389,73548,34514
"4","24510010400","Census Tract 104"," Baltimore city"," Maryland","median_income",70313,97153,114946,44633,17793
"5","24510010500","Census Tract 105"," Baltimore city"," Maryland","median_income",86157,85986,98194,12037,12208
"6","24510020100","Census Tract 201"," Baltimore city"," Maryland","median_income",60439,79063,95536,35097,16473
"7","24510020200","Census Tract 202"," Baltimore city"," Maryland","median_income",47131,64643,86125,38994,21482
"8","24510020300","Census Tract 203"," Baltimore city"," Maryland","median_income",59236,100778,101815,42579,1037
"9","24510030100","Census Tract 301"," Baltimore city"," Maryland","median_income",21932,30066,23083,1151,-6983
"10","24510030200","Census Tract 302"," Baltimore city"," Maryland","median_income",63885,71944,98254,34369,26310
"11","24510040100","Census Tract 401"," Baltimore city"," Maryland","median_income",45948,55277,62131,16183,6854
"12","24510040200","Census Tract 402"," Baltimore city"," Maryland","median_income",13229,52361,43333,30104,-9028
"13","24510060100","Census Tract 601"," Baltimore city"," Maryland","median_income",46822,39853,56652,9830,16799
"14","24510060200","Census Tract 602"," Baltimore city"," Maryland","median_income",51403,65294,70313,18910,5019
"15","24510060300","Census Tract 603"," Baltimore city"," Maryland","median_income",53813,54567,84318,30505,29751
"16","24510060400","Census Tract 604"," Baltimore city"," Maryland","median_income",35139,40806,53472,18333,12666
"17","24510070100","Census Tract 701"," Baltimore city"," Maryland","median_income",37701,39141,45602,7901,6461
"18","24510070200","Census Tract 702"," Baltimore city"," Maryland","median_income",35667,27308,31379,-4288,4071
"19","24510070300","Census Tract 703"," Baltimore city"," Maryland","median_income",15000,22361,35000,20000,12639
"20","24510070400","Census Tract 704"," Baltimore city"," Maryland","median_income",14527,16744,27321,12794,10577
"21","24510080101","Census Tract 801.01"," Baltimore city"," Maryland","median_income",49688,59051,65417,15729,6366
"22","24510080102","Census Tract 801.02"," Baltimore city"," Maryland","median_income",35594,35132,30000,-5594,-5132
"23","24510080200","Census Tract 802"," Baltimore city"," Maryland","median_income",24200,27237,38289,14089,11052
"24","24510080301","Census Tract 803.01"," Baltimore city"," Maryland","median_income",32024,36958,45446,13422,8488
"25","24510080302","Census Tract 803.02"," Baltimore city"," Maryland","median_income",24423,29641,41298,16875,11657
"26","24510080400","Census Tract 804"," Baltimore city"," Maryland","median_income",23893,17150,34567,10674,17417
"27","24510080500","Census Tract 805"," Baltimore city"," Maryland","median_income",35223,31500,28203,-7020,-3297
"28","24510080600","Census Tract 806"," Baltimore city"," Maryland","median_income",26726,32333,35221,8495,2888
"29","24510080700","Census Tract 807"," Baltimore city"," Maryland","median_income",20679,24107,40885,20206,16778
"30","24510080800","Census Tract 808"," Baltimore city"," Maryland","median_income",35532,NA,48137,12605,NA
"31","24510090100","Census Tract 901"," Baltimore city"," Maryland","median_income",36444,44414,52988,16544,8574
"32","24510090200","Census Tract 902"," Baltimore city"," Maryland","median_income",67500,58750,82609,15109,23859
"33","24510090300","Census Tract 903"," Baltimore city"," Maryland","median_income",43824,35804,63523,19699,27719
"34","24510090400","Census Tract 904"," Baltimore city"," Maryland","median_income",26490,31723,30685,4195,-1038
"35","24510090500","Census Tract 905"," Baltimore city"," Maryland","median_income",36507,40222,43727,7220,3505
"36","24510090600","Census Tract 906"," Baltimore city"," Maryland","median_income",36408,43815,50048,13640,6233
"37","24510090700","Census Tract 907"," Baltimore city"," Maryland","median_income",27330,23659,30964,3634,7305
"38","24510090800","Census Tract 908"," Baltimore city"," Maryland","median_income",35473,27163,31250,-4223,4087
"39","24510090900","Census Tract 909"," Baltimore city"," Maryland","median_income",19056,25342,19524,468,-5818
"40","24510100100","Census Tract 1001"," Baltimore city"," Maryland","median_income",28929,22847,30913,1984,8066
"41","24510100200","Census Tract 1002"," Baltimore city"," Maryland","median_income",9862,14307,19172,9310,4865
"42","24510100300","Census Tract 1003"," Baltimore city"," Maryland","median_income",NA,NA,NA,NA,NA
"43","24510110100","Census Tract 1101"," Baltimore city"," Maryland","median_income",38797,47397,53407,14610,6010
"44","24510110200","Census Tract 1102"," Baltimore city"," Maryland","median_income",32563,40925,62703,30140,21778
"45","24510120100","Census Tract 1201"," Baltimore city"," Maryland","median_income",56205,62685,72349,16144,9664
"46","24510120201","Census Tract 1202.01"," Baltimore city"," Maryland","median_income",54000,65938,81393,27393,15455
"47","24510120202","Census Tract 1202.02"," Baltimore city"," Maryland","median_income",30179,35000,36563,6384,1563
"48","24510120300","Census Tract 1203"," Baltimore city"," Maryland","median_income",38281,42093,55074,16793,12981
"49","24510120400","Census Tract 1204"," Baltimore city"," Maryland","median_income",39375,32917,50034,10659,17117
"50","24510120500","Census Tract 1205"," Baltimore city"," Maryland","median_income",37500,36607,55170,17670,18563
"51","24510120600","Census Tract 1206"," Baltimore city"," Maryland","median_income",23488,15048,36221,12733,21173
"52","24510120700","Census Tract 1207"," Baltimore city"," Maryland","median_income",39730,55972,61653,21923,5681
"53","24510130100","Census Tract 1301"," Baltimore city"," Maryland","median_income",21271,24838,25835,4564,997
"54","24510130200","Census Tract 1302"," Baltimore city"," Maryland","median_income",30255,39470,57457,27202,17987
"55","24510130300","Census Tract 1303"," Baltimore city"," Maryland","median_income",32273,31855,43380,11107,11525
"56","24510130400","Census Tract 1304"," Baltimore city"," Maryland","median_income",32500,35208,30868,-1632,-4340
"57","24510130600","Census Tract 1306"," Baltimore city"," Maryland","median_income",53654,66385,91635,37981,25250
"58","24510130700","Census Tract 1307"," Baltimore city"," Maryland","median_income",48634,59300,72648,24014,13348
"59","24510130803","Census Tract 1308.03"," Baltimore city"," Maryland","median_income",51548,54679,62188,10640,7509
"60","24510130804","Census Tract 1308.04"," Baltimore city"," Maryland","median_income",48207,60862,62054,13847,1192
"61","24510130805","Census Tract 1308.05"," Baltimore city"," Maryland","median_income",53984,46932,53750,-234,6818
"62","24510130806","Census Tract 1308.06"," Baltimore city"," Maryland","median_income",48750,79875,95142,46392,15267
"63","24510140100","Census Tract 1401"," Baltimore city"," Maryland","median_income",32917,46802,57292,24375,10490
"64","24510140200","Census Tract 1402"," Baltimore city"," Maryland","median_income",16213,18929,23152,6939,4223
"65","24510140300","Census Tract 1403"," Baltimore city"," Maryland","median_income",21607,23969,41913,20306,17944
"66","24510150100","Census Tract 1501"," Baltimore city"," Maryland","median_income",18097,19043,26989,8892,7946
"67","24510150200","Census Tract 1502"," Baltimore city"," Maryland","median_income",25224,41905,40644,15420,-1261
"68","24510150300","Census Tract 1503"," Baltimore city"," Maryland","median_income",32289,34899,35476,3187,577
"69","24510150400","Census Tract 1504"," Baltimore city"," Maryland","median_income",32632,35980,33702,1070,-2278
"70","24510150500","Census Tract 1505"," Baltimore city"," Maryland","median_income",34609,32364,33967,-642,1603
"71","24510150600","Census Tract 1506"," Baltimore city"," Maryland","median_income",29631,26455,31250,1619,4795
"72","24510150701","Census Tract 1507.01"," Baltimore city"," Maryland","median_income",38125,41125,51944,13819,10819
"73","24510150702","Census Tract 1507.02"," Baltimore city"," Maryland","median_income",48942,38654,50150,1208,11496
"74","24510150800","Census Tract 1508"," Baltimore city"," Maryland","median_income",37199,33871,39337,2138,5466
"75","24510150900","Census Tract 1509"," Baltimore city"," Maryland","median_income",37440,53500,51250,13810,-2250
"76","24510151000","Census Tract 1510"," Baltimore city"," Maryland","median_income",35056,37876,45870,10814,7994
"77","24510151100","Census Tract 1511"," Baltimore city"," Maryland","median_income",45649,51373,58843,13194,7470
"78","24510151200","Census Tract 1512"," Baltimore city"," Maryland","median_income",12386,20518,22632,10246,2114
"79","24510151300","Census Tract 1513"," Baltimore city"," Maryland","median_income",33579,27835,33866,287,6031
"80","24510160100","Census Tract 1601"," Baltimore city"," Maryland","median_income",19583,21700,27969,8386,6269
