Neighborhood,x2010,x2016,x2020,Census,GEOID
Canton,75938,100985,128839,101,24510010100
Patterson Park North & East,58409,96171,130357,102,24510010200
Canton,77841,116875,151389,103,24510010300
Canton,70313,97153,114946,104,24510010400
Fells Point,86157,85986,98194,105,24510010500
Fells Point,60439,79063,95536,201,24510020100
Fells Point,47131,64643,86125,202,24510020200
Fells Point,59236,100778,101815,203,24510020300
Harbor East/Little Italy,21932,30066,23083,301,24510030100
Harbor East/Little Italy,63885,71944,98254,302,24510030200
Downtown/Seton Hill,45948,55277,62131,401,24510040100
Downtown/Seton Hill,13229,52361,43333,402,24510040200
Patterson Park North & East,46822,39853,56652,601,24510060100
Patterson Park North & East,51403,65294,70313,602,24510060200
Patterson Park North & East,53813,54567,84318,603,24510060300
Oldtown/Middle East,35139,40806,53472,604,24510060400
Madison/East End,37701,39141,45602,701,24510070100
Madison/East End,35667,27308,31379,702,24510070200
Madison/East End,15000,22361,35000,703,24510070300
Oldtown/Middle East,14527,16744,27321,704,24510070400
Belair-Edison,49688,59051,65417,801.01,24510080101
Belair-Edison,35594,35132,30000,801.02,24510080102
Clifton-Berea,24200,27237,38289,802,24510080200
Clifton-Berea,32024,36958,45446,803.01,24510080301
Clifton-Berea,24423,29641,41298,803.02,24510080302
Clifton-Berea,23893,17150,34567,804,24510080400
Clifton-Berea,35223,31500,28203,805,24510080500
Greenmount East,26726,32333,35221,806,24510080600
Greenmount East,20679,24107,40885,807,24510080700
Oldtown/Middle East,35532,NA,48137,808,24510080800
Greater Govans,36444,44414,52988,901,24510090100
Northwood,67500,58750,82609,902,24510090200
The Waverlies,43824,35804,63523,903,24510090300
The Waverlies,26490,31723,30685,904,24510090400
The Waverlies,36507,40222,43727,905,24510090500
Midway/Coldstream,36408,43815,50048,906,24510090600
Midway/Coldstream,27330,23659,30964,907,24510090700
Midway/Coldstream,35473,27163,31250,908,24510090800
Greenmount East,19056,25342,19524,909,24510090900
Greenmount East,28929,22847,30913,1001,24510100100
Oldtown/Middle East,9862,14307,19172,1002,24510100200
Unassigned--Jail,NA,NA,NA,1003,24510100300
Midtown,38797,47397,53407,1101,24510110100
Midtown,32563,40925,62703,1102,24510110200
North Baltimore/Guilford/Homeland,56205,62685,72349,1201,24510120100
Greater Charles Village/Barclay,54000,65938,81393,1202.01,24510120201
Greater Charles Village/Barclay,30179,35000,36563,1202.02,24510120202
Greater Charles Village/Barclay,38281,42093,55074,1203,24510120300
Greater Charles Village/Barclay,39375,32917,50034,1204,24510120400
Midtown,37500,36607,55170,1205,24510120500
Greater Charles Village/Barclay,23488,15048,36221,1206,24510120600
Medfield/Hampden/Woodberry/Remington,39730,55972,61653,1207,24510120700
Penn North/Reservoir Hill,21271,24838,25835,1301,24510130100
Penn North/Reservoir Hill,30255,39470,57457,1302,24510130200
Penn North/Reservoir Hill,32273,31855,43380,1303,24510130300
Penn North/Reservoir Hill,32500,35208,30868,1304,24510130400
Medfield/Hampden/Woodberry/Remington,53654,66385,91635,1306,24510130600
Medfield/Hampden/Woodberry/Remington,48634,59300,72648,1307,24510130700
Medfield/Hampden/Woodberry/Remington,51548,54679,62188,1308.03,24510130803
Medfield/Hampden/Woodberry/Remington,48207,60862,62054,1308.04,24510130804
Mount Washington/Coldspring,53984,46932,53750,1308.05,24510130805
Medfield/Hampden/Woodberry/Remington,48750,79875,95142,1308.06,24510130806
Midtown,32917,46802,57292,1401,24510140100
Upton/Druid Heights,16213,18929,23152,1402,24510140200
Upton/Druid Heights,21607,23969,41913,1403,24510140300
Sandtown-Winchester/Harlem Park,18097,19043,26989,1501,24510150100
Sandtown-Winchester/Harlem Park,25224,41905,40644,1502,24510150200
Greater Rosemont,32289,34899,35476,1503,24510150300
Greater Mondawmin,32632,35980,33702,1504,24510150400
Greater Mondawmin,34609,32364,33967,1505,24510150500
Greater Rosemont,29631,26455,31250,1506,24510150600
Greater Mondawmin,38125,41125,51944,1507.01,24510150701
Greater Mondawmin,48942,38654,50150,1507.02,24510150702
Forest Park/Walbrook,37199,33871,39337,1508,24510150800
Forest Park/Walbrook,37440,53500,51250,1509,24510150900
Dorchester/Ashburton,35056,37876,45870,1510,24510151000
Dorchester/Ashburton,45649,51373,58843,1511,24510151100
Southern Park Heights,12386,20518,22632,1512,24510151200
Southern Park Heights,33579,27835,33866,1513,24510151300
Sandtown-Winchester/Harlem Park,19583,21700,27969,1601,24510160100
Sandtown-Winchester/Harlem Park,25417,28409,24848,1602,24510160200
Sandtown-Winchester/Harlem Park,22292,17452,13963,1603,24510160300
Sandtown-Winchester/Harlem Park,27813,25598,23036,1604,24510160400
Greater Rosemont,24556,33599,37819,1605,24510160500
Greater Rosemont,27128,31250,38482,1606,24510160600
Greater Rosemont,29472,32064,39959,1607,24510160700
Edmondson Village,41549,34183,53543,1608.01,24510160801
Edmondson Village,29355,45478,41932,1608.02,24510160802
Downtown/Seton Hill,30197,27321,35582,1701,24510170100
Upton/Druid Heights,9412,13495,13559,1702,24510170200
Upton/Druid Heights,17892,23011,18912,1703,24510170300
Poppleton/The Terraces/Hollins Market,18429,15270,NA,1801,24510180100
Poppleton/The Terraces/Hollins Market,16585,22981,NA,1802,24510180200
Poppleton/The Terraces/Hollins Market,37879,32917,64125,1803,24510180300
Southwest Baltimore,22893,25026,24559,1901,24510190100
Southwest Baltimore,43214,36827,52738,1902,24510190200
Southwest Baltimore,17237,23169,14269,1903,24510190300
Southwest Baltimore,32214,28661,38203,2001,24510200100
Southwest Baltimore,30061,30107,27740,2002,24510200200
Southwest Baltimore,19063,22386,21953,2003,24510200300
Southwest Baltimore,28324,26250,31975,2004,24510200400
Southwest Baltimore,30239,19803,34306,2005,24510200500
Allendale/Irvington/S. Hilton,29813,37218,39076,2006,24510200600
Allendale/Irvington/S. Hilton,34556,36750,33592,2007.01,24510200701
Allendale/Irvington/S. Hilton,27305,22083,43734,2007.02,24510200702
Allendale/Irvington/S. Hilton,32711,34886,49875,2008,24510200800
Washington Village/Pigtown,48857,46250,76368,2101,24510210100
Washington Village/Pigtown,46319,29653,36661,2102,24510210200
Inner Harbor/Federal Hill,59259,67389,80305,2201,24510220100
Inner Harbor/Federal Hill,62222,67422,98125,2301,24510230100
Inner Harbor/Federal Hill,80521,103681,107344,2302,24510230200
South Baltimore,53194,103667,92841,2303,24510230300
South Baltimore,87619,116848,151659,2401,24510240100
Inner Harbor/Federal Hill,92500,128839,133333,2402,24510240200
Inner Harbor/Federal Hill,89211,83994,120729,2403,24510240300
South Baltimore,72122,107037,121685,2404,24510240400
Beechfield/Ten Hills/West Hills,52098,49939,60463,2501.01,24510250101
Allendale/Irvington/S. Hilton,36960,38125,53854,2501.02,24510250102
Morrell Park/Violetville,36957,36017,36555,2501.03,24510250103
Cherry Hill,29747,32225,33902,2502.03,24510250203
Cherry Hill,12384,14163,14349,2502.04,24510250204
Westport/Mount Winans/Lakeland,47738,47566,38779,2502.05,24510250205
Morrell Park/Violetville,52674,38158,66900,2502.06,24510250206
Cherry Hill,23310,30702,41518,2502.07,24510250207
Westport/Mount Winans/Lakeland,27414,30625,24877,2503.01,24510250301
Morrell Park/Violetville,42007,29583,40230,2503.03,24510250303
Brooklyn/Curtis Bay/Hawkins Point,34401,41034,32019,2504.01,24510250401
Brooklyn/Curtis Bay/Hawkins Point,31250,32625,37059,2504.02,24510250402
Brooklyn/Curtis Bay/Hawkins Point,32738,38967,30526,2505,24510250500
Brooklyn/Curtis Bay/Hawkins Point,NA,NA,NA,2506,24510250600
Cedonia/Frankford,46789,45020,68983,2601.01,24510260101
Cedonia/Frankford,48783,49228,60313,2601.02,24510260102
Cedonia/Frankford,33936,32458,44093,2602.01,24510260201
Cedonia/Frankford,31241,38564,39282,2602.02,24510260202
Cedonia/Frankford,32615,36579,46250,2602.03,24510260203
Belair-Edison,42347,35759,52117,2603.01,24510260301
Belair-Edison,42727,34342,50000,2603.02,24510260302
Claremont/Armistead,30192,18359,NA,2603.03,24510260303
Claremont/Armistead,31392,32377,48661,2604.01,24510260401
Claremont/Armistead,42938,39393,39000,2604.02,24510260402
Claremont/Armistead,32373,33098,35282,2604.03,24510260403
Orangeville/East Highlandtown,35708,34688,54375,2604.04,24510260404
Orangeville/East Highlandtown,42298,50280,64706,2605.01,24510260501
Southeastern,20710,21858,21977,2606.04,24510260604
Southeastern,33545,37179,44794,2606.05,24510260605
Orangeville/East Highlandtown,36901,43385,80000,2607,24510260700
Highlandtown,35200,39750,48850,2608,24510260800
Highlandtown,68571,86964,107438,2609,24510260900
Patterson Park North & East,36343,55455,60893,2610,24510261000
Highlandtown,83207,104091,130769,2611,24510261100
Lauraville,57326,57212,80875,2701.01,24510270101
Lauraville,54250,63419,58020,2701.02,24510270102
Lauraville,60128,62891,80788,2702,24510270200
Lauraville,54623,70833,80655,2703.01,24510270301
Lauraville,68088,67244,63929,2703.02,24510270302
Hamilton,51641,59053,64620,2704.01,24510270401
Hamilton,53125,70185,84556,2704.02,24510270402
Harford/Echodale,59516,63456,66604,2705.01,24510270501
Hamilton,53493,60143,71694,2705.02,24510270502
Harford/Echodale,66914,58000,67625,2706,24510270600
Harford/Echodale,28618,41549,37591,2707.01,24510270701
