"","geoid","place","state","households","household_2010","household_2020","median_income","median_inc_2010","median_inc_2020"
"1","2400125","Aberdeen city"," Maryland","number_households",5971,6412,"median_income",47868,66481
"2","2400175","Aberdeen Proving Ground CDP"," Maryland","number_households",532,731,"median_income",42419,120583
"3","2400225","Accident town"," Maryland","number_households",157,167,"median_income",35938,51563
"4","2400250","Accokeek CDP"," Maryland","number_households",3481,4027,"median_income",117875,133992
"5","2400350","Adamstown CDP"," Maryland","number_households",569,678,"median_income",137875,167857
"6","2400400","Adelphi CDP"," Maryland","number_households",4884,4884,"median_income",55500,68516
"7","2400712","Algonquin CDP"," Maryland","number_households",495,554,"median_income",54196,60833
"8","2400800","Allen CDP"," Maryland","number_households",99,138,"median_income",69663,113816
"9","2401450","Andrews AFB CDP"," Maryland","number_households",787,801,"median_income",52382,76359
"10","2401600","Annapolis city"," Maryland","number_households",16133,16291,"median_income",70229,87897
"11","2401635","Annapolis Neck CDP"," Maryland","number_households",4213,5304,"median_income",115121,136120
"12","2401750","Antietam CDP"," Maryland","number_households",52,27,"median_income",85313,NA
"13","2401925","Aquasco CDP"," Maryland","number_households",335,287,"median_income",43237,70144
"14","2401975","Arbutus CDP"," Maryland","number_households",8069,7581,"median_income",59983,78598
"15","2402025","Arden on the Severn CDP"," Maryland","number_households",802,611,"median_income",102206,126250
"16","2402275","Arnold CDP"," Maryland","number_households",8471,8528,"median_income",100625,119504
"17","2402762","Ashton-Sandy Spring CDP"," Maryland","number_households",1844,2065,"median_income",115357,125215
"18","2402825","Aspen Hill CDP"," Maryland","number_households",16763,16890,"median_income",73513,87987
"19","2403500","Baden CDP"," Maryland","number_households",803,565,"median_income",95917,124766
"20","2403514","Bagtown CDP"," Maryland","number_households",109,151,"median_income",86477,107083
"21","2403575","Bakersville CDP"," Maryland","number_households",0,0,"median_income",NA,NA
"22","2403800","Ballenger Creek CDP"," Maryland","number_households",7188,8270,"median_income",72227,94385
"23","2404000","Baltimore city"," Maryland","number_households",238392,242499,"median_income",39386,52164
"24","2404050","Baltimore Highlands CDP"," Maryland","number_households",2555,2816,"median_income",46869,53205
"25","2404250","Barclay town"," Maryland","number_households",67,67,"median_income",49861,NA
"26","2404475","Barnesville town"," Maryland","number_households",49,55,"median_income",116875,116875
"27","2404525","Barrelville CDP"," Maryland","number_households",0,21,"median_income",NA,NA
"28","2404625","Barton town"," Maryland","number_households",143,173,"median_income",44688,44688
"29","2404650","Bartonsville CDP"," Maryland","number_households",481,568,"median_income",109103,143889
"30","2405250","Beaver Creek CDP"," Maryland","number_households",66,151,"median_income",73879,192171
"31","2405525","Bel Air CDP"," Maryland","number_households",457,680,"median_income",51161,64194
"32","2405550","Bel Air town"," Maryland","number_households",4239,4758,"median_income",65449,60476
"33","2405825","Bel Air North CDP"," Maryland","number_households",10053,10699,"median_income",92828,117129
"34","2405950","Bel Air South CDP"," Maryland","number_households",17627,21135,"median_income",82158,100824
"35","2406400","Beltsville CDP"," Maryland","number_households",5410,6103,"median_income",70230,81980
"36","2406550","Benedict CDP"," Maryland","number_households",116,118,"median_income",63526,NA
"37","2406615","Bensville CDP"," Maryland","number_households",3848,NA,"median_income",119545,NA
"38","2406800","Berlin town"," Maryland","number_households",1543,1767,"median_income",51004,60301
"39","2406925","Berwyn Heights town"," Maryland","number_households",994,914,"median_income",90571,115750
"40","2407125","Bethesda CDP"," Maryland","number_households",24302,26040,"median_income",133480,172873
"41","2407200","Betterton town"," Maryland","number_households",128,180,"median_income",66750,58958
"42","2407285","Bier CDP"," Maryland","number_households",161,129,"median_income",35931,45550
"43","2407375","Big Pool CDP"," Maryland","number_households",22,34,"median_income",52708,NA
"44","2407400","Big Spring CDP"," Maryland","number_households",43,22,"median_income",41979,NA
"45","2407625","Bishopville CDP"," Maryland","number_households",194,210,"median_income",66923,63971
"46","2407675","Bivalve CDP"," Maryland","number_households",103,67,"median_income",24922,NA
"47","2407850","Bladensburg town"," Maryland","number_households",3590,3660,"median_income",43321,50390
"48","2408050","Bloomington CDP"," Maryland","number_households",102,85,"median_income",41528,NA
"49","2408625","Boonsboro town"," Maryland","number_households",1179,1441,"median_income",76875,82201
"50","2408775","Bowie city"," Maryland","number_households",19693,20822,"median_income",101671,116796
"51","2408800","Bowleys Quarters CDP"," Maryland","number_households",2629,2493,"median_income",66342,96797
"52","2408850","Bowling Green CDP"," Maryland","number_households",442,597,"median_income",36771,62736
"53","2408862","Bowmans Addition CDP"," Maryland","number_households",215,259,"median_income",33194,54125
"54","2409100","Braddock Heights CDP"," Maryland","number_households",986,1124,"median_income",88281,103438
"55","2409325","Brandywine CDP"," Maryland","number_households",2118,2910,"median_income",105366,148529
"56","2409400","Breathedsville CDP"," Maryland","number_households",147,93,"median_income",44044,NA
"57","2409500","Brentwood town"," Maryland","number_households",862,1045,"median_income",50636,80737
"58","2410150","Brock Hall CDP"," Maryland","number_households",2815,3704,"median_income",131106,174569
"59","2410225","Brookeville town"," Maryland","number_households",90,51,"median_income",213750,156250
"60","2410475","Brooklyn Park CDP"," Maryland","number_households",5125,5241,"median_income",52381,66329
"61","2410500","Brookmont CDP"," Maryland","number_households",1284,1347,"median_income",179545,249432
"62","2410575","Brookview town"," Maryland","number_households",19,22,"median_income",33250,53750
"63","2410650","Broomes Island CDP"," Maryland","number_households",84,219,"median_income",96406,128036
"64","2410800","Brownsville CDP"," Maryland","number_households",80,8,"median_income",110119,NA
"65","2410900","Brunswick city"," Maryland","number_households",2131,2411,"median_income",60848,84133
"66","2410925","Bryans Road CDP"," Maryland","number_households",2622,2986,"median_income",83148,92319
"67","2410950","Bryantown CDP"," Maryland","number_households",221,178,"median_income",90114,130750
"68","2411050","Buckeystown CDP"," Maryland","number_households",529,539,"median_income",68917,87974
"69","2411400","Burkittsville town"," Maryland","number_households",69,82,"median_income",78125,71071
"70","2411750","Burtonsville CDP"," Maryland","number_households",2746,2801,"median_income",94794,122541
"71","2411900","Butlertown CDP"," Maryland","number_households",189,166,"median_income",31961,NA
"72","2412075","Cabin John CDP"," Maryland","number_households",857,880,"median_income",180054,181324
"73","2412150","California CDP"," Maryland","number_households",4327,5490,"median_income",85240,97331
"74","2412300","Calvert Beach CDP"," Maryland","number_households",241,275,"median_income",66339,72679
"75","2412350","Calverton CDP"," Maryland","number_households",6840,6051,"median_income",73997,98977
"76","2412400","Cambridge city"," Maryland","number_households",5106,5364,"median_income",34614,39063
"77","2412600","Camp Springs CDP"," Maryland","number_households",6827,7449,"median_income",85923,102541
"78","2412912","Cape St. Claire CDP"," Maryland","number_households",3189,3252,"median_income",92089,112206
"79","2413000","Capitol Heights town"," Maryland","number_households",1551,1448,"median_income",58393,72209
"80","2413225","Carlos CDP"," Maryland","number_households",50,22,"median_income",92685,55357
"81","2413325","Carney CDP"," Maryland","number_households",12078,13163,"median_income",60500,70835
"82","2414125","Catonsville CDP"," Maryland","number_households",15623,15566,"median_income",67679,91539
"83","2414225","Cavetown CDP"," Maryland","number_households",506,446,"median_income",66786,88535
"84","2414300","Cearfoss CDP"," Maryland","number_households",47,88,"median_income",32396,2499
"85","2414325","Cecilton town"," Maryland","number_households",179,382,"median_income",47614,66667
"86","2414800","Cedarville CDP"," Maryland","number_households",399,232,"median_income",44063,94423
"87","2414950","Centreville town"," Maryland","number_households",1483,1693,"median_income",75446,98942
"88","2415075","Chance CDP"," Maryland","number_households",108,162,"median_income",45000,53667
"89","2415400","Charlestown town"," Maryland","number_households",407,611,"median_income",65795,95938
"90","2415475","Charlotte Hall CDP"," Maryland","number_households",356,400,"median_income",73571,80658
"91","2415500","Charlton CDP"," Maryland","number_households",70,112,"median_income",93269,NA
"92","2415925","Chesapeake Beach town"," Maryland","number_households",2174,2568,"median_income",82568,111379
"93","2415950","Chesapeake City town"," Maryland","number_households",372,347,"median_income",44211,58438
"94","2416050","Chesapeake Ranch Estates CDP"," Maryland","number_households",3230,3242,"median_income",78368,98684
"95","2416125","Chester CDP"," Maryland","number_households",1625,1881,"median_income",72906,82588
"96","2416225","Chestertown town"," Maryland","number_households",1924,2134,"median_income",35741,39682
"97","2416550","Cheverly town"," Maryland","number_households",2279,2617,"median_income",78449,99343
"98","2416620","Chevy Chase town"," Maryland","number_households",959,1006,"median_income",204911,250001
"99","2416625","Chevy Chase CDP"," Maryland","number_households",3742,3710,"median_income",143500,192273
"100","2416720","Chevy Chase Section Five village"," Maryland","number_households",246,237,"median_income",250001,250001
"101","2416730","Chevy Chase Section Three village"," Maryland","number_households",252,270,"median_income",201500,250001
"102","2416775","Chevy Chase View town"," Maryland","number_households",332,342,"median_income",2e+05,250001
"103","2416787","Chevy Chase Village town"," Maryland","number_households",691,679,"median_income",250001,250001
"104","2416800","Chewsville CDP"," Maryland","number_households",62,102,"median_income",22500,NA
"105","2416875","Chillum CDP"," Maryland","number_households",10813,10252,"median_income",52457,62412
"106","2417000","Choptank CDP"," Maryland","number_households",66,22,"median_income",11346,NA
"107","2417050","Church Creek town"," Maryland","number_households",42,46,"median_income",31250,42500
"108","2417100","Church Hill town"," Maryland","number_households",215,339,"median_income",49875,67604
"109","2417350","Clarksburg CDP"," Maryland","number_households",3332,7851,"median_income",123625,149173
"110","2417475","Clarysville CDP"," Maryland","number_households",49,19,"median_income",75511,NA
"111","2417600","Clear Spring town"," Maryland","number_households",208,188,"median_income",43056,59750
"112","2417900","Clinton CDP"," Maryland","number_households",12023,12473,"median_income",95801,110108
"113","2418150","Cloverly CDP"," Maryland","number_households",4990,4848,"median_income",122103,134527
"114","2418200","Cobb Island CDP"," Maryland","number_households",356,474,"median_income",56667,NA
"115","2418250","Cockeysville CDP"," Maryland","number_households",9145,9671,"median_income",55322,71417
"116","2418475","Colesville CDP"," Maryland","number_households",4764,4949,"median_income",111071,126063
"117","2418750","College Park city"," Maryland","number_households",6639,7620,"median_income",62366,68825
"118","2418850","Colmar Manor town"," Maryland","number_households",367,422,"median_income",56133,73839
"119","2419125","Columbia CDP"," Maryland","number_households",39448,41261,"median_income",93174,111278
"120","2419825","Coral Hills CDP"," Maryland","number_households",3628,3483,"median_income",56164,63484
"121","2419900","Cordova CDP"," Maryland","number_households",189,205,"median_income",69712,103295
"122","2419975","Corriganville CDP"," Maryland","number_households",159,278,"median_income",32708,36071
"123","2420050","Cottage City town"," Maryland","number_households",441,433,"median_income",43125,57404
"124","2420500","Crellin CDP"," Maryland","number_households",36,35,"median_income",19500,NA
"125","2420525","Cresaptown CDP"," Maryland","number_households",1233,972,"median_income",35417,47218
"126","2420775","Crisfield city"," Maryland","number_households",1275,1072,"median_income",39046,34444
"127","2420875","Crofton CDP"," Maryland","number_households",10217,10235,"median_income",100553,124019
"128","2420925","Croom CDP"," Maryland","number_households",805,908,"median_income",109886,111250
"129","2421075","Crownsville CDP"," Maryland","number_households",572,591,"median_income",73056,93750
"130","2421325","Cumberland city"," Maryland","number_households",9158,8279,"median_income",30627,40888
"131","2421475","Damascus CDP"," Maryland","number_households",5005,5565,"median_income",102035,128446
"132","2421550","Dames Quarter CDP"," Maryland","number_households",71,38,"median_income",61080,57000
"133","2421675","Danville CDP"," Maryland","number_households",126,274,"median_income",68125,2499
"134","2421750","Dargan CDP"," Maryland","number_households",136,56,"median_income",36538,NA
"135","2421800","Darlington CDP"," Maryland","number_households",182,213,"median_income",64500,103250
"136","2421825","Darnestown CDP"," Maryland","number_households",2172,2293,"median_income",165893,188317
"137","2421925","Dawson CDP"," Maryland","number_households",58,30,"median_income",33750,63636
"138","2422050","Deale CDP"," Maryland","number_households",1927,1779,"median_income",89982,95116
"139","2422100","Deal Island CDP"," Maryland","number_households",249,190,"median_income",31534,23333
"140","2422275","Deer Park town"," Maryland","number_households",162,147,"median_income",31607,43068
"141","2422600","Delmar town"," Maryland","number_households",1010,1282,"median_income",49786,59659
"142","2422725","Denton town"," Maryland","number_households",1428,1421,"median_income",62420,50808
"143","2422775","Derwood CDP"," Maryland","number_households",727,640,"median_income",112321,80595
"144","2422825","Detmold CDP"," Maryland","number_households",41,187,"median_income",32440,43792
"145","2423025","District Heights city"," Maryland","number_households",2182,2039,"median_income",63596,66758
"146","2423500","Downsville CDP"," Maryland","number_households",115,316,"median_income",42250,NA
"147","2423700","Drum Point CDP"," Maryland","number_households",1157,917,"median_income",91705,115096
"148","2423975","Dundalk CDP"," Maryland","number_households",24628,23536,"median_income",46753,55489
"149","2424062","Dunkirk CDP"," Maryland","number_households",816,NA,"median_income",108088,NA
"150","2424200","Eagle Harbor town"," Maryland","number_households",9,36,"median_income",40417,66071
"151","2424250","Eakles Mill CDP"," Maryland","number_households",0,0,"median_income",NA,NA
"152","2424450","East New Market town"," Maryland","number_households",130,134,"median_income",56111,64375
"153","2424475","Easton town"," Maryland","number_households",6441,7387,"median_income",59234,61639
"154","2424650","East Riverdale CDP"," Maryland","number_households",4254,4317,"median_income",59805,79008
"155","2424825","Eckhart Mines CDP"," Maryland","number_households",497,216,"median_income",54896,58938
"156","2424850","Eden CDP"," Maryland","number_households",392,388,"median_income",36686,31149
"157","2424925","Edesville CDP"," Maryland","number_households",92,79,"median_income",18125,31058
"158","2424950","Edgemere CDP"," Maryland","number_households",3565,3334,"median_income",59235,87367
