"","location_name","street_address","city","region","postal_code","chg_nvisits_yoy","start","placekey","address","visit_drop"
"1","Goodwill Industries","7311 Ritchie Hwy","Glen Burnie","MD","21061",-0.885416686534882,2024-05-01,"222-222@63r-b8w-dqf","7311 Ritchie Hwy Glen Burnie MD 21061",-88.54%
"2","Courtyard Baltimore Bwi Airport","1671 W Nursery Rd","Linthicum Heights","MD","21090",-0.885416686534882,2024-02-01,"222-222@63r-bjr-pd9","1671 W Nursery Rd Linthicum Heights MD 21090",-88.54%
"3","Hyatt Place","940 International Dr","Linthicum Heights","MD","21090",-0.885416686534882,2024-03-01,"222-222@63r-bjs-5s5","940 International Dr Linthicum Heights MD 21090",-88.54%
"4","Shell Oil","6616 Ritchie Hwy","Glen Burnie","MD","21061",-0.885416686534882,2024-02-01,"222-223@63r-b94-m49","6616 Ritchie Hwy Glen Burnie MD 21061",-88.54%
"5","Planet Fitness","597 E Ordnance Rd","Glen Burnie","MD","21060",-0.885416686534882,2024-04-01,"223-222@63r-b7p-w6k","597 E Ordnance Rd Glen Burnie MD 21060",-88.54%
"6","Subway","6938 Aviation Blvd Ste A","Glen Burnie","MD","21061",-0.885416686534882,2024-01-01,"224-222@63r-b8z-75z","6938 Aviation Blvd Ste A Glen Burnie MD 21061",-88.54%
"7","CrossFit","7609 Energy Pkwy Ste 701","Curtis Bay","MD","21226",-0.885416686534882,2024-03-01,"225-223@63r-b88-7nq","7609 Energy Pkwy Ste 701 Curtis Bay MD 21226",-88.54%
"8","Gold's Gym","1131 Merritt Blvd","Dundalk","MD","21222",-0.885416686534882,2024-01-01,"225-223@63r-bqs-b6k","1131 Merritt Blvd Dundalk MD 21222",-88.54%
"9","PetSmart","24 Mountain Rd","Glen Burnie","MD","21060",-0.885416686534882,2024-02-01,"zzw-224@63r-52s-fs5","24 Mountain Rd Glen Burnie MD 21060",-88.54%
"10","Starbucks","1700 W Nursery Rd","Linthicum Heights","MD","21090",-0.885416686534882,2024-05-01,"zzy-223@63r-bjr-p35","1700 W Nursery Rd Linthicum Heights MD 21090",-88.54%
"11","Overlook Park","Hampton Rd","Linthicum","MD","21090",-0.885416686534882,2024-03-01,"zzz-222@63r-b8m-wrk","Hampton Rd Linthicum MD 21090",-88.54%
"12","Burger King","7988 Crain Hwy S","Glen Burnie","MD","21061",-0.883720934391022,2024-05-01,"222-222@63r-53q-rp9","7988 Crain Hwy S Glen Burnie MD 21061",-88.37%
"13","Advance Auto Parts","1401 Merritt Blvd Ste E","Baltimore","MD","21222",-0.867999970912933,2024-01-01,"zzy-222@63r-b9j-n3q","1401 Merritt Blvd Ste E Baltimore MD 21222",-86.80%
"14","Chesapeake","1743 W Nursery Rd","Linthicum Heights","MD","21090",-0.845272183418274,2024-02-01,"222-225@63r-bjr-mkz","1743 W Nursery Rd Linthicum Heights MD 21090",-84.53%
"15","Biblical Word Of God Revivals Inc Gene L Bullard","Route 2 Box 750","Glen Burnie","MD","21060",-0.842465758323669,2024-02-01,"zzy-222@63r-b7p-vxq","Route 2 Box 750 Glen Burnie MD 21060",-84.25%
"16","Rim Doctor","219 Thelma Ave","Glen Burnie","MD","21061",-0.830645143985748,2024-03-01,"zzw-222@63r-b92-3h5","219 Thelma Ave Glen Burnie MD 21061",-83.06%
"17","Shell Oil","463 N Camp Meade Rd","Linthicum Heights","MD","21090",-0.826403319835663,2024-02-01,"223-222@63r-b8h-jqf","463 N Camp Meade Rd Linthicum Heights MD 21090",-82.64%
"18","Economy Propane","7635 Gambrills Cove Rd","Baltimore","MD","21226",-0.80961537361145,2024-01-01,"222-222@63r-b87-mtv","7635 Gambrills Cove Rd Baltimore MD 21226",-80.96%
"19","Crazy Crab","805 Aquahart Rd","Glen Burnie","MD","21061",-0.80212014913559,2024-01-01,"zzy-225@63r-b8x-mzf","805 Aquahart Rd Glen Burnie MD 21061",-80.21%
