"","location_name","street_address","city","region","postal_code","chg_nvisits_yoy","start","address"
"1","CrossFit","7609 Energy Pkwy Ste 701","Curtis Bay","MD","21226",-0.885416686534882,2024-03-01,"7609 Energy Pkwy Ste 701 Curtis Bay MD 21226"
"2","Advance Auto Parts","1401 Merritt Blvd Ste E","Baltimore","MD","21222",-0.885416686534882,2024-05-01,"1401 Merritt Blvd Ste E Baltimore MD 21222"
"3","Gold's Gym","1131 Merritt Blvd","Dundalk","MD","21222",-0.885416686534882,2024-01-01,"1131 Merritt Blvd Dundalk MD 21222"
"4","Gold's Gym","1131 Merritt Blvd","Dundalk","MD","21222",-0.885416686534882,2024-05-01,"1131 Merritt Blvd Dundalk MD 21222"
"5","Fort Armistead Park","4000 Hawkins Point Rd","Curtis Bay","MD","21226",-0.885416686534882,2024-04-01,"4000 Hawkins Point Rd Curtis Bay MD 21226"
"6","Advance Auto Parts","1401 Merritt Blvd Ste E","Baltimore","MD","21222",-0.867999970912933,2024-01-01,"1401 Merritt Blvd Ste E Baltimore MD 21222"
"7","North Point Fuel Stop","4240 North Point Blvd","Dundalk","MD","21222",-0.841269850730896,2024-04-01,"4240 North Point Blvd Dundalk MD 21222"
"8","Economy Propane","7635 Gambrills Cove Rd","Baltimore","MD","21226",-0.80961537361145,2024-01-01,"7635 Gambrills Cove Rd Baltimore MD 21226"
"9","Holabird Pizzaria","6902 Holabird Ave","Dundalk","MD","21222",-0.797101438045502,2024-07-01,"6902 Holabird Ave Dundalk MD 21222"
"10","Meehan's Marina","2533 School House Ln","Sparrows Point","MD","21219",-0.782608687877655,2024-04-01,"2533 School House Ln Sparrows Point MD 21219"
"11","Shell Oil","1521 Merritt Blvd","Dundalk","MD","21222",-0.768545985221863,2024-04-01,"1521 Merritt Blvd Dundalk MD 21222"
"12","Inside Out Fitness","6501 N Point Rd","Sparrows Point","MD","21219",-0.767195761203766,2024-07-01,"6501 N Point Rd Sparrows Point MD 21219"
"13","Adrian Steel Maryland","7600 Energy Pkwy","Baltimore","MD","21226",-0.764705896377563,2024-06-01,"7600 Energy Pkwy Baltimore MD 21226"
