County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,Dan Cox and Gordana Schifanelli,REP,,,11,,62,,6,,15,,2, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,Wes Moore and Aruna Miller,DEM,Y,,126,,338,,109,,202,,107, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,David Lashar and Christiana Logansmith,LIB,,,0,,11,,1,,3,,0, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,Nancy Wallace and Patrick Elder,GRN,,,2,,3,,3,,2,,0, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,David Harding and Cathy White,WCP,,,1,,4,,0,,2,,1, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,Kyle Sefcik and Katie Lee,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-001,7,46,Governor / Lt. Governor,,Other Write-Ins,,,Y,1,,0,,1,,0,,0, 
3,Baltimore City,001-001,7,46,Comptroller,,Barry Glassman,REP,,,19,,92,,19,,20,,8, 
3,Baltimore City,001-001,7,46,Comptroller,,Brooke Elizabeth Lierman,DEM,Y,,122,,320,,103,,194,,102, 
3,Baltimore City,001-001,7,46,Comptroller,,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-001,7,46,Attorney General,,Michael Anthony Peroutka,REP,,,15,,74,,15,,15,,3, 
3,Baltimore City,001-001,7,46,Attorney General,,Anthony G. Brown,DEM,Y,,123,,336,,106,,203,,105, 
3,Baltimore City,001-001,7,46,Attorney General,,Other Write-Ins,,,Y,1,,1,,1,,0,,0, 
3,Baltimore City,001-001,7,46,U.S. Senator,,Chris Chaffee,REP,,,12,,69,,11,,15,,2, 
3,Baltimore City,001-001,7,46,U.S. Senator,,Chris Van Hollen,DEM,Y,,127,,343,,108,,205,,108, 
3,Baltimore City,001-001,7,46,U.S. Senator,,Scottie Griffin,DEM,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-001,7,46,U.S. Senator,,Andrew J. Wildman,UNA,,Y,0,,1,,0,,0,,0, 
3,Baltimore City,001-001,7,46,U.S. Senator,,Other Write-Ins,,,Y,1,,0,,0,,0,,0, 
3,Baltimore City,001-001,7,46,U.S. Congress,7,Scott M. Collier,REP,,,15,,75,,16,,17,,5, 
3,Baltimore City,001-001,7,46,U.S. Congress,7,Kweisi Mfume,DEM,Y,,122,,328,,103,,192,,102, 
3,Baltimore City,001-001,7,46,U.S. Congress,7,Other Write-Ins,,,Y,1,,1,,1,,2,,1, 
3,Baltimore City,001-001,7,46,State Senator,46,Emmanuel Digman,REP,,,11,,63,,7,,7,,2, 
3,Baltimore City,001-001,7,46,State Senator,46,Bill Ferguson,DEM,Y,,127,,339,,111,,66,,96, 
3,Baltimore City,001-001,7,46,State Senator,46,Other Write-Ins,,,Y,1,,1,,0,,0,,0, 
3,Baltimore City,001-001,7,46,House of Delegates,46,Pete Waters,REP,,,16,,82,,16,,8,,3, 
3,Baltimore City,001-001,7,46,House of Delegates,46,Luke Clippinger,DEM,Y,,120,,294,,102,,51,,90, 
3,Baltimore City,001-001,7,46,House of Delegates,46,Mark Edelson,DEM,Y,,113,,305,,105,,53,,85, 
3,Baltimore City,001-001,7,46,House of Delegates,46,Robbyn Lewis,DEM,Y,,122,,318,,101,,51,,86, 
3,Baltimore City,001-001,7,46,House of Delegates,46,Other Write-Ins,,,Y,6,,4,,0,,0,,1, 
3,Baltimore City,001-001,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Erik Atas,JUD,Y,,74,,201,,60,,45,,48, 
3,Baltimore City,001-001,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Charles Mario Blomquist,JUD,Y,,70,,198,,56,,39,,47, 
3,Baltimore City,001-001,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Myshala E. Middleton,JUD,Y,,79,,234,,63,,63,,58, 
3,Baltimore City,001-001,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Barry G. Williams,JUD,Y,,78,,205,,59,,54,,54, 
3,Baltimore City,001-001,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Other Write-Ins,,,Y,2,,12,,3,,1,,0, 
3,Baltimore City,001-001,7,46,Judge Spec Appeal at Lg,,Stuart R. Berger,JUD,Y,,80,20,233,61,67,14,59,26,63,13
3,Baltimore City,001-001,7,46,Judge Spec Appeal at Lg,,Terrence M. R. Zic,JUD,Y,,81,19,232,58,65,16,60,23,55,19
3,Baltimore City,001-001,7,46,State's Attorney,,Ivan Bates,DEM,Y,,130,,357,,110,,99,,92, 
3,Baltimore City,001-001,7,46,State's Attorney,,Other Write-Ins,,,Y,3,,7,,2,,1,,0, 
