TRACTCE10,GEOID10,NAME10,CSA2010
010100,24510010100,101,Canton
010200,24510010200,102,Patterson Park North & East
010300,24510010300,103,Canton
010400,24510010400,104,Canton
010500,24510010500,105,Fells Point
020100,24510020100,201,Fells Point
020200,24510020200,202,Fells Point
020300,24510020300,203,Fells Point
030100,24510030100,301,Harbor East/Little Italy
030200,24510030200,302,Harbor East/Little Italy
040100,24510040100,401,Downtown/Seton Hill
040200,24510040200,402,Downtown/Seton Hill
060100,24510060100,601,Patterson Park North & East
060200,24510060200,602,Patterson Park North & East
060300,24510060300,603,Patterson Park North & East
060400,24510060400,604,Oldtown/Middle East
070100,24510070100,701,Madison/East End
070200,24510070200,702,Madison/East End
070300,24510070300,703,Madison/East End
070400,24510070400,704,Oldtown/Middle East
080101,24510080101,801.01,Belair-Edison
080102,24510080102,801.02,Belair-Edison
080200,24510080200,802,Clifton-Berea
080301,24510080301,803.01,Clifton-Berea
080302,24510080302,803.02,Clifton-Berea
080400,24510080400,804,Clifton-Berea
080500,24510080500,805,Clifton-Berea
080600,24510080600,806,Greenmount East
080700,24510080700,807,Greenmount East
080800,24510080800,808,Oldtown/Middle East
090100,24510090100,901,Greater Govans
090200,24510090200,902,Northwood
090300,24510090300,903,The Waverlies
090400,24510090400,904,The Waverlies
090500,24510090500,905,The Waverlies
090600,24510090600,906,Midway/Coldstream
090700,24510090700,907,Midway/Coldstream
090800,24510090800,908,Midway/Coldstream
090900,24510090900,909,Greenmount East
100100,24510100100,1001,Greenmount East
100200,24510100200,1002,Oldtown/Middle East
100300,24510100300,1003,Unassigned--Jail
110100,24510110100,1101,Midtown
110200,24510110200,1102,Midtown
120100,24510120100,1201,North Baltimore/Guilford/Homeland
120201,24510120201,1202.01,Greater Charles Village/Barclay
120202,24510120202,1202.02,Greater Charles Village/Barclay
120300,24510120300,1203,Greater Charles Village/Barclay
120400,24510120400,1204,Greater Charles Village/Barclay
120500,24510120500,1205,Midtown
120600,24510120600,1206,Greater Charles Village/Barclay
120700,24510120700,1207,Medfield/Hampden/Woodberry/Remington
130100,24510130100,1301,Penn North/Reservoir Hill
130200,24510130200,1302,Penn North/Reservoir Hill
130300,24510130300,1303,Penn North/Reservoir Hill
130400,24510130400,1304,Penn North/Reservoir Hill
130600,24510130600,1306,Medfield/Hampden/Woodberry/Remington
130700,24510130700,1307,Medfield/Hampden/Woodberry/Remington
130803,24510130803,1308.03,Medfield/Hampden/Woodberry/Remington
130804,24510130804,1308.04,Medfield/Hampden/Woodberry/Remington
130805,24510130805,1308.05,Mount Washington/Coldspring
130806,24510130806,1308.06,Medfield/Hampden/Woodberry/Remington
140100,24510140100,1401,Midtown
140200,24510140200,1402,Upton/Druid Heights
140300,24510140300,1403,Upton/Druid Heights
150100,24510150100,1501,Sandtown-Winchester/Harlem Park
150200,24510150200,1502,Sandtown-Winchester/Harlem Park
150300,24510150300,1503,Greater Rosemont
150400,24510150400,1504,Greater Mondawmin
150500,24510150500,1505,Greater Mondawmin
150600,24510150600,1506,Greater Rosemont
150701,24510150701,1507.01,Greater Mondawmin
150702,24510150702,1507.02,Greater Mondawmin
150800,24510150800,1508,Forest Park/Walbrook
150900,24510150900,1509,Forest Park/Walbrook
151000,24510151000,1510,Dorchester/Ashburton
151100,24510151100,1511,Dorchester/Ashburton
151200,24510151200,1512,Southern Park Heights
151300,24510151300,1513,Southern Park Heights
160100,24510160100,1601,Sandtown-Winchester/Harlem Park
160200,24510160200,1602,Sandtown-Winchester/Harlem Park
160300,24510160300,1603,Sandtown-Winchester/Harlem Park
160400,24510160400,1604,Sandtown-Winchester/Harlem Park
160500,24510160500,1605,Greater Rosemont
160600,24510160600,1606,Greater Rosemont
160700,24510160700,1607,Greater Rosemont
160801,24510160801,1608.01,Edmondson Village
160802,24510160802,1608.02,Edmondson Village
170100,24510170100,1701,Downtown/Seton Hill
170200,24510170200,1702,Upton/Druid Heights
170300,24510170300,1703,Upton/Druid Heights
180100,24510180100,1801,Poppleton/The Terraces/Hollins Market
180200,24510180200,1802,Poppleton/The Terraces/Hollins Market
180300,24510180300,1803,Poppleton/The Terraces/Hollins Market
190100,24510190100,1901,Southwest Baltimore
190200,24510190200,1902,Southwest Baltimore
190300,24510190300,1903,Southwest Baltimore
200100,24510200100,2001,Southwest Baltimore
200200,24510200200,2002,Southwest Baltimore
200300,24510200300,2003,Southwest Baltimore
200400,24510200400,2004,Southwest Baltimore
200500,24510200500,2005,Southwest Baltimore
200600,24510200600,2006,Allendale/Irvington/S. Hilton
200701,24510200701,2007.01,Allendale/Irvington/S. Hilton
200702,24510200702,2007.02,Allendale/Irvington/S. Hilton
200800,24510200800,2008,Allendale/Irvington/S. Hilton
210100,24510210100,2101,Washington Village/Pigtown
210200,24510210200,2102,Washington Village/Pigtown
220100,24510220100,2201,Inner Harbor/Federal Hill
230100,24510230100,2301,Inner Harbor/Federal Hill
230200,24510230200,2302,Inner Harbor/Federal Hill
230300,24510230300,2303,South Baltimore
240100,24510240100,2401,South Baltimore
240200,24510240200,2402,Inner Harbor/Federal Hill
240300,24510240300,2403,Inner Harbor/Federal Hill
240400,24510240400,2404,South Baltimore
250101,24510250101,2501.01,Beechfield/Ten Hills/West Hills
250102,24510250102,2501.02,Allendale/Irvington/S. Hilton
250103,24510250103,2501.03,Morrell Park/Violetville
