"","location_name","street_address","city","region","postal_code","dln_visits_yoy","start","address"
"1","CrossFit","7609 Energy Pkwy Ste 701","Curtis Bay","MD","21226",-2.16645288467407,2024-05-01,"7609 Energy Pkwy Ste 701 Curtis Bay MD 21226"
"2","Solleys Cemetery","Solley Rd","Glen Burnie","MD","21060",-2.16645288467407,2024-06-01,"Solley Rd Glen Burnie MD 21060"
"3","PetSmart","24 Mountain Rd","Glen Burnie","MD","21060",-2.16645288467407,2024-05-01,"24 Mountain Rd Glen Burnie MD 21060"
"4","LA Fitness","8120 Jumpers Hole Rd","Pasadena","MD","21122",-2.16645288467407,2024-02-01,"8120 Jumpers Hole Rd Pasadena MD 21122"
"5","X Golf Pasadena","8048 Ritchie Hwy","Pasadena","MD","21122",-2.16645288467407,2024-01-01,"8048 Ritchie Hwy Pasadena MD 21122"
"6","ALDI","8124 Ritchie Hwy","Pasadena","MD","21122",-2.16645288467407,2024-04-01,"8124 Ritchie Hwy Pasadena MD 21122"
"7","Pats Select Pizza & Grill","8108 Ritchie Hwy","Pasadena","MD","21122",-2.16645288467407,2024-03-01,"8108 Ritchie Hwy Pasadena MD 21122"
"8","Subway","4165 Mountain Rd","Pasadena","MD","21122",-2.16645288467407,2024-02-01,"4165 Mountain Rd Pasadena MD 21122"
"9","Starbucks","4211 Mountain Rd","Pasadena","MD","21122",-2.16645288467407,2024-03-01,"4211 Mountain Rd Pasadena MD 21122"
"10","Antwerpen Volkswagen","8065 Ritchie Hwy","Pasadena","MD","21122",-2.16645288467407,2024-02-01,"8065 Ritchie Hwy Pasadena MD 21122"
"11","RICH MORTON MAZDA","51 Mountain Rd","Pasadena","MD","21122",-2.16645288467407,2024-04-01,"51 Mountain Rd Pasadena MD 21122"
"12","Brumwells Flea Market","3921 Mountain Rd","Pasadena","MD","21122",-2.16645288467407,2024-03-01,"3921 Mountain Rd Pasadena MD 21122"
"13","Breaking the Borders","3921 Mountain Rd","Pasadena","MD","21122",-2.16645288467407,2024-07-01,"3921 Mountain Rd Pasadena MD 21122"
"14","Poplar Ridge Park","Poplar Rd","Pasadena","MD","21122",-2.16645288467407,2024-04-01,"Poplar Rd Pasadena MD 21122"
"15","Sam & Maggie's Dockside Grill","1575 Fairview Beach Rd","Pasadena","MD","21122",-2.16645288467407,2024-05-01,"1575 Fairview Beach Rd Pasadena MD 21122"
"16","Sports and Imports","8133 Hog Neck Rd","Pasadena","MD","21122",-2.16645288467407,2024-04-01,"8133 Hog Neck Rd Pasadena MD 21122"
"17","XtraFuels","6971 Baltimore Annapolis Blvd","Brooklyn Park","MD","21225",-2.16645288467407,2024-01-01,"6971 Baltimore Annapolis Blvd Brooklyn Park MD 21225"
"18","American","5500 Ritchie Hwy","Brooklyn Park","MD","21225",-2.16645288467407,2024-01-01,"5500 Ritchie Hwy Brooklyn Park MD 21225"
"19","Overlook Park","Hampton Rd","Linthicum","MD","21090",-2.16645288467407,2024-04-01,"Hampton Rd Linthicum MD 21090"
"20","Carroll Independent Fuel","7059 Baltimore Annapolis Blvd","Glen Burnie","MD","21061",-2.16645288467407,2024-01-01,"7059 Baltimore Annapolis Blvd Glen Burnie MD 21061"
"21","Subway","6938 Aviation Blvd Ste A","Glen Burnie","MD","21061",-2.16645288467407,2024-02-01,"6938 Aviation Blvd Ste A Glen Burnie MD 21061"
"22","Shell Oil","6616 Ritchie Hwy","Glen Burnie","MD","21061",-2.16645288467407,2024-05-01,"6616 Ritchie Hwy Glen Burnie MD 21061"
"23","Goodwill Industries","7311 Ritchie Hwy","Glen Burnie","MD","21061",-2.16645288467407,2024-04-01,"7311 Ritchie Hwy Glen Burnie MD 21061"
"24","Planet Fitness","597 E Ordnance Rd","Glen Burnie","MD","21060",-2.16645288467407,2024-05-01,"597 E Ordnance Rd Glen Burnie MD 21060"
"25","Starbucks","1700 W Nursery Rd","Linthicum Heights","MD","21090",-2.16645288467407,2024-02-01,"1700 W Nursery Rd Linthicum Heights MD 21090"
"26","Fort Armistead Park","4000 Hawkins Point Rd","Curtis Bay","MD","21226",-2.16645288467407,2024-04-01,"4000 Hawkins Point Rd Curtis Bay MD 21226"
"27","Courtyard Baltimore Bwi Airport","1671 W Nursery Rd","Linthicum Heights","MD","21090",-2.02960920333862,2024-01-01,"1671 W Nursery Rd Linthicum Heights MD 21090"
"28","Biblical Word Of God Revivals Inc Gene L Bullard","Route 2 Box 750","Glen Burnie","MD","21060",-1.95970344543457,2024-03-01,"Route 2 Box 750 Glen Burnie MD 21060"
"29","Universal Muscle Cars","706 Wedeman Ave","Linthicum Heights","MD","21090",-1.75642013549805,2024-06-01,"706 Wedeman Ave Linthicum Heights MD 21090"
"30","Marriott Hotels","1743 W Nursery Rd","Linthicum Heights","MD","21090",-1.74891185760498,2024-03-01,"1743 W Nursery Rd Linthicum Heights MD 21090"
"31","St Rose Of Lima Roman Catholic Congregation Inc","4708 Prudence St","Curtis Bay","MD","21226",-1.73460102081299,2024-07-01,"4708 Prudence St Curtis Bay MD 21226"
"32","Chesapeake","1743 W Nursery Rd","Linthicum Heights","MD","21090",-1.70205080509186,2024-01-01,"1743 W Nursery Rd Linthicum Heights MD 21090"
"33","Miracle-Ear","7678 Quarterfield Rd Ste 202","Glen Burnie","MD","21061",-1.68478739261627,2024-02-01,"7678 Quarterfield Rd Ste 202 Glen Burnie MD 21061"
"34","Brooklyn Boosters Club","646 E Patapsco Ave","Brooklyn","MD","21225",-1.67493748664856,2024-06-01,"646 E Patapsco Ave Brooklyn MD 21225"
"35","Sunoco","7448 E Furnace Branch Rd","Glen Burnie","MD","21060",-1.67451512813568,2024-03-01,"7448 E Furnace Branch Rd Glen Burnie MD 21060"
"36","St Alban's Church","105 1st Ave SW","Glen Burnie","MD","21061",-1.64625191688538,2024-07-01,"105 1st Ave SW Glen Burnie MD 21061"
