OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|OID_PLACE_10|GEOID_PLACE_10|NAMELSAD_PLACE_10|AREALAND_PLACE_10|AREAWATER_PLACE_10|MTFCC_PLACE_10|CLASSFP_PLACE_10|FUNCSTAT_PLACE_10|AREALAND_PART|AREAWATER_PART
27890157161704|2400125|Aberdeen city|17080260|21563|G4110|C1|A|||||||||573706|1734
27890157161704|2400125|Aberdeen city|17080260|21563|G4110|C1|A|27840157161704|2400125|Aberdeen city|17682900|19035|G4110|C1|A|16403021|19035
27890157161704|2400125|Aberdeen city|17080260|21563|G4110|C1|A|27840157161711|2437600|Havre de Grace city|14226624|3599637|G4110|C1|A|21571|794
27890157161704|2400125|Aberdeen city|17080260|21563|G4110|C1|A|28040157161714|2461075|Perryman CDP|14278109|155645|G4210|U1|S|81962|0
28090157161705|2400175|Aberdeen Proving Ground CDP|28838202|2077533|G4210|M2|S|||||||||38563|0
28090157161705|2400175|Aberdeen Proving Ground CDP|28838202|2077533|G4210|M2|S|27840157161704|2400125|Aberdeen city|17682900|19035|G4110|C1|A|16796|0
28090157161705|2400175|Aberdeen Proving Ground CDP|28838202|2077533|G4210|M2|S|28040157161705|2400175|Aberdeen Proving Ground CDP|28764240|2077533|G4210|M2|S|28764240|2077533
28090157161705|2400175|Aberdeen Proving Ground CDP|28838202|2077533|G4210|M2|S|28040157161714|2461075|Perryman CDP|14278109|155645|G4210|U1|S|18603|0
2809015503851179|2400200|Abingdon CDP|7154598|30594|G4210|U1|S|||||||||5399080|9661
2809015503851179|2400200|Abingdon CDP|7154598|30594|G4210|U1|S|28040157161709|2425150|Edgewood CDP|46052881|358087|G4210|M2|S|1755518|0
2809015503851179|2400200|Abingdon CDP|7154598|30594|G4210|U1|S|28040157161716|2466762|Riverside CDP|6031961|29258|G4210|U1|S|0|20933
27890156250283|2400225|Accident town|1280441|0|G4110|C1|A|27840156250283|2400225|Accident town|1280441|0|G4110|C1|A|1280441|0
28090286317578|2400250|Accokeek CDP|71034317|3540309|G4210|U1|S|28040286317578|2400250|Accokeek CDP|71057372|3540309|G4210|U1|S|71034317|3540309
280903717002005|2400350|Adamstown CDP|2755748|0|G4210|U1|S|||||||||11971|0
280903717002005|2400350|Adamstown CDP|2755748|0|G4210|U1|S|280403717002005|2400350|Adamstown CDP|8517589|2520|G4210|U1|S|2743777|0
28090286317579|2400400|Adelphi CDP|7033864|6498|G4210|U1|S|28040286317579|2400400|Adelphi CDP|7096285|6498|G4210|U1|S|6985011|6498
28090286317579|2400400|Adelphi CDP|7033864|6498|G4210|U1|S|27840286317593|2418750|College Park city|14474200|182977|G4110|C1|A|6337|0
28090286317579|2400400|Adelphi CDP|7033864|6498|G4210|U1|S|27840286317613|2441250|Hyattsville city|6887194|68734|G4110|C1|A|42516|0
28090153149029|2400712|Algonquin CDP|1945535|5424407|G4210|U1|S|28040153149029|2400712|Algonquin CDP|1920395|5423538|G4210|U1|S|1899068|5423538
28090153149029|2400712|Algonquin CDP|1945535|5424407|G4210|U1|S|27840153149031|2412400|Cambridge city|26796223|5956734|G4110|C1|A|46467|869
280903716922151|2400800|Allen CDP|1122727|13776|G4210|U1|S|||||||||211300|0
280903716922151|2400800|Allen CDP|1122727|13776|G4210|U1|S|280403716922151|2400800|Allen CDP|911427|13776|G4210|U1|S|911427|13776
28090286317580|2401450|Andrews AFB CDP|17953120|91636|G4210|M2|S|28040286317580|2401450|Andrews AFB CDP|17907780|91636|G4210|M2|S|17905626|91636
28090286317580|2401450|Andrews AFB CDP|17953120|91636|G4210|M2|S|28040286317592|2417900|Clinton CDP|64804612|197710|G4210|U1|S|11557|0
28090286317580|2401450|Andrews AFB CDP|17953120|91636|G4210|M2|S|280403716512989|2451860|Melwood CDP|7264259|13198|G4210|U1|S|31996|0
28090286317580|2401450|Andrews AFB CDP|17953120|91636|G4210|M2|S|27840286317624|2453625|Morningside town|1438180|1987|G4110|C1|A|3941|0
27890266655573|2401600|Annapolis city|18663006|2344599|G4110|C1|A|27840266655573|2401600|Annapolis city|18696393|2344599|G4110|C1|A|18616165|2344599
27890266655573|2401600|Annapolis city|18663006|2344599|G4110|C1|A|280403717002088|2401635|Annapolis Neck CDP|17925387|11565723|G4210|U2|S|44821|0
27890266655573|2401600|Annapolis city|18663006|2344599|G4110|C1|A|28040266655596|2460325|Parole CDP|26599069|4045211|G4210|U1|S|2020|0
280903717002088|2401635|Annapolis Neck CDP|17953430|11565723|G4210|U2|S|27840266655573|2401600|Annapolis city|18696393|2344599|G4110|C1|A|79096|0
280903717002088|2401635|Annapolis Neck CDP|17953430|11565723|G4210|U2|S|280403717002088|2401635|Annapolis Neck CDP|17925387|11565723|G4210|U2|S|17874334|11565723
280903710977614|2401750|Antietam CDP|397423|0|G4210|U1|S|280403710977614|2401750|Antietam CDP|397423|0|G4210|U1|S|397423|0
280903716983976|2401925|Aquasco CDP|51230240|6042829|G4210|U1|S|280403716983976|2401925|Aquasco CDP|51247025|6042829|G4210|U1|S|51226669|6042829
280903716983976|2401925|Aquasco CDP|51230240|6042829|G4210|U1|S|27840286317598|2424200|Eagle Harbor town|299698|0|G4110|C1|A|3571|0
28090271390272|2401975|Arbutus CDP|16901986|4329|G4210|U1|S|28040271390272|2401975|Arbutus CDP|16901986|4329|G4210|U1|S|16901986|4329
28090266655574|2402025|Arden on the Severn CDP|3700000|540471|G4210|U1|S|28040266655574|2402025|Arden on the Severn CDP|3700000|540471|G4210|U1|S|3700000|540471
28090266655575|2402275|Arnold CDP|28020424|7085257|G4210|U1|S|28040266655575|2402275|Arnold CDP|28018575|7085257|G4210|U1|S|28018575|7085257
28090266655575|2402275|Arnold CDP|28020424|7085257|G4210|U1|S|28040266655577|2412912|Cape St. Claire CDP|5182544|1366273|G4210|U1|S|1849|0
28090158088587|2402762|Ashton-Sandy Spring CDP|26566558|259704|G4210|U2|S|28040158088587|2402762|Ashton-Sandy Spring CDP|26605788|257454|G4210|U2|S|26538901|249976
28090158088587|2402762|Ashton-Sandy Spring CDP|26566558|259704|G4210|U2|S|28040158088624|2458900|Olney CDP|41961021|115921|G4210|U1|S|27657|9728
28090158088588|2402825|Aspen Hill CDP|24599274|212967|G4210|U1|S|||||||||0|2986
28090158088588|2402825|Aspen Hill CDP|24599274|212967|G4210|U1|S|28040158088588|2402825|Aspen Hill CDP|24886255|206787|G4210|U1|S|24594330|206787
28090158088588|2402825|Aspen Hill CDP|24599274|212967|G4210|U1|S|28040158088629|2446375|Leisure World CDP|2840101|19532|G4210|U1|S|3058|0
28090158088588|2402825|Aspen Hill CDP|24599274|212967|G4210|U1|S|27840158088628|2467675|Rockville city|35091031|95366|G4110|C1|A|1564|3055
28090158088588|2402825|Aspen Hill CDP|24599274|212967|G4210|U1|S|28040158088636|2483775|Wheaton CDP|17859047|111041|G4210|U1|S|322|139
280903716984798|2403500|Baden CDP|71487661|2398230|G4210|U1|S|280403716984798|2403500|Baden CDP|71487661|2398230|G4210|U1|S|71487661|2398230
