"","year","state_code_value","zip","feb_count","march_count","diff_march_feb"
"1",2024,"MD",21206,147,152,5
"2",2024,"MD",21740,133,103,-30
"3",2024,"MD",21215,129,146,17
"4",2024,"MD",21229,119,130,11
"5",2024,"MD",21222,109,155,46
"6",2024,"MD",21221,106,112,6
"7",2024,"MD",21207,104,126,22
"8",2024,"MD",21117,104,121,17
"9",2024,"MD",21061,102,78,-24
"10",2024,"MD",21234,99,150,51
"11",2024,"MD",21213,97,93,-4
"12",2024,"MD",21218,95,90,-5
"13",2024,"MD",21217,91,92,1
"14",2024,"MD",20874,89,89,0
"15",2024,"MD",21216,89,79,-10
"16",2024,"MD",21122,81,85,4
"17",2024,"MD",20747,80,67,-13
"18",2024,"MD",21220,77,107,30
"19",2024,"MD",21224,76,86,10
"20",2024,"MD",21044,75,59,-16
"21",2024,"MD",21244,74,99,25
"22",2024,"MD",21236,73,70,-3
"23",2024,"MD",20706,72,63,-9
"24",2024,"MD",20785,70,57,-13
"25",2024,"MD",21230,70,79,9
"26",2024,"MD",21133,68,69,1
"27",2024,"MD",20904,68,48,-20
"28",2024,"MD",20772,67,60,-7
"29",2024,"MD",20743,67,81,14
"30",2024,"MD",20744,65,54,-11
"31",2024,"MD",21225,64,85,21
"32",2024,"MD",21040,64,70,6
"33",2024,"MD",21703,63,57,-6
"34",2024,"MD",21502,62,45,-17
"35",2024,"MD",20774,62,76,14
"36",2024,"MD",20878,60,65,5
"37",2024,"MD",21223,60,61,1
"38",2024,"MD",20707,59,55,-4
"39",2024,"MD",21227,58,48,-10
"40",2024,"MD",21060,56,47,-9
"41",2024,"MD",21804,55,47,-8
"42",2024,"MD",21228,55,52,-3
"43",2024,"MD",20906,54,58,4
"44",2024,"MD",20748,54,68,14
"45",2024,"MD",21702,53,60,7
"46",2024,"MD",21742,52,44,-8
"47",2024,"MD",21921,52,58,6
"48",2024,"MD",20886,52,37,-15
"49",2024,"MD",21214,51,43,-8
"50",2024,"MD",21144,51,50,-1
"51",2024,"MD",21014,50,37,-13
"52",2024,"MD",20910,50,44,-6
"53",2024,"MD",20850,49,49,0
"54",2024,"MD",20902,49,46,-3
"55",2024,"MD",21045,48,51,3
"56",2024,"MD",20708,48,35,-13
"57",2024,"MD",21811,47,18,-29
"58",2024,"MD",21239,47,88,41
"59",2024,"MD",21075,46,45,-1
"60",2024,"MD",21842,46,10,-36
"61",2024,"MD",21202,45,43,-2
"62",2024,"MD",21212,45,53,8
"63",2024,"MD",21001,45,40,-5
"64",2024,"MD",20746,44,42,-2
"65",2024,"MD",20877,44,40,-4
