"","location_name","street_address","city","region","postal_code","dln_visits_yoy","start","foot_traffic_yoy","address"
"1","CrossFit","7609 Energy Pkwy Ste 701","Curtis Bay","MD","21226",-2.16645288467407,2024-03-01,2.16645288467407,"7609 Energy Pkwy Ste 701 Curtis Bay MD 21226"
"2","Advance Auto Parts","1401 Merritt Blvd Ste E","Baltimore","MD","21222",-2.16645288467407,2024-05-01,2.16645288467407,"1401 Merritt Blvd Ste E Baltimore MD 21222"
"3","Gold's Gym","1131 Merritt Blvd","Dundalk","MD","21222",-2.16645288467407,2024-01-01,2.16645288467407,"1131 Merritt Blvd Dundalk MD 21222"
"4","Gold's Gym","1131 Merritt Blvd","Dundalk","MD","21222",-2.16645288467407,2024-05-01,2.16645288467407,"1131 Merritt Blvd Dundalk MD 21222"
"5","Fort Armistead Park","4000 Hawkins Point Rd","Curtis Bay","MD","21226",-2.16645288467407,2024-04-01,2.16645288467407,"4000 Hawkins Point Rd Curtis Bay MD 21226"
"6","Advance Auto Parts","1401 Merritt Blvd Ste E","Baltimore","MD","21222",-2.02495336532593,2024-01-01,2.02495336532593,"1401 Merritt Blvd Ste E Baltimore MD 21222"
"7","North Point Fuel Stop","4240 North Point Blvd","Dundalk","MD","21222",-1.84054958820343,2024-04-01,1.84054958820343,"4240 North Point Blvd Dundalk MD 21222"
"8","Economy Propane","7635 Gambrills Cove Rd","Baltimore","MD","21226",-1.65870893001556,2024-01-01,1.65870893001556,"7635 Gambrills Cove Rd Baltimore MD 21226"
"9","Holabird Pizzaria","6902 Holabird Ave","Dundalk","MD","21222",-1.59504914283752,2024-07-01,1.59504914283752,"6902 Holabird Ave Dundalk MD 21222"
"10","Meehan's Marina","2533 School House Ln","Sparrows Point","MD","21219",-1.52605628967285,2024-04-01,1.52605628967285,"2533 School House Ln Sparrows Point MD 21219"
"11","Shell Oil","1521 Merritt Blvd","Dundalk","MD","21222",-1.46337413787842,2024-04-01,1.46337413787842,"1521 Merritt Blvd Dundalk MD 21222"
"12","Inside Out Fitness","6501 N Point Rd","Sparrows Point","MD","21219",-1.45755743980408,2024-07-01,1.45755743980408,"6501 N Point Rd Sparrows Point MD 21219"
