"","workorderid","date","description","address","details","address1"
"1","1286160","1/2/2024","WATER MAIN BREAK","5614 WINTHROPE AVE","yes","5614 WINTHROPE AVE, baltimore"
"2","1286169","1/2/2024","WATER MAIN BREAK","9 LOCKETT CT","yes","9 LOCKETT CT, baltimore"
"3","1286170","1/2/2024","WATER MAIN BREAK","5218 FREDCREST RD","yes","5218 FREDCREST RD, baltimore"
"4","1286187","1/2/2024","WATER MAIN BREAK","114 EMBLETON RD","yes","114 EMBLETON RD, baltimore"
"5","1286207","1/3/2024","WATER JOINT LEAK","4911 BRIARCLIFT RD","yes","4911 BRIARCLIFT RD, baltimore"
"6","1286208","1/3/2024","WATER JOINT LEAK","2200 EASTRIDGE RD","yes","2200 EASTRIDGE RD, baltimore"
"7","1286235","1/3/2024","WATER MAIN BREAK","9831 FORGE PARK RD","yes","9831 FORGE PARK RD, baltimore"
"8","1286244","1/3/2024","WATER MAIN BREAK","222 NORTH CALVERTON RD","yes","222 NORTH CALVERTON RD, baltimore"
"9","1286258","1/3/2024","WATER MAIN BREAK","8217 MARCIE DR","yes","8217 MARCIE DR, baltimore"
"10","1286279","1/3/2024","WATER MAIN BREAK","8317 TALLY HO RD","yes","8317 TALLY HO RD, baltimore"
"11","1286329","1/3/2024","WATER JOINT LEAK","4614 FINDLAY RD","yes","4614 FINDLAY RD, baltimore"
"12","1286373","1/3/2024","WATER JOINT LEAK","608 DALE AVE","yes","608 DALE AVE, baltimore"
"13","1286403","1/3/2024","WATER MAIN BREAK","3202 ELMLEY AVE","yes","3202 ELMLEY AVE, baltimore"
"14","1286413","1/3/2024","WATER MAIN BREAK","514 NORTH FREMONT AVE","yes","514 NORTH FREMONT AVE, baltimore"
"15","1286449","1/3/2024","WATER MAIN BREAK","3902 SETONHURST RD","yes","3902 SETONHURST RD, baltimore"
"16","1286485","1/4/2024","WATER MAIN BREAK","4434 FALLS RD","yes","4434 FALLS RD, baltimore"
"17","1286502","1/4/2024","WATER MAIN BREAK","1308 MIDMEADOW RD TOWSON","yes","1308 MIDMEADOW RD TOWSON, baltimore"
"18","1286641","1/4/2024","WATER MAIN BREAK","4604 ARABIA AVE","yes","4604 ARABIA AVE, baltimore"
"19","1286804","1/4/2024","WATER MAIN BREAK","2041 EAST FAIRMOUNT AVE","yes","2041 EAST FAIRMOUNT AVE, baltimore"
"20","1286811","1/4/2024","WATER MAIN BREAK","107 EAST PRESTON ST","yes","107 EAST PRESTON ST, baltimore"
"21","1286812","1/4/2024","WATER MAIN BREAK","4234 PARKSIDE DR","yes","4234 PARKSIDE DR, baltimore"
"22","1287183","1/5/2024","WATER JOINT LEAK","3423 PHILIPS DR","yes","3423 PHILIPS DR, baltimore"
"23","1287185","1/5/2024","WATER JOINT LEAK","28 WOODHOLME AVE","yes","28 WOODHOLME AVE, baltimore"
"24","1287407","1/6/2024","WATER MAIN BREAK","33 GREENWOOD AVE","yes","33 GREENWOOD AVE, baltimore"
"25","1287448","1/7/2024","WATER MAIN BREAK","1524 NORTH BOND ST","yes","1524 NORTH BOND ST, baltimore"
"26","1287465","1/7/2024","WATER MAIN BREAK","1732 BEECHWOOD AVE","yes","1732 BEECHWOOD AVE, baltimore"
"27","1287468","1/7/2024","WATER MAIN BREAK","240 SOUTH GILMOR ST","yes","240 SOUTH GILMOR ST, baltimore"
"28","1287483","1/7/2024","WATER MAIN BREAK","2 HEDGEFORD CT","yes","2 HEDGEFORD CT, baltimore"
"29","1287485","1/7/2024","WATER MAIN BREAK","8112 ARROWHEAD RD","yes","8112 ARROWHEAD RD, baltimore"
