"","Neighborhood","2024","2025"
"1","",20,6
"2","Allendale",8,0
"3","Arcadia",4,0
"4","Arlington",5,6
"5","Armistead Gardens",16,2
"6","Ashburton",14,7
"7","Auchentoroly-Parkwood",9,1
"8","Baltimore Highlands",3,5
"9","Baltimore Peninsula",21,2
"10","Barclay",4,1
"11","Barre Circle",4,0
"12","Bayview",5,8
"13","Beechfield",5,2
"14","Belair-Edison",58,11
"15","Belair-Parkside",1,1
"16","Bellona-Gittings",2,4
"17","Belvedere",3,1
"18","Berea",9,1
"19","Better Waverly",6,8
"20","Beverly Hills",4,2
"21","Biddle Street",1,1
"22","Bolton Hill",3,3
"23","Boyd-Booth",5,0
"24","Brewers Hill",7,3
"25","Bridgeview/Greenlawn",6,3
"26","Broadway East",19,6
"27","Broening Manor",4,0
"28","Brooklyn",32,6
"29","Butchers Hill",3,0
"30","CARE",1,6
"31","Callaway-Garrison",2,0
"32","Cameron Village",2,0
"33","Canton",18,6
"34","Canton Industrial Area",12,18
"35","Carroll - Camden Industrial Area",16,10
"36","Carroll-South Hilton",8,1
"37","Carrollton Ridge",6,6
"38","Cedarcroft",1,0
"39","Cedmont",19,14
"40","Cedonia",3,5
"41","Central Forest Park",10,4
"42","Central Park Heights",10,8
"43","Charles North",5,2
"44","Charles Village",14,2
"45","Cherry Hill",47,1
"46","Cheswolde",6,15
"47","Chinquapin Park",3,0
"48","Clifton Park",2,3
"49","Coldspring",19,7
"50","Coldstream Homestead Montebello",20,8
"51","Concerned Citizens of Forest Park",5,1
"52","Coppin Heights/Ash-Co-East",4,1
"53","Cross Country",14,11
"54","Cross Keys",7,1
"55","Curtis Bay",12,6
"56","Curtis Bay Industrial Area",1,0
"57","Cylburn",2,1
"58","Darley Park",1,0
"59","Dickeyville",5,1
"60","Dolfield",5,3
"61","Dorchester",4,4
"62","Downtown",48,12
"63","Downtown West",5,1
"64","Druid Heights",4,0
"65","Druid Hill Park",7,0
"66","Dunbar-Broadway",3,1
"67","East Arlington",4,2
"68","East Baltimore Midway",3,3
"69","Easterwood",3,0
"70","Eastwood",0,1
"71","Edgewood",1,0
"72","Edmondson Village",2,0
"73","Ednor Gardens-Lakeside",16,5
"74","Ellwood Park/Monument",2,1
"75","Evergreen Lawn",1,1
"76","Evesham Park",2,1
"77","Fairfield Area",27,5
"78","Fairmount",1,1
"79","Fallstaff",12,5
"80","Federal Hill",8,2
"81","Fells Point",6,5
"82","Forest Park",4,4
"83","Forest Park Golf Course",3,3
"84","Four By Four",3,0
"85","Frankford",31,24
"86","Franklin Square",14,1
"87","Franklintown",2,0
"88","Franklintown Road",5,0
"89","Garwyn Oaks",0,2
"90","Gay Street",0,3
"91","Glen",25,14
"92","Glen Oaks",5,1
"93","Graceland Park",4,0
"94","Greektown",10,4
"95","Greenmount Cemetery",2,0
"96","Greenmount West",3,0
"97","Greenspring",9,2
"98","Grove Park",7,1
"99","Guilford",24,9
"100","Gwynns Falls",5,2
"101","Gwynns Falls/Leakin Park",5,0
"102","Hamilton",20,11
"103","Hamilton Hills",31,13
"104","Hampden",21,10
"105","Hanlon-Longwood",12,4
"106","Harbor East",1,2
"107","Harbor Point",1,0
"108","Harlem Park",15,2
"109","Harwood",5,1
"110","Hawkins Point",7,1
"111","Heritage Crossing",1,0
"112","Herring Run Park",2,0
"113","Highlandtown",10,2
"114","Hillen",3,3
"115","Hoes Heights",1,2
"116","Holabird Industrial Park",4,3
"117","Hollins Market",0,1
"118","Homeland",14,5
"119","Hopkins Bayview",4,1
"120","Howard Park",19,11
"121","Hunting Ridge",3,2
"122","Idlewood",7,5
"123","Inner Harbor",5,2
"124","Irvington",4,2
"125","Johns Hopkins Homewood",6,3
"126","Johnston Square",3,3
"127","Jones Falls Area",7,6
