USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
MD	24001	01713506	Allegany County	1093502055	14761330	422.204	5.699	39.612313	-78.703104                                                                                                                
MD	24003	01710958	Anne Arundel County	1074352780	448033952	414.81	172.987	38.991617	-76.560894                                                                                                          
MD	24005	01695314	Baltimore County	1549740654	215957832	598.358	83.382	39.443167	-76.616569                                                                                                             
MD	24009	01676636	Calvert County	552158542	341580668	213.19	131.885	38.522719	-76.529762                                                                                                                
MD	24011	00595737	Caroline County	827350254	16777066	319.442	6.478	38.871531	-75.831662                                                                                                                 
MD	24013	01696228	Carroll County	1159355858	13112464	447.63	5.063	39.563328	-77.01533                                                                                                                   
MD	24015	00596115	Cecil County	896912528	185281258	346.3	71.537	39.562354	-75.941585                                                                                                                    
MD	24017	01676992	Charles County	1185757838	479438830	457.824	185.112	38.472853	-77.015427                                                                                                              
MD	24019	00596495	Dorchester County	1400573746	1145353068	540.765	442.223	38.429196	-76.047433                                                                                                          
MD	24021	01711211	Frederick County	1710921853	17674490	660.591	6.824	39.470177	-77.397636                                                                                                               
MD	24023	01711058	Garrett County	1681102437	22498420	649.077	8.687	39.547299	-79.274619                                                                                                                 
MD	24025	01698178	Harford County	1132152045	231885675	437.126	89.532	39.537429	-76.299789                                                                                                               
MD	24027	01709077	Howard County	649956422	6336170	250.95	2.446	39.252264	-76.924406                                                                                                                     
MD	24029	00593907	Kent County	717497117	353321619	277.027	136.418	39.241279	-76.125987                                                                                                                  
MD	24031	01712500	Montgomery County	1277148686	35731155	493.11	13.796	39.137381	-77.203063                                                                                                              
MD	24033	01714670	Prince George's County	1250057213	41922695	482.65	16.186	38.829278	-76.848188                                                                                                         
MD	24035	00596089	Queen Anne's County	962673214	360020725	371.69	139.005	39.040693	-76.082405                                                                                                           
MD	24037	01697853	St. Mary's County	928809939	1050592561	358.616	405.636	38.223077	-76.534487                                                                                                           
MD	24039	00596907	Somerset County	828145301	752652868	319.749	290.601	38.07445	-75.853323                                                                                                               
MD	24041	00592947	Talbot County	695561637	539363457	268.558	208.249	38.748349	-76.178476                                                                                                                
MD	24043	01714220	Washington County	1185592677	24820607	457.76	9.583	39.603621	-77.814671                                                                                                               
MD	24045	01668606	Wicomico County	969767208	66764613	374.429	25.778	38.36737	-75.632083                                                                                                                 
MD	24047	01668802	Worcester County	1213156434	586531120	468.402	226.461	38.222133	-75.309931                                                                                                            
MD	24510	01702381	Baltimore city	209649327	28758743	80.946	11.104	39.300032	-76.610476                                                                                                                  
