Month,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Import Loaded TEUs,Export Loaded TEUs,Total Loaded TEUs,Import Empty TEUs,Export Empty TEUs,Total Empty TEUs,Total TEUs,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons
Jan 1998,360095,18386,32967,54189,15705,27515,508857,16051,17418,33469,3199,1436,4635,38104,23789,9452,2391,11843,22160,10807
Feb 1998,359722,20085,37156,42726,13805,31879,505373,16228,16846,33074,3045,2056,5101,38175,23874,11206,1393,12599,23405,13751
Mar 1998,377748,27610,57077,43910,10344,31001,547690,18577,18570,37147,5906,3525,9431,46578,28926,14570,2967,17537,40470,16607
Apr 1998,377397,21900,56087,48180,5663,33094,542321,17777,18157,35934,2712,3070,5769,41703,25985,11715,2342,14057,39312,16775
May 1998,382760,25824,40905,25530,4022,37509,516550,18178,17104,35282,2407,3242,5626,40908,26250,15081,1790,16871,28865,12040
Jun 1998,352392,17489,48952,53063,6269,27930,506095,17330,16534,33864,2334,2767,5101,38965,24525,9335,2030,11365,30161,18791
Jul 1998,357057,25671,49305,41792,7962,30969,512756,19906,15814,35720,1585,3952,5573,41293,25805,13087,3387,16474,34298,15007
Aug 1998,326098,24566,35679,48902,1076,31797,468118,17360,14429,31789,1106,3566,4672,36461,22828,13548,2348,15896,23433,12246
Sep 1998,347255,25921,36486,33705,4897,23785,472049,18461,15526,33987,1632,6059,7691,41678,26279,10979,5544,16523,21869,14599
Oct 1998,341109,23317,40906,38134,7629,27885,478980,17063,15224,32287,1632,3843,5475,37762,23676,10751,4269,15020,25648,15258
Nov 1998,363909,27243,31750,36347,6958,22808,489015,18757,16302,35059,1518,6838,8356,43415,27105,11494,5935,17429,20332,11418
Dec 1998,376873,31486,39223,54660,7080,23322,532644,20070,15527,35597,2021,4339,6360,41957,26337,13050,7560,20610,24425,14798
Jan 1999,354061,17850,35342,33616,5232,28549,474650,17146,14473,31619,2480,4543,7023,38642,24408,7992,3643,11635,26034,9308
Feb 1999,337174,23635,43634,55589,6861,25940,492833,17277,15714,32991,1569,4858,6427,39418,24506,12320,3123,15443,34179,9455
Mar 1999,399545,28928,52834,47712,7855,23836,560710,20091,17823,37914,1890,5899,7789,45703,28299,15261,3930,19191,37616,15218
Apr 1999,371764,24752,40378,31617,8428,35673,512612,18310,15205,33515,2019,5137,7156,40671,25671,12623,3243,15866,25902,14476
May 1999,367222,36985,58766,77869,6986,33491,581319,18566,15037,33603,848,4584,5432,39035,25163,20535,3739,24274,40542,18224
Jun 1999,404508,25232,43211,44442,6519,28429,552341,21993,15778,37771,1428,5186,6614,44385,28125,12682,3740,16422,29814,13397
Jul 1999,356406,32392,42511,78138,7396,27814,544657,20444,14193,34637,1050,5255,6305,40942,25905,16668,3894,20562,27327,15184
Aug 1999,405548,24518,28162,74057,4096,29092,565473,22174,16846,39020,444,8376,8820,47840,30191,12302,3577,15879,16620,11542
Sep 1999,336656,24752,29912,73051,5815,36268,506454,18886,13068,31954,356,5225,5581,37535,23815,13347,2783,16130,19498,10414
Oct 1999,363451,23242,32299,95893,5942,28368,549195,18725,15274,33999,617,5693,6310,40309,25580,13155,1786,14941,19144,13155
Nov 1999,376080,35866,33169,46174,8136,33770,533195,18659,15737,34396,1189,5778,6967,41363,26399,21659,1671,23330,22290,10879
Dec 1999,368074,30696,26146,75931,8697,29213,538757,19587,14985,34572,1350,6320,7670,42242,26977,17965,1902,19867,18310,7836
Jan 2000,346894,20330,30819,76607,5911,25355,505916,17691,13257,30948,452,4455,4907,35855,23459,10855,2351,13206,21106,9713
Feb 2000,362398,25341,35402,48771,7514,26354,505780,18506,15337,33843,682,6199,6881,40724,26161,14087,2463,16550,25159,10243
Mar 2000,395585,30490,56690,96216,12214,25242,616437,19581,17051,36632,1001,7110,8111,44743,28755,17220,2527,19747,40023,16667
Apr 2000,370667,25894,45500,37352,8744,22536,510693,19756,14479,34235,648,6355,7003,41238,26979,14616,1956,16572,29288,16212
May 2000,408851,30507,46819,36202,8188,29834,560401,22278,15821,38099,396,5886,6282,44381,28506,17298,2590,19888,34962,11857
Jun 2000,375913,23054,40137,80600,5380,21575,546659,21290,14253,35543,372,6565,6937,42480,27416,13383,1713,15096,29101,11036
Jul 2000,361631,26644,35739,55915,5515,21284,506728,22118,13194,35312,418,9426,9744,45056,28923,16564,1543,18107,25488,10251
Aug 2000,382889,26503,31150,55499,5408,19972,521421,21174,16625,37799,496,11539,12035,49834,31757,15318,1886,17204,22513,8637
Sep 2000,338051,21802,24420,58005,5135,18233,465646,18597,12962,31559,570,8569,9139,40698,26185,11237,2859,14096,16749,7671
Oct 2000,374474,26348,26648,64218,5110,19272,516070,18806,15878,34684,415,5676,6091,40775,26569,14634,2093,16727,16147,10501
Nov 2000,360281,26189,33085,50362,5463,23282,498662,17829,14822,32651,286,4546,4832,37483,23967,14805,2071,16876,23566,9520
Dec 2000,320511,27122,32480,66836,5026,25718,477693,15641,13358,28999,518,5249,5767,34766,22349,15604,1553,17157,23351,9128
Jan 2001,341900,19205,26003,68062,4305,25393,484868,17035,13552,30587,374,8586,8960,39547,25662,10349,1440,11789,18581,7422
Feb 2001,328756,25520,38329,72940,7743,19520,492808,15997,13671,29668,1643,5823,7466,37134,24210,15786,886,16672,28973,9357
Mar 2001,398778,30726,44781,93516,8116,21707,597624,19469,15076,34545,562,9241,9803,44348,28501,17866,1351,19217,33499,11282
Apr 2001,355995,26120,45892,75169,5662,18011,526849,18784,13064,31848,830,7216,8046,39894,25558,14970,1530,16500,32165,13727
May 2001,361264,30828,40900,85572,3303,24601,546468,19004,13328,32332,719,7837,8556,40888,26279,17498,2398,19896,31900,9000
Jun 2001,308059,22168,34503,67334,4205,15947,452216,16779,11856,28635,377,7037,7414,36049,23358,12220,2223,14443,25403,9100
Jul 2001,356421,31347,36434,82353,6009,24774,537338,21231,12196,33427,619,10022,10641,44068,28333,18579,1665,20244,25223,11211
