1286160,1/2/2024,WATER MAIN BREAK,5614 WINTHROPE AVE
1286169,1/2/2024,WATER MAIN BREAK,9 LOCKETT CT
1286170,1/2/2024,WATER MAIN BREAK,5218 FREDCREST RD
1286187,1/2/2024,WATER MAIN BREAK,114 EMBLETON RD
1286207,1/3/2024,WATER JOINT LEAK,4911 BRIARCLIFT RD
1286208,1/3/2024,WATER JOINT LEAK,2200 EASTRIDGE RD
1286235,1/3/2024,WATER MAIN BREAK,9831 FORGE PARK RD
1286244,1/3/2024,WATER MAIN BREAK,222 NORTH CALVERTON RD
1286258,1/3/2024,WATER MAIN BREAK,8217 MARCIE DR
1286279,1/3/2024,WATER MAIN BREAK,8317 TALLY HO RD
1286329,1/3/2024,WATER JOINT LEAK,4614 FINDLAY RD
1286373,1/3/2024,WATER JOINT LEAK,608 DALE AVE
1286378,1/3/2024,WATER MAIN BREAK,MANNASOTA AVE AND DUDLEY AVE
1286403,1/3/2024,WATER MAIN BREAK,3202 ELMLEY AVE
1286413,1/3/2024,WATER MAIN BREAK,514 NORTH FREMONT AVE
1286448,1/3/2024,WATER MAIN BREAK,WILLOW AVE AND DORY LN
1286449,1/3/2024,WATER MAIN BREAK,3902 SETONHURST RD
1286485,1/4/2024,WATER MAIN BREAK,4434 FALLS RD
1286502,1/4/2024,WATER MAIN BREAK,1308 MIDMEADOW RD TOWSON
1286572,1/4/2024,WATER JOINT LEAK,SHAMROCK AVE KAVON AVE
1286608,1/4/2024,WATER MAIN BREAK,STEVENSON RD GARDENVIEW RD
1286641,1/4/2024,WATER MAIN BREAK,4604 ARABIA AVE
1286783,1/4/2024,WATER JOINT LEAK,REISTERSTOWN RD BOARMAN AVE
1286804,1/4/2024,WATER MAIN BREAK,2041 EAST FAIRMOUNT AVE
1286811,1/4/2024,WATER MAIN BREAK,107 EAST PRESTON ST
1286812,1/4/2024,WATER MAIN BREAK,4234 PARKSIDE DR
1287183,1/5/2024,WATER JOINT LEAK,3423 PHILIPS DR
1287185,1/5/2024,WATER JOINT LEAK,28 WOODHOLME AVE
1287407,1/6/2024,WATER MAIN BREAK,33 GREENWOOD AVE
1287448,1/7/2024,WATER MAIN BREAK,1524 NORTH BOND ST
1287465,1/7/2024,WATER MAIN BREAK,1732 BEECHWOOD AVE
1287468,1/7/2024,WATER MAIN BREAK,240 SOUTH GILMOR ST
1287483,1/7/2024,WATER MAIN BREAK,2 HEDGEFORD CT
1287485,1/7/2024,WATER MAIN BREAK,8112 ARROWHEAD RD
1287486,1/7/2024,WATER MAIN BREAK,820 WEDGEWOOD RD
1287503,1/8/2024,WATER MAIN BREAK,3515 EAST JOPPA RD
1287607,1/8/2024,WATER MAIN BREAK,4423 TODD POINT LN
1287661,1/8/2024,WATER MAIN BREAK,321 TUSCANY RD
1287743,1/8/2024,WATER MAIN BREAK,BOARMAN AVE AND REISTERSTOWN RD
1287890,1/9/2024,WATER MAIN BREAK,2 HEDGEFORD CT
1287957,1/9/2024,WATER MAIN BREAK,607 REST AVE
1288326,1/10/2024,WATER MAIN BREAK,933 ELM RIDGE AVE
1288452,1/10/2024,WATER MAIN BREAK,119 NORTH FULTON AVE
1288457,1/10/2024,WATER MAIN BREAK,2500 BLK ORLEANS ST
1288459,1/10/2024,WATER MAIN BREAK,6 SPARROW HILL CT
1288470,1/10/2024,WATER MAIN BREAK,5721 2ND AVE
1288481,1/10/2024,WATER MAIN BREAK,HOMESTEAD SAINT AND KIRK AVE
1288508,1/10/2024,WATER MAIN BREAK,1217 OAK CROFT DR
1288518,1/10/2024,WATER MAIN BREAK,4917 LANIER AVE
1288533,1/11/2024,WATER MAIN BREAK,1831 HANFORD RD
1288549,1/11/2024,WATER MAIN BREAK,KAVON AVE AND SHAMROCK AVE
1288568,1/11/2024,WATER MAIN BREAK,2983 FALLS RD
1288576,1/11/2024,WATER MAIN BREAK,4909 BRIARCLIFT RD
1288609,1/11/2024,WATER MAIN BREAK,16 STRABANE CT
1288669,1/11/2024,WATER MAIN BREAK,2300 WEST BALTIMORE ST
1288680,1/11/2024,WATER JOINT LEAK,1031 METFIELD RD
1288814,1/12/2024,WATER MAIN BREAK,HOMESTEAD SAINT AND KIRK AVE
1288927,1/12/2024,WATER JOINT LEAK,1008 TIMBER TRAIL RD
1288969,1/12/2024,WATER JOINT LEAK,2014 HILLENWOOD RD
1288973,1/12/2024,WATER MAIN BREAK,1112 MIDDLEBOROUGH RD
1288982,1/12/2024,WATER MAIN BREAK,2017 HILLENWOOD RD
1288999,1/13/2024,WATER MAIN BREAK,20 YORKWAY
1289025,1/13/2024,WATER MAIN BREAK,10 FOX KNOLL CT
1289058,1/14/2024,WATER MAIN BREAK,5115 FREDERICK AVE
1289064,1/14/2024,WATER MAIN BREAK,103 NORTH PAYSON ST
1289083,1/14/2024,WATER MAIN BREAK,417 DEACON BROOK CIR
1289089,1/14/2024,WATER MAIN BREAK,2203 KRONE CT
1289197,1/15/2024,WATER MAIN BREAK,417 DEACON BROOK CIR
1289350,1/15/2024,WATER MAIN BREAK,9403 JODALE RD
1290410,1/17/2024,WATER MAIN BREAK,4106 WINDRIDGE RD
1290483,1/17/2024,WATER MAIN BREAK,6103 FALLS RD
1290493,1/17/2024,WATER MAIN BREAK,1518 WILLIAM ST
1290516,1/17/2024,WATER MAIN BREAK,3804 ECHODALE AVE
1290519,1/18/2024,WATER MAIN BREAK,2211 WEST LAFAYETTE AVE
1290520,1/18/2024,WATER MAIN BREAK,113 NORTH FULTON AVE
1290523,1/18/2024,WATER MAIN BREAK,SOUTH NORRIS SAINT AND HOLLINS ST
1290553,1/18/2024,WATER MAIN BREAK,3695 KENYON AVE
1290581,1/18/2024,WATER MAIN BREAK,745 WEATHERBEE RD
1290586,1/18/2024,WATER MAIN BREAK,330 WEST 24TH ST
1290616,1/18/2024,WATER MAIN BREAK,EAST FAIRMOUNT AVE AND NORTH BROADWAY
1290678,1/18/2024,WATER MAIN BREAK,SHERWOOD AVE AND YORKWOOD RD
1290746,1/18/2024,WATER JOINT LEAK,3681 KENYON AVE
1291084,1/19/2024,WATER MAIN BREAK,4131 THE ALAMEDA
1291085,1/19/2024,WATER MAIN BREAK,3228 TARTARIAN CT
1291087,1/19/2024,WATER MAIN BREAK,3900 BLK MONDAWMIN AVE
1291218,1/19/2024,WATER MAIN BREAK,4025 STARBROOK RD
1291277,1/19/2024,WATER MAIN BREAK,6309 PIONEER DR
1291454,1/19/2024,WATER MAIN BREAK,224 TUNBRIDGE RD
1291829,1/20/2024,WATER MAIN BREAK,1324 HAUBERT ST
1291843,1/20/2024,WATER MAIN BREAK,2301 MOSHER ST
1291846,1/20/2024,WATER MAIN BREAK,511 THORNFIELD RD
1291856,1/20/2024,WATER MAIN BREAK,1000 PINE HEIGHTS AVE
1291857,1/20/2024,WATER MAIN BREAK,1319 SOUTHVIEW RD
1291861,1/20/2024,WATER MAIN BREAK,1103 CAWDOR CT
1291862,1/20/2024,WATER MAIN BREAK,3 LOVEBIRD CT
1291864,1/20/2024,WATER MAIN BREAK,320 PRESWAY RD
1291868,1/20/2024,WATER MAIN BREAK,909 BEAVERBANK CIR
1291879,1/20/2024,WATER MAIN BREAK,9111 KILBRIDE RD
1291882,1/20/2024,WATER MAIN BREAK,939 NORTH CENTRAL AVE
1291884,1/20/2024,WATER MAIN BREAK,500 HOLTZMAN CT
1291889,1/20/2024,WATER MAIN BREAK,2605 BRENDAN AVE
1291896,1/21/2024,WATER MAIN BREAK,4509 FULLERTON AVE
1291899,1/21/2024,WATER MAIN BREAK,KAVON AVE AND SEIDEL AVE
1291900,1/21/2024,WATER MAIN BREAK,24 LOCUST DR
1291902,1/21/2024,WATER MAIN BREAK,24 LOCUST DR
1291907,1/21/2024,WATER MAIN BREAK,205 PURLINGTON RD
1291909,1/21/2024,WATER MAIN BREAK,6000 STUART AVE
1291914,1/21/2024,WATER MAIN BREAK,2300 MOSHER ST
1291924,1/21/2024,WATER MAIN BREAK,1328 WEST LANVALE ST
1291930,1/21/2024,WATER MAIN BREAK,800 NORTH MONROE ST
