"","workorderid","date","description","address","address1"
"1","X1286160","X1.2.2024","WATER.MAIN.BREAK","X5614.WINTHROPE.AVE","X5614.WINTHROPE.AVE, baltimore"
"2","1286169","1/2/2024","WATER MAIN BREAK","9 LOCKETT CT","9 LOCKETT CT, baltimore"
"3","1286170","1/2/2024","WATER MAIN BREAK","5218 FREDCREST RD","5218 FREDCREST RD, baltimore"
"4","1286187","1/2/2024","WATER MAIN BREAK","114 EMBLETON RD","114 EMBLETON RD, baltimore"
"5","1286207","1/3/2024","WATER JOINT LEAK","4911 BRIARCLIFT RD","4911 BRIARCLIFT RD, baltimore"
"6","1286208","1/3/2024","WATER JOINT LEAK","2200 EASTRIDGE RD","2200 EASTRIDGE RD, baltimore"
"7","1286235","1/3/2024","WATER MAIN BREAK","9831 FORGE PARK RD","9831 FORGE PARK RD, baltimore"
"8","1286244","1/3/2024","WATER MAIN BREAK","222 NORTH CALVERTON RD","222 NORTH CALVERTON RD, baltimore"
"9","1286258","1/3/2024","WATER MAIN BREAK","8217 MARCIE DR","8217 MARCIE DR, baltimore"
"10","1286279","1/3/2024","WATER MAIN BREAK","8317 TALLY HO RD","8317 TALLY HO RD, baltimore"
"11","1286329","1/3/2024","WATER JOINT LEAK","4614 FINDLAY RD","4614 FINDLAY RD, baltimore"
"12","1286373","1/3/2024","WATER JOINT LEAK","608 DALE AVE","608 DALE AVE, baltimore"
"13","1286378","1/3/2024","WATER MAIN BREAK","MANNASOTA AVE AND DUDLEY AVE","MANNASOTA AVE AND DUDLEY AVE, baltimore"
"14","1286403","1/3/2024","WATER MAIN BREAK","3202 ELMLEY AVE","3202 ELMLEY AVE, baltimore"
"15","1286413","1/3/2024","WATER MAIN BREAK","514 NORTH FREMONT AVE","514 NORTH FREMONT AVE, baltimore"
"16","1286448","1/3/2024","WATER MAIN BREAK","WILLOW AVE AND DORY LN","WILLOW AVE AND DORY LN, baltimore"
"17","1286449","1/3/2024","WATER MAIN BREAK","3902 SETONHURST RD","3902 SETONHURST RD, baltimore"
"18","1286485","1/4/2024","WATER MAIN BREAK","4434 FALLS RD","4434 FALLS RD, baltimore"
"19","1286502","1/4/2024","WATER MAIN BREAK","1308 MIDMEADOW RD TOWSON","1308 MIDMEADOW RD TOWSON, baltimore"
"20","1286572","1/4/2024","WATER JOINT LEAK","SHAMROCK AVE KAVON AVE","SHAMROCK AVE KAVON AVE, baltimore"
"21","1286608","1/4/2024","WATER MAIN BREAK","STEVENSON RD GARDENVIEW RD","STEVENSON RD GARDENVIEW RD, baltimore"
