zip,type,primary_city,acceptable_cities,unacceptable_cities,state ,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
20588,UNIQUE,Dhs,"Cheltenham, Columbia",Dept Hs,MD,Howard County,America/New_York,410,38.74,-76.85,NA,US,0,0,"no NWS data, "
20601,STANDARD,Waldorf,,,MD,Charles County,America/New_York,"304,301",38.64,-76.9,NA,US,0,20090,
20602,STANDARD,Waldorf,Saint Charles,,MD,Charles County,America/New_York,"301,240",38.64,-76.9,NA,US,0,18650,
20603,STANDARD,Waldorf,Saint Charles,,MD,Charles County,America/New_York,"301,240",38.64,-76.9,NA,US,0,22217,
20604,PO BOX,Waldorf,Saint Charles,,MD,Charles County,America/New_York,240,38.64,-76.9,NA,US,0,1178,
20606,STANDARD,Abell,,,MD,St Mary's County,America/New_York,301,38.25,-76.74,NA,US,0,0,
20607,STANDARD,Accokeek,,,MD,Prince George's County,America/New_York,301,38.67,-77.01,NA,US,0,8377,
20608,STANDARD,Aquasco,Eagle Harbor,,MD,Prince George's County,America/New_York,301,38.58,-76.7,NA,US,0,722,
20609,STANDARD,Avenue,,,MD,St Mary's County,America/New_York,301,38.27,-76.74,NA,US,0,940,
20610,PO BOX,Barstow,,,MD,Calvert County,America/New_York,410,38.52,-76.6,NA,US,0,0,
20611,STANDARD,Bel Alton,,,MD,Charles County,America/New_York,"301,240",38.46,-76.98,NA,US,0,951,
20612,PO BOX,Benedict,,,MD,Charles County,America/New_York,301,38.5,-76.68,NA,US,0,0,
20613,STANDARD,Brandywine,,,MD,Prince George's County,America/New_York,"301,240",38.69,-76.85,NA,US,0,10256,
20615,STANDARD,Broomes Island,Broomes Is,,MD,Calvert County,America/New_York,410,38.41,-76.54,NA,US,0,0,
20616,STANDARD,Bryans Road,,"Bryans Rd, Marshall Hall",MD,Charles County,America/New_York,"301,240",38.63,-77.07,NA,US,0,4871,
20617,STANDARD,Bryantown,,,MD,Charles County,America/New_York,301,38.55,-76.84,NA,US,0,903,
20618,STANDARD,Bushwood,,,MD,St Mary's County,America/New_York,301,38.28,-76.78,NA,US,0,616,
20619,STANDARD,California,,,MD,St Mary's County,America/New_York,"301,240",38.29,-76.49,NA,US,0,8705,
20620,STANDARD,Callaway,,,MD,St Mary's County,America/New_York,"301,240",38.23,-76.51,NA,US,0,1254,
20621,STANDARD,Chaptico,Maddox,,MD,St Mary's County,America/New_York,301,38.36,-76.78,NA,US,0,1312,
20622,STANDARD,Charlotte Hall,Charlott Hall,,MD,Charles County,America/New_York,301,38.47,-76.78,NA,US,0,3891,
20623,STANDARD,Cheltenham,,,MD,Prince George's County,America/New_York,"301,240",38.73,-76.82,NA,US,0,2531,
20624,STANDARD,Clements,,,MD,St Mary's County,America/New_York,301,38.32,-76.72,NA,US,0,1077,
20625,PO BOX,Cobb Island,,,MD,Charles County,America/New_York,301,38.33,-76.91,NA,US,0,678,
20626,STANDARD,Coltons Point,,,MD,St Mary's County,America/New_York,301,38.23,-76.76,NA,US,0,0,
20627,PO BOX,Compton,,,MD,St. Mary's County,America/New_York,301,38.3,-76.63,NA,US,0,0,
20628,STANDARD,Dameron,,,MD,St Mary's County,America/New_York,301,38.15,-76.36,NA,US,0,556,
20629,PO BOX,Dowell,,,MD,Calvert County,America/New_York,410,38.35,-76.44,NA,US,0,0,
20630,STANDARD,Drayden,,,MD,St Mary's County,America/New_York,301,38.17,-76.47,NA,US,0,0,
20632,STANDARD,Faulkner,,,MD,Charles County,America/New_York,"301,240",38.43,-76.97,NA,US,0,0,
20634,STANDARD,Great Mills,,,MD,St Mary's County,America/New_York,"301,240",38.25,-76.49,NA,US,0,5941,
20635,PO BOX,Helen,,,MD,St Mary's County,America/New_York,240,38.41,-76.73,NA,US,0,0,
20636,STANDARD,Hollywood,,,MD,St Mary's County,America/New_York,301,38.34,-76.57,NA,US,0,8431,
20637,STANDARD,Hughesville,,,MD,Charles County,America/New_York,"301,240",38.53,-76.78,NA,US,0,4794,
20639,STANDARD,Huntingtown,,,MD,Calvert County,America/New_York,"410,301,443",38.61,-76.61,NA,US,0,12778,
20640,STANDARD,Indian Head,Pisgah,,MD,Charles County,America/New_York,"301,240",38.59,-77.15,NA,US,0,7882,
20643,PO BOX,Ironsides,,,MD,Charles County,America/New_York,301,38.49,-77.16,NA,US,0,0,
20645,STANDARD,Issue,Swan Point,,MD,Charles County,America/New_York,"202,301,240",38.3,-76.86,NA,US,0,744,
20646,STANDARD,La Plata,Dentsville,Laplata,MD,Charles County,America/New_York,"301,240",38.53,-76.97,NA,US,0,16450,
20650,STANDARD,Leonardtown,,,MD,St Mary's County,America/New_York,"202,301,240",38.29,-76.64,NA,US,0,10513,
20653,STANDARD,Lexington Park,Lexington Pk,Lex Pk,MD,St Mary's County,America/New_York,"240,301",38.26,-76.44,NA,US,0,16545,
20656,STANDARD,Loveville,,,MD,St. Mary's County,America/New_York,301,38.35,-76.67,NA,US,0,0,
20657,STANDARD,Lusby,,,MD,Calvert County,America/New_York,"410,301",38.41,-76.45,NA,US,0,16379,
20658,STANDARD,Marbury,Rison,,MD,Charles County,America/New_York,301,38.55,-77.15,NA,US,0,1028,
