reporter,key_bridge,asofdate,program,borrname,borrstreet,borrcity,borrstate,borrzip,bankname,bankfdicnumber,bankncuanumber,bankstreet,bankcity,bankstate,bankzip,grossapproval,sbaguaranteedapproval,approvaldate,approvalfiscalyear,firstdisbursementdate,deliverymethod,subprogram,initialinterestrate,fixedorvariableinterestind,terminmonths,naicscode,naicsdescription,franchisecode,franchisename,projectcounty,projectstate,sbadistrictoffice,congressionaldistrict,businesstype,businessage,loanstatus,paidinfulldate,chargeoffdate,grosschargeoffamount,revolverstatus,jobssupported,soldsecmrktind,catalog_month,catalog_year
Sasha,,6/30/24,7A,ARIRANG ADULT MEDICAL DAY CARE,9170 Rumsey Rd,COLUMBIA,MD,21045,Woori America Bank,24920,None,330 5th Avenue 3fl,New York,NY,10001,3200000,2400000,5/2/24,2024,,PLP,Guaranty,10.25,V,120,623110,Nursing Care Facilities,,,HOWARD,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,COMMIT,,,0,0,25,,7,2024
Sasha,,6/30/24,7A,Golden Corral Aberdeen,706 South Philadelphia Blvd.,Aberdeen,MD,21001,Mission Valley Bank,57101,None,9116 Sunland Blvd,SUN VALLEY,CA,91352,2787200,557440,6/13/24,2024,,OTH 7A,Guaranty,10,V,300,722514,"Cafeterias, Grill Buffets, and Buffets",S0729,Golden Corral,HARFORD,MD,BALTIMORE DISTRICT OFFICE,1,CORPORATION,,COMMIT,,,0,0,14,,7,2024
Sasha,,6/30/24,7A,JDC Beverages Inc.,7212 FORT SMALLWOOD RD,CURTIS BAY,MD,21226,Univest Bank and Trust Co,7759,None,10 W Broad St,Souderton,PA,18964,2460000,1845000,6/7/24,2024,,PLP,Guaranty,10.5,V,309,445320,,,,ANNE ARUNDEL,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,COMMIT,,,0,0,2,,7,2024
Sasha,,6/30/24,7A,HILGARTNER NATURAL STONE COMPA,2220 SEVERN ST,BALTIMORE,MD,21230,Firstrust Savings Bank,26647,None,15 E Ridge Pike,CONSHOHOCKEN,PA,19428,1450000,1087500,4/5/24,2024,,PLP,Guaranty,11,V,300,238990,All Other Specialty Trade Contractors,,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,COMMIT,,,0,0,10,,7,2024
Sasha,,6/30/24,7A,Squeaky Klean & Konvenient Lau,4900 Park Heights Avenue,Baltimore,MD,21215,Citizens Bank,14851,None,300 Broad St,ELIZABETHTON,TN,37643,1326600,994950,5/10/24,2024,6/10/24,OTH 7A,Guaranty,10.5,V,300,812320,Drycleaning and Laundry Services (except Coin-Operated),,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,COMMIT,,,0,0,5,,7,2024
Sasha,,6/30/24,7A,Gearhouse Services LLC,1001 Wilso Drive,BALTIMORE,MD,21223,Hanover Community Bank,58675,None,80 East Jericho Turnpike,Mineola,NY,11501,1150000,862500,6/24/24,2024,,PLP,Guaranty,10.25,V,120,811114,,,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,COMMIT,,,0,0,0,,7,2024
Sasha,,6/30/24,7A,Ale House Columbia LLC,"6480 DOBBIN CENTER WAY, Unit",COLUMBIA,MD,21045,"Wilmington Savings Fund Society, FSB",17838,None,500 Delaware Ave,WILMINGTON,DE,19801,860000,645000,6/20/24,2024,,PLP,Guaranty,10.5,V,120,722511,Full-Service Restaurants,,,HOWARD,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,COMMIT,,,0,0,2,,7,2024
Sasha,,6/30/24,7A,UNIQUE MINDS BEHAVIORAL HEALTH,6810 PARK HEIGHTS AVE,BALTIMORE,MD,21215,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,600000,450000,5/22/24,2024,,PLP,Guaranty,11.5,V,120,111120,Oilseed (except Soybean) Farming,,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,COMMIT,,,0,0,17,,7,2024
Sasha,,6/30/24,7A,Diaspora Salon LLC,629 W 36TH ST,BALTIMORE,MD,21211,Grasshopper Bank National Association,59113,None,261 5th Ave Ste 610,New York,NY,10016,531000,398250,4/22/24,2024,5/1/24,PLP,Guaranty,10.5,V,300,812112,Beauty Salons,,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,EXEMPT,,,0,0,7,Y,7,2024
Sasha,,6/30/24,7A,Lightning Express Delivery and,1585 Sulphur Spring Rd,Arbutus,MD,21227,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,7922,500000,375000,4/22/24,2024,5/31/24,PLP,Guaranty,11.25,V,120,492110,Couriers,,,BALTIMORE,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,EXEMPT,,,0,0,4,Y,7,2024
Sasha,,6/30/24,7A,Shapiro Zwanetz & Lake PA,7226 LEE DEFOREST DR STE 207,COLUMBIA,MD,21046,"Fulton Bank, National Association",7551,None,One Penn Sq,LANCASTER,PA,17602,500000,375000,5/24/24,2024,,PLP,Guaranty,10.75,V,300,541110,Offices of Lawyers,,,HOWARD,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,COMMIT,,,0,0,8,,7,2024
Sasha,,6/30/24,7A,Sky Food Inc.,"350 Mountain Rd, Unit D",PASADENA,MD,21122,The Huntington National Bank,6560,None,17 S High St.,COLUMBUS,OH,43215,467200,350400,5/15/24,2024,5/29/24,PLP,Guaranty,11.25,V,120,722513,Limited-Service Restaurants,S3248,Bubbakoo's Burritos,ANNE ARUNDEL,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,EXEMPT,,,0,0,30,,7,2024
Sasha,,6/30/24,7A,Blaqbear One LLC,10300 LITTLE PATUXENT PKWY S,COLUMBIA,MD,21044,First Chatham Bank,57252,None,111 Barnard St,SAVANNAH,GA,31401,375000,281250,6/24/24,2024,,PLP,Guaranty,11.25,V,123,722515,Snack and Nonalcoholic Beverage Bars,S1245,PJ's Coffee of New Orleans,HOWARD,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,COMMIT,,,0,0,22,,7,2024
Sasha,,6/30/24,7A,QUALITY STYLZ SALON SUITES LLC,1709 REISTERSTOWN RD,BALTIMORE,MD,21208,Cadence Bank,11813,None,201 S Spring St,TUPELO,MS,38804,350000,262500,4/24/24,2024,4/26/24,PLP,Guaranty,11.25,V,120,812112,Beauty Salons,,,BALTIMORE,MD,BALTIMORE DISTRICT OFFICE,2,CORPORATION,,EXEMPT,,,0,0,5,,7,2024
Sasha,,6/30/24,7A,Elite Security Group LLC,1517 Devere Drive,PASADENA,MD,21122,Cadence Bank,11813,None,201 S Spring St,TUPELO,MS,38804,350000,262500,5/24/24,2024,5/28/24,PLP,Guaranty,11.25,V,120,561612,Security Guards and Patrol Services,,,ANNE ARUNDEL,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,EXEMPT,,,0,0,109,,7,2024
Sasha,,6/30/24,7A,Eight Fifteen LLC,815 W. 36TH ST,BALTIMORE,MD,21211,"Bank of America, National Association",3510,None,"100 N Tryon St, Ste 170",CHARLOTTE,NC,28202,319500,159750,5/15/24,2024,5/29/24,SBA EXPRES,FA$TRK (Small Loan Express),6.5,F,300,541810,Advertising Agencies,,,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,3,CORPORATION,,EXEMPT,,,0,0,2,,7,2024
