Year,State,Zip Code,Count of Claimants
April-2024,AE,09096,1
April-2023,AK,99611,2
April-2024,AK,99901,1
April-2024,AL,35023,1
April-2024,AL,35080,1
April-2023,AL,35176,1
April-2023,AL,35216,1
April-2023,AL,35475,1
April-2023,AL,35803,1
April-2024,AL,35976,1
April-2023,AL,36116,1
April-2024,AL,36116,1
April-2023,AL,36502,1
April-2023,AL,36576,1
April-2024,AL,36605,1
April-2024,AL,36862,1
April-2023,AL,36879,1
April-2023,AP,96218,1
April-2024,AR,71801,1
April-2023,AR,72019,1
April-2023,AR,72390,1
April-2024,AR,72653,1
April-2023,AZ,85051,1
April-2023,AZ,85209,1
April-2023,AZ,85288,1
April-2024,AZ,85308,1
April-2023,AZ,85336,1
April-2023,AZ,85349,1
April-2024,AZ,85374,1
April-2024,AZ,85705,1
April-2024,AZ,85747,1
April-2024,AZ,85750,1
April-2023,CA,90005,1
April-2024,CA,90010,1
April-2023,CA,90017,1
April-2023,CA,90066,1
April-2023,CA,90405,1
April-2024,CA,90731,2
April-2023,CA,90815,1
April-2024,CA,91302,1
April-2024,CA,91325,1
April-2023,CA,91351,1
April-2023,CA,91405,1
April-2024,CA,92101,1
April-2024,CA,92109,1
April-2024,CA,92115,1
April-2024,CA,92124,1
April-2024,CA,92154,1
April-2024,CA,92252,1
April-2023,CA,92373,1
April-2023,CA,92392,1
April-2023,CA,92530,1
April-2024,CA,92532,1
April-2023,CA,92570,1
April-2023,CA,92637,2
April-2023,CA,92706,1
April-2024,CA,92821,1
April-2024,CA,93552,1
April-2024,CA,93555,1
April-2024,CA,93560,1
April-2023,CA,93618,2
April-2024,CA,93618,5
April-2024,CA,93619,1
April-2024,CA,94545,1
April-2024,CA,94566,1
April-2024,CA,94568,1
April-2023,CA,94588,1
April-2023,CA,94605,1
April-2024,CA,94611,1
April-2024,CA,95663,1
April-2024,CA,95758,1
April-2024,CA,95765,1
April-2024,CA,95826,1
April-2023,CO,80123,1
April-2023,CO,80238,1
April-2024,CO,80304,1
April-2024,CO,80521,1
April-2024,CO,80524,1
April-2024,CO,80919,1
April-2023,CT,06033,1
April-2024,CT,06119,1
April-2024,CT,06418,1
April-2023,CT,06484,1
April-2024,CT,06515,1
April-2024,CT,06905,1
April-2023,DC,20001,9
April-2024,DC,20001,11
April-2023,DC,20002,30
April-2024,DC,20002,46
April-2023,DC,20003,10
April-2024,DC,20003,14
April-2023,DC,20004,1
April-2024,DC,20004,1
April-2023,DC,20005,1
April-2024,DC,20005,3
April-2023,DC,20007,2
April-2024,DC,20007,4
April-2023,DC,20008,5
April-2024,DC,20008,10
April-2023,DC,20009,13
April-2024,DC,20009,17
April-2023,DC,20010,6
April-2024,DC,20010,16
April-2023,DC,20011,26
April-2024,DC,20011,35
April-2023,DC,20012,4
April-2024,DC,20012,4
April-2023,DC,20015,1
April-2024,DC,20015,3
April-2023,DC,20017,13
April-2024,DC,20017,8
April-2023,DC,20018,14
April-2024,DC,20018,14
April-2023,DC,20019,78
April-2024,DC,20019,62
April-2023,DC,20020,35
April-2024,DC,20020,40
April-2023,DC,20024,9
April-2024,DC,20024,10
April-2023,DC,20032,34
April-2024,DC,20032,42
April-2024,DC,20036,3
April-2023,DC,20037,2
April-2024,DC,20037,2
April-2023,DE,11956,1
April-2023,DE,19701,2
April-2024,DE,19701,6
April-2023,DE,19702,5
April-2024,DE,19702,12
April-2023,DE,19706,1
April-2023,DE,19707,2
April-2023,DE,19709,4
April-2024,DE,19709,12
April-2023,DE,19711,3
April-2024,DE,19711,4
April-2023,DE,19713,9
April-2024,DE,19713,5
April-2024,DE,19714,1
April-2023,DE,19720,7
April-2024,DE,19720,5
April-2023,DE,19730,1
April-2023,DE,19734,3
April-2024,DE,19734,2
April-2023,DE,19801,1
April-2024,DE,19801,2
April-2023,DE,19803,1
April-2024,DE,19803,1
April-2023,DE,19805,2
April-2024,DE,19805,3
April-2023,DE,19808,2
April-2024,DE,19808,2
April-2023,DE,19809,2
April-2023,DE,19810,1
April-2024,DE,19810,1
April-2023,DE,19901,5
April-2024,DE,19901,6
April-2023,DE,19904,4
April-2024,DE,19904,8
April-2023,DE,19931,1
April-2023,DE,19933,1
April-2024,DE,19933,4
April-2023,DE,19934,1
April-2024,DE,19934,2
April-2023,DE,19938,2
April-2024,DE,19938,4
April-2023,DE,19939,7
April-2024,DE,19939,3
April-2023,DE,19940,11
April-2024,DE,19940,10
April-2023,DE,19943,2
April-2024,DE,19943,2
April-2024,DE,19944,1
April-2023,DE,19945,15
April-2024,DE,19945,13
April-2024,DE,19946,2
April-2023,DE,19947,1
April-2024,DE,19947,2
April-2023,DE,19950,3
April-2024,DE,19950,1
April-2023,DE,19952,3
April-2024,DE,19952,3
April-2023,DE,19953,1
April-2024,DE,19953,2
April-2023,DE,19954,1
April-2023,DE,19956,15
April-2024,DE,19956,21
April-2023,DE,19958,3
April-2023,DE,19962,2
April-2024,DE,19962,4
April-2023,DE,19963,1
