"","county","count_april2023","count_april2024","pct_change"
"1","Allegany County",274,294,7.2992700729927
"2","Anne Arundel County",1538,1824,18.5955786736021
"3","Baltimore City",2482,3201,28.9685737308622
"4","Baltimore County",2583,3300,27.7584204413473
"5","Calvert County",240,254,5.83333333333333
"6","Caroline County",108,89,-17.5925925925926
"7","Carroll County",341,374,9.67741935483871
"8","Cecil County",246,265,7.72357723577236
"9","Charles County",447,505,12.9753914988814
"10","Dorchester County",99,138,39.3939393939394
"11","Frederick County",528,586,10.9848484848485
"12","Garrett County",88,119,35.2272727272727
"13","Harford County",799,876,9.63704630788486
"14","Howard County",615,821,33.4959349593496
"15","Kent County",59,66,11.864406779661
"16","Montgomery County",1654,2062,24.6674727932285
"17","Prince George's County",2065,2379,15.2058111380145
"18","Queen Anne's County",94,116,23.4042553191489
"19","Somerset County",82,64,-21.9512195121951
"20","St Mary's County",248,268,8.06451612903226
"21","St. Mary's County",1,0,-100
"22","Talbot County",98,154,57.1428571428571
"23","Washington County",449,409,-8.9086859688196
"24","Wicomico County",382,379,-0.785340314136126
"25","Worcester County",540,550,1.85185185185185
