"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"1",21655,18,19,1,5.55555555555556,"Preston","Caroline County",4360
"2",20601,67,97,30,44.7761194029851,"Waldorf","Charles County",20090
"3",20602,83,85,2,2.40963855421687,"Waldorf","Charles County",18650
"4",20603,81,86,5,6.17283950617284,"Waldorf","Charles County",22217
"5",20606,0,1,1,Inf,"Abell","St Mary's County",0
"6",20607,34,31,-3,-8.82352941176471,"Accokeek","Prince George's County",8377
"7",20608,3,3,0,0,"Aquasco","Prince George's County",722
"8",20609,4,2,-2,-50,"Avenue","St Mary's County",940
"9",20611,2,3,1,50,"Bel Alton","Charles County",951
"10",20612,1,0,-1,-100,"Benedict","Charles County",0
"11",20613,24,43,19,79.1666666666667,"Brandywine","Prince George's County",10256
"12",20615,3,4,1,33.3333333333333,"Broomes Island","Calvert County",0
"13",20616,26,24,-2,-7.69230769230769,"Bryans Road","Charles County",4871
"14",20617,3,5,2,66.6666666666667,"Bryantown","Charles County",903
"15",20618,3,2,-1,-33.3333333333333,"Bushwood","St Mary's County",616
"16",20619,19,31,12,63.1578947368421,"California","St Mary's County",8705
"17",20620,3,1,-2,-66.6666666666667,"Callaway","St Mary's County",1254
"18",20621,3,0,-3,-100,"Chaptico","St Mary's County",1312
"19",20622,8,13,5,62.5,"Charlotte Hall","Charles County",3891
"20",20623,11,6,-5,-45.4545454545455,"Cheltenham","Prince George's County",2531
"21",20624,3,5,2,66.6666666666667,"Clements","St Mary's County",1077
"22",20625,4,3,-1,-25,"Cobb Island","Charles County",678
"23",20629,0,1,1,Inf,"Dowell","Calvert County",0
"24",20630,1,1,0,0,"Drayden","St Mary's County",0
"25",20632,0,1,1,Inf,"Faulkner","Charles County",0
"26",20634,22,19,-3,-13.6363636363636,"Great Mills","St Mary's County",5941
"27",20636,19,13,-6,-31.578947368421,"Hollywood","St Mary's County",8431
"28",20637,8,10,2,25,"Hughesville","Charles County",4794
"29",20639,30,39,9,30,"Huntingtown","Calvert County",12778
"30",20640,40,43,3,7.5,"Indian Head","Charles County",7882
"31",20645,1,3,2,200,"Issue","Charles County",744
"32",20646,41,49,8,19.5121951219512,"La Plata","Charles County",16450
"33",20650,14,20,6,42.8571428571429,"Leonardtown","St Mary's County",10513
"34",20653,83,75,-8,-9.63855421686747,"Lexington Park","St Mary's County",16545
"35",20656,1,0,-1,-100,"Loveville","St. Mary's County",0
"36",20657,82,60,-22,-26.8292682926829,"Lusby","Calvert County",16379
"37",20658,1,2,1,100,"Marbury","Charles County",1028
"38",20659,62,80,18,29.0322580645161,"Mechanicsville","St Mary's County",19456
"39",20662,12,15,3,25,"Nanjemoy","Charles County",2187
"40",20664,19,14,-5,-26.3157894736842,"Newburg","Charles County",2300
"41",20670,0,1,1,Inf,"Patuxent River","St Mary's County",873
"42",20674,2,2,0,0,"Piney Point","St Mary's County",643
"43",20675,1,4,3,300,"Pomfret","Charles County",1515
"44",20676,8,11,3,37.5,"Port Republic","Calvert County",2964
"45",20677,12,8,-4,-33.3333333333333,"Port Tobacco","Charles County",2081
"46",20678,35,44,9,25.7142857142857,"Prince Frederick","Calvert County",9060
"47",20680,1,5,4,400,"Ridge","St Mary's County",794
"48",20684,3,3,0,0,"Saint Inigoes","St Mary's County",902
"49",20685,13,20,7,53.8461538461538,"Saint Leonard","Calvert County",5780
"50",20687,0,2,2,Inf,"Scotland","St Mary's County",0
"51",20688,8,9,1,12.5,"Solomons","Calvert County",1920
"52",20689,1,2,1,100,"Sunderland","Calvert County",1516
"53",20690,1,2,1,100,"Tall Timbers","St Mary's County",671
"54",20692,5,3,-2,-40,"Valley Lee","St Mary's County",1054
"55",20693,1,1,0,0,"Welcome","Charles County",1079
"56",20695,36,39,3,8.33333333333333,"White Plains","Charles County",7316
"57",20701,1,4,3,300,"Annapolis Junction","Anne Arundel County",0
"58",20705,59,71,12,20.3389830508475,"Beltsville","Prince George's County",21122
"59",20706,106,119,13,12.2641509433962,"Lanham","Prince George's County",31002
"60",20707,100,135,35,35,"Laurel","Prince George's County",26214
"61",20708,93,85,-8,-8.60215053763441,"Laurel","Prince George's County",19398
"62",20709,1,0,-1,-100,"Laurel","Prince George's County",0
"63",20710,20,15,-5,-25,"Bladensburg","Prince George's County",6493
"64",20711,14,17,3,21.4285714285714,"Lothian","Anne Arundel County",5488
"65",20712,11,17,6,54.5454545454545,"Mount Rainier","Prince George's County",6569
"66",20714,15,16,1,6.66666666666667,"North Beach","Calvert County",3488
"67",20715,39,64,25,64.1025641025641,"Bowie","Prince George's County",21792
"68",20716,58,55,-3,-5.17241379310345,"Bowie","Prince George's County",17493
"69",20720,63,84,21,33.3333333333333,"Bowie","Prince George's County",17823
"70",20721,65,69,4,6.15384615384615,"Bowie","Prince George's County",22471
"71",20722,10,8,-2,-20,"Brentwood","Prince George's County",4676
"72",20723,77,94,17,22.0779220779221,"Laurel","Howard County",24130
"73",20724,55,60,5,9.09090909090909,"Laurel","Anne Arundel County",12891
"74",20725,1,0,-1,-100,"Laurel","Prince George's County",465
"75",20732,21,24,3,14.2857142857143,"Chesapeake Beach","Calvert County",8400
"76",20733,7,9,2,28.5714285714286,"Churchton","Anne Arundel County",2606
"77",20735,82,110,28,34.1463414634146,"Clinton","Prince George's County",30519
"78",20736,9,8,-1,-11.1111111111111,"Owings","Calvert County",7915
"79",20737,43,41,-2,-4.65116279069767,"Riverdale","Prince George's County",15681
"80",20740,40,58,18,45,"College Park","Prince George's County",15633
"81",20741,1,0,-1,-100,"College Park","Prince George's County",0
"82",20743,99,120,21,21.2121212121212,"Capitol Heights","Prince George's County",29683
"83",20744,100,113,13,13,"Fort Washington","Prince George's County",41540
"84",20745,63,91,28,44.4444444444444,"Oxon Hill","Prince George's County",20874
"85",20746,95,110,15,15.7894736842105,"Suitland","Prince George's County",22404
"86",20747,126,133,7,5.55555555555556,"District Heights","Prince George's County",30726
"87",20748,104,98,-6,-5.76923076923077,"Temple Hills","Prince George's County",30423
"88",20751,3,3,0,0,"Deale","Anne Arundel County",1944
"89",20754,15,16,1,6.66666666666667,"Dunkirk","Calvert County",6409
"90",20755,2,8,6,300,"Fort George G Meade","Anne Arundel County",6733
"91",20758,5,1,-4,-80,"Friendship","Anne Arundel County",746
"92",20759,9,5,-4,-44.4444444444444,"Fulton","Howard County",2725
"93",20762,1,1,0,0,"Andrews Air Force Base","Prince George's County",2572
"94",20763,5,5,0,0,"Savage","Howard County",2285
"95",20764,17,19,2,11.7647058823529,"Shady Side","Anne Arundel County",3585
"96",20765,2,1,-1,-50,"Galesville","Anne Arundel County",532
"97",20769,14,13,-1,-7.14285714285714,"Glenn Dale","Prince George's County",5725
"98",20770,68,79,11,16.1764705882353,"Greenbelt","Prince George's County",18966
"99",20772,109,135,26,23.8532110091743,"Upper Marlboro","Prince George's County",34695
"100",20774,123,137,14,11.3821138211382,"Upper Marlboro","Prince George's County",35509
