"","county","difference"
"1","Allegany County",20
"2","Anne Arundel County",286
"3","Baltimore City",719
"4","Baltimore County",717
"5","Calvert County",14
"6","Caroline County",-19
"7","Carroll County",33
"8","Cecil County",19
"9","Charles County",58
"10","Dorchester County",39
"11","Frederick County",58
"12","Garrett County",31
"13","Harford County",77
"14","Howard County",206
"15","Kent County",7
"16","Montgomery County",408
"17","Prince George's County",314
"18","Queen Anne's County",22
"19","Somerset County",-18
"20","St Mary's County",20
"21","St. Mary's County",-1
"22","Talbot County",56
"23","Washington County",-40
"24","Wicomico County",-3
"25","Worcester County",10
