"","zip_code","count_april2023","count_april2024"
"1","21655","c(1, 17)","19"
"2","20601","67","97"
"3","20602","83","85"
"4","20603","81","86"
"5","20606","0","1"
"6","20607","34","31"
"7","20608","3","3"
"8","20609","4","2"
"9","20611","2","3"
"10","20612","1","0"
"11","20613","24","43"
"12","20615","3","4"
"13","20616","26","24"
"14","20617","3","5"
"15","20618","3","2"
"16","20619","19","31"
"17","20620","3","1"
"18","20621","3","0"
"19","20622","8","13"
"20","20623","11","6"
"21","20624","3","5"
"22","20625","4","3"
"23","20629","0","1"
"24","20630","1","1"
"25","20632","0","1"
"26","20634","22","19"
"27","20636","19","13"
"28","20637","8","10"
"29","20639","30","39"
"30","20640","40","43"
"31","20645","1","3"
"32","20646","41","49"
"33","20650","14","20"
"34","20653","83","75"
"35","20656","1","0"
"36","20657","82","60"
"37","20658","1","2"
"38","20659","62","80"
"39","20662","12","15"
"40","20664","19","14"
"41","20670","0","1"
"42","20674","2","2"
"43","20675","1","4"
"44","20676","8","11"
"45","20677","12","8"
"46","20678","35","44"
"47","20680","1","5"
"48","20684","3","3"
"49","20685","13","20"
"50","20687","0","2"
"51","20688","8","9"
"52","20689","1","2"
"53","20690","1","2"
"54","20692","5","3"
"55","20693","1","1"
"56","20695","36","39"
"57","20701","1","4"
"58","20702","0","1"
"59","20705","59","71"
"60","20706","106","119"
"61","20707","100","135"
"62","20708","93","85"
"63","20709","1","0"
"64","20710","20","15"
"65","20711","14","17"
"66","20712","11","17"
"67","20713","0","1"
"68","20714","15","16"
"69","20715","39","64"
"70","20716","58","55"
"71","20720","63","84"
"72","20721","65","69"
"73","20722","10","8"
"74","20723","77","94"
"75","20724","55","60"
"76","20725","1","0"
"77","20732","21","24"
"78","20733","7","9"
"79","20735","82","110"
"80","20736","9","8"
"81","20737","43","41"
"82","20740","40","58"
"83","20741","1","0"
"84","20743","99","120"
"85","20744","100","113"
"86","20745","63","91"
"87","20746","95","110"
"88","20747","126","133"
"89","20748","104","98"
"90","20751","3","3"
"91","20754","15","16"
"92","20755","2","8"
"93","20758","5","1"
"94","20759","9","5"
"95","20762","1","1"
"96","20763","5","5"
"97","20764","17","19"
"98","20765","2","1"
"99","20769","14","13"
"100","20770","68","79"
"101","20772","109","135"
"102","20774","123","137"
"103","20776","4","7"
"104","20777","7","8"
"105","20778","5","4"
"106","20779","2","3"
"107","20781","18","16"
"108","20782","47","60"
"109","20783","58","71"
"110","20784","66","63"
"111","20785","110","124"
"112","20792","0","1"
"113","20794","25","38"
"114","20814","25","46"
"115","20815","26","26"
"116","20816","6","9"
"117","20817","26","48"
"118","20818","2","4"
"119","20832","29","46"
"120","20833","8","8"
"121","20837","10","16"
"122","20839","0","1"
"123","20841","25","27"
"124","20842","2","2"
"125","20849","1","0"
"126","20850","93","125"
"127","20851","25","32"
"128","20852","74","84"
"129","20853","29","46"
"130","20854","30","68"
"131","20855","29","36"
"132","20859","1","0"
"133","20860","1","5"
"134","20861","5","7"
"135","20862","0","1"
"136","20866","32","43"
"137","20868","3","2"
"138","20871","47","77"
"139","20872","19","30"
"140","20874","151","187"
"141","20875","1","0"
"142","20876","52","66"
"143","20877","63","87"
"144","20878","121","166"
"145","20879","39","59"
"146","20882","18","14"
"147","20883","1","0"
"148","20885","1","0"
"149","20886","84","83"
"150","20895","21","27"
"151","20896","0","1"
"152","20898","1","0"
"153","20901","59","52"
"154","20902","74","89"
"155","20903","38","28"
"156","20904","136","120"
"157","20905","33","26"
"158","20906","97","132"
"159","20907","0","1"
"160","20910","84","90"
"161","20912","32","44"
"162","20916","0","1"
"163","21001","95","124"
"164","21005","1","2"
"165","21009","89","113"
"166","21012","34","29"
"167","21013","10","15"
"168","21014","93","102"
"169","21015","87","86"
"170","21017","29","30"
