Week ending ,ANNE ARUNDEL,BALTIMORE,BALTIMORE CITY
Jan 6,186,385,332
Jan 13,202,446,363
Jan 20,261,369,299
Jan 27,197,449,399
Feb 3,156,392,337
Feb 10,188,367,354
Feb 17,160,328,302
Feb 24,130,340,285
March 3,164,358,280
March 9,172,344,315
March 16,114,327,313
March 23,120,325,303
March 30,402,590,477
April 6,240,490,419
April 13,201,475,354
April 20,150,356,305
April 27,163,359,291
May 4,174,375,337
May 11,144,343,345
May 18,156,363,358
May 25,153,326,381
June 1,134,326,348
June 8,198,376,350
June 15,364,395,474
June 22,333,508,498
June 29,208,395,410
July 6,157,331,312
July 13,213,349,377
July 20,164,373,340
July 27,164,360,312
Aug 3,188,395,373
Aug 10,210,329,337
Aug 17,165,334,282
Aug 24,151,294,268
Aug 31,118,303,253
September 7,111,319,229
September 14,131,316,279
September 21,142,274,277
September 28,160,275,265
Oct 26,151,320,299
Nov 2,159,319,292
Nov 9,152,318,258
Nov 16,164,312,294
Nov 23,161,365,265
Nov 30,361,279,239
Dec 7,214,366,324
Dec 14,134,315,304
Dec 21,183,396,483
Dec 28,383,482,491
