Year,Month,STATE_CODE_VALUE,ZIP,Count
2024,4,MD,21222,198
2024,4,MD,21206,182
2024,4,MD,21215,160
2024,4,MD,21229,147
2024,4,MD,21122,147
2024,4,MD,21234,146
2024,4,MD,21221,144
2024,4,MD,21207,130
2024,4,MD,21220,119
2024,4,MD,21218,114
2024,4,MD,21213,110
2024,4,MD,21244,108
2024,4,MD,21216,107
2024,4,MD,21224,105
2024,4,MD,21225,104
2024,4,MD,21740,103
2024,4,MD,20874,102
2024,4,MD,21061,102
2024,4,MD,21117,98
2024,4,MD,21217,94
2024,4,MD,21060,91
2024,4,MD,21230,90
2024,4,MD,20878,87
2024,4,MD,21236,86
2024,4,MD,21702,85
2024,4,MD,21237,84
2024,4,MD,21133,75
2024,4,MD,20706,74
2024,4,MD,21239,74
2024,4,MD,20747,73
2024,4,MD,20743,73
2024,4,MD,20774,73
2024,4,MD,21703,70
2024,4,MD,21001,69
2024,4,MD,21040,69
2024,4,MD,21804,69
2024,4,MD,20904,66
2024,4,MD,21045,64
2024,4,MD,20906,64
2024,4,MD,21228,64
2024,4,MD,20850,64
2024,4,MD,21202,62
2024,4,MD,20785,61
2024,4,MD,21701,61
2024,4,MD,21227,60
2024,4,MD,21009,59
2024,4,MD,21144,58
2024,4,MD,21043,57
2024,4,MD,20744,56
2024,4,MD,21136,56
2024,4,MD,21921,55
2024,4,MD,21223,54
2024,4,MD,21214,54
2024,4,MD,21212,54
2024,4,MD,20707,53
2024,4,MD,20748,52
2024,4,MD,21113,52
2024,4,MD,21502,52
2024,4,MD,21044,51
2024,4,MD,20772,49
2024,4,MD,20723,47
2024,4,MD,20852,46
2024,4,MD,21201,45
2024,4,MD,21076,45
2024,4,MD,20735,45
2024,4,MD,20784,45
2024,4,MD,20746,44
2024,4,MD,21219,44
2024,4,MD,21157,43
2024,4,MD,21014,43
2024,4,MD,21208,43
2024,4,MD,20708,42
2024,4,MD,20910,42
2024,4,MD,21801,42
2024,4,MD,20877,42
2024,4,MD,21085,41
2024,4,MD,21205,41
2024,4,MD,21030,41
2024,4,MD,20602,41
2024,4,MD,20705,40
2024,4,MD,20745,40
2024,4,MD,20601,40
2024,4,MD,20603,39
2024,4,MD,20783,39
2024,4,MD,21209,38
2024,4,MD,21015,38
2024,4,MD,21784,38
2024,4,MD,21613,37
2024,4,MD,20902,37
2024,4,MD,21075,37
2024,4,DC,20019,37
2024,4,MD,21403,36
2024,4,MD,20871,36
2024,4,MD,20653,34
2024,4,MD,20716,33
2024,4,MD,21078,32
2024,4,MD,20770,32
2024,4,MD,20879,32
2024,4,MD,21093,32
2024,4,MD,21742,32
