Claim Filed By:,Regular UI,PUA NEW,PUA (Reclassified)*,PEUC Claims,Week ending 
ALLEGANY,42,0,0,0,Jan 6
ANNE ARUNDEL,186,0,0,0,Jan 6
BALTIMORE,385,0,0,0,Jan 6
BALTIMORE CITY,332,0,0,0,Jan 6
CALVERT,33,0,0,0,Jan 6
CAROLINE,16,0,0,0,Jan 6
CARROLL,73,0,0,0,Jan 6
CECIL,41,0,0,0,Jan 6
CHARLES,78,0,0,0,Jan 6
DORCHESTER,23,0,0,0,Jan 6
FREDERICK,105,0,0,0,Jan 6
GARRETT,31,0,0,0,Jan 6
HARFORD,114,0,0,0,Jan 6
HOWARD,83,0,0,0,Jan 6
KENT,13,0,0,0,Jan 6
MONTGOMERY,231,0,0,0,Jan 6
NON-MARYLAND,257,0,0,0,Jan 6
PRINCE GEORGES,275,0,0,0,Jan 6
QUEEN ANNES,21,0,0,0,Jan 6
SOMERSET,9,0,0,0,Jan 6
ST MARYS,26,0,0,0,Jan 6
TALBOT,21,0,0,0,Jan 6
Unknown,40,0,0,0,Jan 6
WASHINGTON,60,0,0,0,Jan 6
WICOMICO,46,0,0,0,Jan 6
WORCESTER,84,0,0,0,Jan 6
ALLEGANY,42,0,0,0,Jan 13
ANNE ARUNDEL,202,0,0,0,Jan 13
BALTIMORE,446,0,0,0,Jan 13
BALTIMORE CITY,363,0,0,0,Jan 13
CALVERT,26,0,0,0,Jan 13
CAROLINE,27,0,0,0,Jan 13
CARROLL,72,0,0,0,Jan 13
CECIL,29,0,0,0,Jan 13
CHARLES,64,0,0,0,Jan 13
DORCHESTER,17,0,0,0,Jan 13
FREDERICK,95,0,0,0,Jan 13
GARRETT,36,0,0,0,Jan 13
HARFORD,136,0,0,0,Jan 13
HOWARD,95,0,0,0,Jan 13
KENT,11,0,0,0,Jan 13
MONTGOMERY,291,0,0,0,Jan 13
NON-MARYLAND,316,0,0,1,Jan 13
PRINCE GEORGES,335,0,0,0,Jan 13
QUEEN ANNES,18,0,0,0,Jan 13
SOMERSET,19,0,0,0,Jan 13
ST MARYS,26,0,0,0,Jan 13
TALBOT,18,0,0,0,Jan 13
Unknown,27,0,0,0,Jan 13
WASHINGTON,85,0,0,0,Jan 13
WICOMICO,55,0,0,0,Jan 13
WORCESTER,113,0,0,0,Jan 13
ALLEGANY,35,0,0,0,Jan 20
ANNE ARUNDEL,261,0,0,0,Jan 20
BALTIMORE,369,0,0,0,Jan 20
BALTIMORE CITY,299,0,0,0,Jan 20
CALVERT,31,0,0,0,Jan 20
CAROLINE,16,0,0,0,Jan 20
CARROLL,54,0,0,0,Jan 20
CECIL,54,0,0,0,Jan 20
CHARLES,50,0,0,0,Jan 20
DORCHESTER,23,0,0,0,Jan 20
FREDERICK,69,0,0,0,Jan 20
GARRETT,22,0,0,0,Jan 20
HARFORD,117,0,0,0,Jan 20
HOWARD,81,0,0,0,Jan 20
KENT,13,0,0,0,Jan 20
MONTGOMERY,235,0,0,0,Jan 20
NON-MARYLAND,232,0,0,0,Jan 20
PRINCE GEORGES,305,0,0,0,Jan 20
QUEEN ANNES,19,0,0,0,Jan 20
SOMERSET,20,0,0,0,Jan 20
ST MARYS,20,0,0,0,Jan 20
TALBOT,14,0,0,0,Jan 20
Unknown,28,0,0,0,Jan 20
WASHINGTON,70,0,0,0,Jan 20
WICOMICO,59,0,0,0,Jan 20
WORCESTER,65,0,0,0,Jan 20
ALLEGANY,31,0,0,0,Jan 27
ANNE ARUNDEL,197,0,0,0,Jan 27
BALTIMORE,449,0,0,0,Jan 27
BALTIMORE CITY,399,0,0,1,Jan 27
CALVERT,29,0,0,0,Jan 27
CAROLINE,10,0,0,0,Jan 27
CARROLL,75,0,0,0,Jan 27
CECIL,31,0,0,0,Jan 27
CHARLES,46,0,0,0,Jan 27
