WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"January 04, 2025",ALLEGANY,51,0,0,0
"January 04, 2025",ANNE ARUNDEL,185,0,0,0
"January 04, 2025",BALTIMORE,364,0,0,0
"January 04, 2025",BALTIMORE CITY,337,0,0,0
"January 04, 2025",CALVERT,24,0,0,0
"January 04, 2025",CAROLINE,11,0,0,0
"January 04, 2025",CARROLL,71,0,0,0
"January 04, 2025",CECIL,58,0,0,0
"January 04, 2025",CHARLES,73,0,0,0
"January 04, 2025",DORCHESTER,23,0,0,0
"January 04, 2025",FREDERICK,84,0,0,0
"January 04, 2025",GARRETT,18,0,0,0
"January 04, 2025",HARFORD,116,0,0,0
"January 04, 2025",HOWARD,80,0,0,0
"January 04, 2025",KENT,21,0,0,0
"January 04, 2025",MONTGOMERY,193,0,0,0
"January 04, 2025",NON-MARYLAND,220,0,0,0
"January 04, 2025",PRINCE GEORGES,243,0,0,0
"January 04, 2025",QUEEN ANNES,15,0,0,0
"January 04, 2025",SOMERSET,14,0,0,0
"January 04, 2025",ST MARYS,14,0,0,0
"January 04, 2025",TALBOT,9,0,0,0
"January 04, 2025",Unknown,22,0,0,0
"January 04, 2025",WASHINGTON,72,0,0,0
"January 04, 2025",WICOMICO,64,0,0,0
"January 04, 2025",WORCESTER,53,0,0,0
"January 11, 2025",ALLEGANY,63,0,0,0
"January 11, 2025",ANNE ARUNDEL,209,0,0,0
"January 11, 2025",BALTIMORE,431,0,0,0
"January 11, 2025",BALTIMORE CITY,344,0,0,0
"January 11, 2025",CALVERT,18,0,0,0
"January 11, 2025",CAROLINE,23,0,0,0
"January 11, 2025",CARROLL,73,0,0,0
"January 11, 2025",CECIL,53,0,0,0
"January 11, 2025",CHARLES,65,0,0,0
"January 11, 2025",DORCHESTER,23,0,0,0
"January 11, 2025",FREDERICK,126,0,0,0
"January 11, 2025",GARRETT,31,0,0,0
"January 11, 2025",HARFORD,128,0,0,0
"January 11, 2025",HOWARD,107,0,0,0
"January 11, 2025",KENT,12,0,0,0
"January 11, 2025",MONTGOMERY,260,0,0,0
"January 11, 2025",NON-MARYLAND,289,0,0,0
"January 11, 2025",PRINCE GEORGES,278,0,0,0
"January 11, 2025",QUEEN ANNES,19,0,0,0
"January 11, 2025",SOMERSET,17,0,0,0
"January 11, 2025",ST MARYS,25,0,0,0
"January 11, 2025",TALBOT,18,0,0,0
"January 11, 2025",Unknown,27,0,0,0
"January 11, 2025",WASHINGTON,100,0,0,0
"January 11, 2025",WICOMICO,78,0,0,0
"January 11, 2025",WORCESTER,116,0,0,0
"January 18, 2025",ALLEGANY,38,0,0,0
"January 18, 2025",ANNE ARUNDEL,191,0,0,0
"January 18, 2025",BALTIMORE,398,0,0,0
"January 18, 2025",BALTIMORE CITY,340,0,0,0
"January 18, 2025",CALVERT,35,0,0,0
"January 18, 2025",CAROLINE,14,0,0,0
"January 18, 2025",CARROLL,72,0,0,0
"January 18, 2025",CECIL,40,0,0,0
"January 18, 2025",CHARLES,55,0,0,0
"January 18, 2025",DORCHESTER,19,0,0,0
"January 18, 2025",FREDERICK,91,0,0,0
"January 18, 2025",GARRETT,25,0,0,0
"January 18, 2025",HARFORD,133,0,0,0
"January 18, 2025",HOWARD,85,0,0,0
"January 18, 2025",KENT,14,0,0,0
"January 18, 2025",MONTGOMERY,249,0,0,0
"January 18, 2025",NON-MARYLAND,254,0,0,0
"January 18, 2025",PRINCE GEORGES,350,0,0,0
"January 18, 2025",QUEEN ANNES,16,0,0,0
"January 18, 2025",SOMERSET,17,0,0,0
"January 18, 2025",ST MARYS,11,0,0,0
"January 18, 2025",TALBOT,19,0,0,0
"January 18, 2025",Unknown,26,0,0,0
"January 18, 2025",WASHINGTON,71,0,0,0
"January 18, 2025",WICOMICO,47,0,0,0
"January 18, 2025",WORCESTER,75,0,0,0
"January 25, 2025",ALLEGANY,30,0,0,0
"January 25, 2025",ANNE ARUNDEL,156,0,0,0
"January 25, 2025",BALTIMORE,316,0,0,0
"January 25, 2025",BALTIMORE CITY,304,0,0,0
"January 25, 2025",CALVERT,26,0,0,0
"January 25, 2025",CAROLINE,14,0,0,0
"January 25, 2025",CARROLL,54,0,0,0
"January 25, 2025",CECIL,40,0,0,0
"January 25, 2025",CHARLES,52,0,0,0
"January 25, 2025",DORCHESTER,22,0,0,0
"January 25, 2025",FREDERICK,80,0,0,0
"January 25, 2025",GARRETT,18,0,0,0
"January 25, 2025",HARFORD,105,0,0,0
"January 25, 2025",HOWARD,71,0,0,0
"January 25, 2025",KENT,6,0,0,0
"January 25, 2025",MONTGOMERY,233,0,0,0
"January 25, 2025",NON-MARYLAND,206,0,0,0
"January 25, 2025",PRINCE GEORGES,285,0,0,0
"January 25, 2025",QUEEN ANNES,7,0,0,0
"January 25, 2025",SOMERSET,8,0,0,0
"January 25, 2025",ST MARYS,13,0,0,0
"January 25, 2025",TALBOT,21,0,0,0
"January 25, 2025",Unknown,21,0,0,0
"January 25, 2025",WASHINGTON,69,0,0,0
"January 25, 2025",WICOMICO,54,0,0,0
"January 25, 2025",WORCESTER,43,0,0,0
"February 01, 2025",ALLEGANY,26,0,0,0
"February 01, 2025",ANNE ARUNDEL,178,0,0,0
"February 01, 2025",BALTIMORE,358,0,0,0
"February 01, 2025",BALTIMORE CITY,280,0,0,0
"February 01, 2025",CALVERT,20,0,0,0
"February 01, 2025",CAROLINE,9,0,0,0
"February 01, 2025",CARROLL,57,0,0,0
