WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"July 06, 2024",ALLEGANY,23,0,0,0
"July 06, 2024",ANNE ARUNDEL,157,0,0,0
"July 06, 2024",BALTIMORE,331,0,0,0
"July 06, 2024",BALTIMORE CITY,312,0,0,0
"July 06, 2024",CALVERT,15,0,0,0
"July 06, 2024",CAROLINE,10,0,0,0
"July 06, 2024",CARROLL,38,0,0,0
"July 06, 2024",CECIL,34,0,0,0
"July 06, 2024",CHARLES,53,0,0,0
"July 06, 2024",DORCHESTER,15,0,0,0
"July 06, 2024",FREDERICK,77,0,0,0
"July 06, 2024",GARRETT,13,0,0,0
"July 06, 2024",HARFORD,61,0,0,0
"July 06, 2024",HOWARD,104,0,0,0
"July 06, 2024",KENT,4,0,0,0
"July 06, 2024",MONTGOMERY,219,0,0,0
"July 06, 2024",NON-MARYLAND,197,0,0,0
"July 06, 2024",PRINCE GEORGES,246,0,0,0
"July 06, 2024",QUEEN ANNES,15,0,0,0
"July 06, 2024",SOMERSET,5,0,0,0
"July 06, 2024",ST MARYS,15,0,0,0
"July 06, 2024",TALBOT,12,0,0,0
"July 06, 2024",Unknown,19,0,0,0
"July 06, 2024",WASHINGTON,51,0,0,0
"July 06, 2024",WICOMICO,31,0,0,0
"July 06, 2024",WORCESTER,12,0,0,0
"July 13, 2024",ALLEGANY,13,0,0,0
"July 13, 2024",ANNE ARUNDEL,213,0,0,0
"July 13, 2024",BALTIMORE,349,0,0,0
"July 13, 2024",BALTIMORE CITY,377,0,0,0
"July 13, 2024",CALVERT,22,0,0,0
"July 13, 2024",CAROLINE,13,0,0,0
"July 13, 2024",CARROLL,29,0,0,0
"July 13, 2024",CECIL,28,0,0,0
"July 13, 2024",CHARLES,41,0,0,0
"July 13, 2024",DORCHESTER,19,0,0,0
"July 13, 2024",FREDERICK,78,0,0,0
"July 13, 2024",GARRETT,8,0,0,0
"July 13, 2024",HARFORD,85,0,0,0
"July 13, 2024",HOWARD,96,0,0,0
"July 13, 2024",KENT,4,0,0,0
"July 13, 2024",MONTGOMERY,248,0,0,0
"July 13, 2024",NON-MARYLAND,186,0,0,0
"July 13, 2024",PRINCE GEORGES,268,0,0,0
"July 13, 2024",QUEEN ANNES,9,0,0,0
"July 13, 2024",SOMERSET,7,0,0,0
"July 13, 2024",ST MARYS,17,0,0,0
"July 13, 2024",TALBOT,15,0,0,0
"July 13, 2024",Unknown,16,0,0,0
"July 13, 2024",WASHINGTON,37,0,0,0
"July 13, 2024",WICOMICO,32,0,0,0
"July 13, 2024",WORCESTER,15,0,0,0
"July 20, 2024",ALLEGANY,29,0,0,0
"July 20, 2024",ANNE ARUNDEL,164,0,0,0
"July 20, 2024",BALTIMORE,373,0,0,0
"July 20, 2024",BALTIMORE CITY,340,0,0,0
"July 20, 2024",CALVERT,25,0,0,0
"July 20, 2024",CAROLINE,10,0,0,0
"July 20, 2024",CARROLL,39,0,0,0
"July 20, 2024",CECIL,25,0,0,0
"July 20, 2024",CHARLES,50,0,0,0
"July 20, 2024",DORCHESTER,12,0,0,0
"July 20, 2024",FREDERICK,72,0,0,0
"July 20, 2024",GARRETT,4,0,0,0
"July 20, 2024",HARFORD,101,0,0,0
"July 20, 2024",HOWARD,84,0,0,0
"July 20, 2024",KENT,5,0,0,0
"July 20, 2024",MONTGOMERY,227,0,0,0
"July 20, 2024",NON-MARYLAND,186,0,0,0
"July 20, 2024",PRINCE GEORGES,284,0,0,0
"July 20, 2024",QUEEN ANNES,11,0,0,0
"July 20, 2024",SOMERSET,10,0,0,0
"July 20, 2024",ST MARYS,17,0,0,0
"July 20, 2024",TALBOT,15,0,0,0
"July 20, 2024",Unknown,23,0,0,0
"July 20, 2024",WASHINGTON,41,0,0,0
"July 20, 2024",WICOMICO,49,0,0,0
"July 20, 2024",WORCESTER,15,0,0,0
"July 27, 2024",ALLEGANY,41,0,0,0
"July 27, 2024",ANNE ARUNDEL,164,0,0,0
"July 27, 2024",BALTIMORE,360,0,0,0
"July 27, 2024",BALTIMORE CITY,312,0,0,0
"July 27, 2024",CALVERT,31,0,0,0
"July 27, 2024",CAROLINE,14,0,0,0
"July 27, 2024",CARROLL,50,0,0,0
"July 27, 2024",CECIL,33,0,0,0
"July 27, 2024",CHARLES,56,0,0,0
"July 27, 2024",DORCHESTER,17,0,0,0
"July 27, 2024",FREDERICK,64,0,0,0
"July 27, 2024",GARRETT,8,0,0,0
"July 27, 2024",HARFORD,81,0,0,0
"July 27, 2024",HOWARD,77,0,0,0
"July 27, 2024",KENT,4,0,0,0
"July 27, 2024",MONTGOMERY,191,0,0,0
"July 27, 2024",NON-MARYLAND,245,0,0,0
"July 27, 2024",PRINCE GEORGES,274,0,0,0
"July 27, 2024",QUEEN ANNES,6,0,0,0
"July 27, 2024",SOMERSET,10,0,0,0
"July 27, 2024",ST MARYS,11,0,0,0
"July 27, 2024",TALBOT,16,0,0,0
"July 27, 2024",Unknown,18,0,0,0
"July 27, 2024",WASHINGTON,89,0,0,0
"July 27, 2024",WICOMICO,34,0,0,0
"July 27, 2024",WORCESTER,9,0,0,0
"August 03, 2024",ALLEGANY,50,0,0,0
"August 03, 2024",ANNE ARUNDEL,188,0,0,0
"August 03, 2024",BALTIMORE,395,0,0,0
"August 03, 2024",BALTIMORE CITY,373,0,0,0
"August 03, 2024",CALVERT,31,0,0,0
"August 03, 2024",CAROLINE,9,0,0,0
"August 03, 2024",CARROLL,46,0,0,0
"August 03, 2024",CECIL,21,0,0,0
"August 03, 2024",CHARLES,72,0,0,0
"August 03, 2024",DORCHESTER,12,0,0,0
"August 03, 2024",FREDERICK,84,0,0,0
"August 03, 2024",GARRETT,4,0,0,0
"August 03, 2024",HARFORD,91,0,0,0
"August 03, 2024",HOWARD,89,0,0,0
"August 03, 2024",KENT,2,0,0,0
"August 03, 2024",MONTGOMERY,224,0,0,0
"August 03, 2024",NON-MARYLAND,188,0,0,0
"August 03, 2024",PRINCE GEORGES,309,0,0,0
"August 03, 2024",QUEEN ANNES,10,0,0,0
"August 03, 2024",SOMERSET,6,0,0,0
"August 03, 2024",ST MARYS,11,0,0,0
"August 03, 2024",TALBOT,12,0,0,0
"August 03, 2024",Unknown,19,0,0,0
"August 03, 2024",WASHINGTON,88,0,0,0
"August 03, 2024",WICOMICO,40,0,0,0
"August 03, 2024",WORCESTER,8,0,0,0
"August 10, 2024",ALLEGANY,24,0,0,0
"August 10, 2024",ANNE ARUNDEL,210,0,0,0
"August 10, 2024",BALTIMORE,329,0,0,0
"August 10, 2024",BALTIMORE CITY,337,0,0,0
"August 10, 2024",CALVERT,31,0,0,0
"August 10, 2024",CAROLINE,10,0,0,0
"August 10, 2024",CARROLL,43,0,0,0
"August 10, 2024",CECIL,30,0,0,0
"August 10, 2024",CHARLES,71,0,0,0
"August 10, 2024",DORCHESTER,15,0,0,0
"August 10, 2024",FREDERICK,69,0,0,0
"August 10, 2024",GARRETT,6,0,0,0
"August 10, 2024",HARFORD,80,0,0,0
"August 10, 2024",HOWARD,84,0,0,0
"August 10, 2024",KENT,3,0,0,0
"August 10, 2024",MONTGOMERY,237,0,0,1
"August 10, 2024",NON-MARYLAND,269,0,0,0
"August 10, 2024",PRINCE GEORGES,282,0,0,0
"August 10, 2024",QUEEN ANNES,14,0,0,0
"August 10, 2024",SOMERSET,7,0,0,0
"August 10, 2024",ST MARYS,17,0,0,0
"August 10, 2024",TALBOT,14,0,0,0
"August 10, 2024",Unknown,11,0,0,0
"August 10, 2024",WASHINGTON,105,0,0,0
"August 10, 2024",WICOMICO,22,0,0,0
"August 10, 2024",WORCESTER,13,0,0,0
"August 17, 2024",ALLEGANY,16,0,0,0
"August 17, 2024",ANNE ARUNDEL,165,0,0,0
"August 17, 2024",BALTIMORE,334,0,0,0
"August 17, 2024",BALTIMORE CITY,282,0,0,0
"August 17, 2024",CALVERT,25,0,0,0
"August 17, 2024",CAROLINE,8,0,0,0
"August 17, 2024",CARROLL,25,0,0,0
"August 17, 2024",CECIL,21,0,0,0
"August 17, 2024",CHARLES,67,0,0,0
"August 17, 2024",DORCHESTER,10,0,0,0
"August 17, 2024",FREDERICK,68,0,0,0
"August 17, 2024",GARRETT,9,0,0,0
"August 17, 2024",HARFORD,70,0,0,0
