"","GEOID","Place","State","year","total","yes_internet","no_internet"
"1","2400125","Aberdeen city"," Maryland","2020",6412,5403,892
"2","2400175","Aberdeen Proving Ground CDP"," Maryland","2020",731,699,18
"3","2400200","Abingdon CDP"," Maryland","2020",1801,1781,20
"4","2400225","Accident town"," Maryland","2020",167,115,22
"5","2400250","Accokeek CDP"," Maryland","2020",4027,3761,224
"6","2400350","Adamstown CDP"," Maryland","2020",678,653,25
"7","2400400","Adelphi CDP"," Maryland","2020",4884,4460,295
"8","2400712","Algonquin CDP"," Maryland","2020",554,473,81
"9","2400800","Allen CDP"," Maryland","2020",138,138,0
"10","2401450","Andrews AFB CDP"," Maryland","2020",801,747,34
"11","2401600","Annapolis city"," Maryland","2020",16291,14404,1312
"12","2401635","Annapolis Neck CDP"," Maryland","2020",5304,4968,186
"13","2401750","Antietam CDP"," Maryland","2020",27,27,0
"14","2401925","Aquasco CDP"," Maryland","2020",287,171,86
"15","2401975","Arbutus CDP"," Maryland","2020",7581,6463,881
"16","2402025","Arden on the Severn CDP"," Maryland","2020",611,578,33
"17","2402275","Arnold CDP"," Maryland","2020",8528,8189,213
"18","2402762","Ashton-Sandy Spring CDP"," Maryland","2020",2065,1945,120
"19","2402825","Aspen Hill CDP"," Maryland","2020",16890,15241,1346
"20","2403500","Baden CDP"," Maryland","2020",565,534,29
"21","2403514","Bagtown CDP"," Maryland","2020",151,135,16
"22","2403575","Bakersville CDP"," Maryland","2020",0,0,0
"23","2403800","Ballenger Creek CDP"," Maryland","2020",8270,7499,671
"24","2404000","Baltimore city"," Maryland","2020",242499,189776,42661
"25","2404050","Baltimore Highlands CDP"," Maryland","2020",2816,2072,389
"26","2404250","Barclay town"," Maryland","2020",67,52,14
"27","2404475","Barnesville town"," Maryland","2020",55,51,4
"28","2404525","Barrelville CDP"," Maryland","2020",21,16,5
"29","2404625","Barton town"," Maryland","2020",173,144,26
"30","2404650","Bartonsville CDP"," Maryland","2020",568,548,14
"31","2405250","Beaver Creek CDP"," Maryland","2020",151,151,0
"32","2405525","Bel Air CDP"," Maryland","2020",680,513,70
"33","2405550","Bel Air town"," Maryland","2020",4758,4117,491
"34","2405825","Bel Air North CDP"," Maryland","2020",10699,10190,408
"35","2405950","Bel Air South CDP"," Maryland","2020",21135,19695,1197
"36","2406400","Beltsville CDP"," Maryland","2020",6103,4752,545
"37","2406550","Benedict CDP"," Maryland","2020",118,80,38
"38","2406662","Bensville CDP"," Maryland","2020",4441,4375,51
"39","2406800","Berlin town"," Maryland","2020",1767,1575,171
"40","2406925","Berwyn Heights town"," Maryland","2020",914,872,34
"41","2407125","Bethesda CDP"," Maryland","2020",26040,24809,650
"42","2407200","Betterton town"," Maryland","2020",180,144,20
"43","2407285","Bier CDP"," Maryland","2020",129,129,0
"44","2407375","Big Pool CDP"," Maryland","2020",34,25,9
"45","2407400","Big Spring CDP"," Maryland","2020",22,22,0
"46","2407625","Bishopville CDP"," Maryland","2020",210,191,19
"47","2407675","Bivalve CDP"," Maryland","2020",67,32,35
"48","2407850","Bladensburg town"," Maryland","2020",3660,2962,603
