"","GEOID","Census_Tract","County","State","year","total","yes_internet","no_internet"
"1","24001000100","Census Tract 1"," Allegany County"," Maryland","2020",1575,1195,355
"2","24001000200","Census Tract 2"," Allegany County"," Maryland","2020",1128,801,308
"3","24001000500","Census Tract 5"," Allegany County"," Maryland","2020",695,489,204
"4","24001000600","Census Tract 6"," Allegany County"," Maryland","2020",1252,929,235
"5","24001000700","Census Tract 7"," Allegany County"," Maryland","2020",1443,1141,238
"6","24001000800","Census Tract 8"," Allegany County"," Maryland","2020",760,584,136
"7","24001001000","Census Tract 10"," Allegany County"," Maryland","2020",1007,665,322
"8","24001001100","Census Tract 11"," Allegany County"," Maryland","2020",623,516,77
"9","24001001200","Census Tract 12"," Allegany County"," Maryland","2020",1257,1160,87
"10","24001001300","Census Tract 13"," Allegany County"," Maryland","2020",959,818,120
"11","24001001401","Census Tract 14.01"," Allegany County"," Maryland","2020",1505,1341,145
"12","24001001402","Census Tract 14.02"," Allegany County"," Maryland","2020",788,702,86
"13","24001001502","Census Tract 15.02"," Allegany County"," Maryland","2020",877,632,221
"14","24001001503","Census Tract 15.03"," Allegany County"," Maryland","2020",764,540,198
"15","24001001600","Census Tract 16"," Allegany County"," Maryland","2020",808,698,93
"16","24001001700","Census Tract 17"," Allegany County"," Maryland","2020",1738,1439,261
"17","24001001800","Census Tract 18"," Allegany County"," Maryland","2020",1518,1318,193
"18","24001001900","Census Tract 19"," Allegany County"," Maryland","2020",1048,782,209
"19","24001002000","Census Tract 20"," Allegany County"," Maryland","2020",2308,1932,234
"20","24001002100","Census Tract 21"," Allegany County"," Maryland","2020",1293,1034,244
"21","24001002200","Census Tract 22"," Allegany County"," Maryland","2020",1493,1159,320
"22","24001002300","Census Tract 23"," Allegany County"," Maryland","2020",2530,2016,420
"23","24003701101","Census Tract 7011.01"," Anne Arundel County"," Maryland","2020",1596,1495,85
"24","24003701103","Census Tract 7011.03"," Anne Arundel County"," Maryland","2020",1618,1559,59
"25","24003701104","Census Tract 7011.04"," Anne Arundel County"," Maryland","2020",1394,1363,31
"26","24003701201","Census Tract 7012.01"," Anne Arundel County"," Maryland","2020",1366,1317,16
"27","24003701202","Census Tract 7012.02"," Anne Arundel County"," Maryland","2020",1592,1447,72
"28","24003701301","Census Tract 7013.01"," Anne Arundel County"," Maryland","2020",1379,1314,65
"29","24003701302","Census Tract 7013.02"," Anne Arundel County"," Maryland","2020",1275,1188,87
"30","24003701400","Census Tract 7014"," Anne Arundel County"," Maryland","2020",1284,1187,85
"31","24003702100","Census Tract 7021"," Anne Arundel County"," Maryland","2020",2437,2331,106
"32","24003702204","Census Tract 7022.04"," Anne Arundel County"," Maryland","2020",1558,1504,36
"33","24003702205","Census Tract 7022.05"," Anne Arundel County"," Maryland","2020",2169,2097,38
"34","24003702206","Census Tract 7022.06"," Anne Arundel County"," Maryland","2020",2478,2420,32
"35","24003702208","Census Tract 7022.08"," Anne Arundel County"," Maryland","2020",2707,2673,13
"36","24003702209","Census Tract 7022.09"," Anne Arundel County"," Maryland","2020",1323,1297,14
"37","24003702300","Census Tract 7023"," Anne Arundel County"," Maryland","2020",2097,1980,104
"38","24003702402","Census Tract 7024.02"," Anne Arundel County"," Maryland","2020",3589,3258,213
"39","24003702500","Census Tract 7025"," Anne Arundel County"," Maryland","2020",2334,2088,223
"40","24003702601","Census Tract 7026.01"," Anne Arundel County"," Maryland","2020",2197,2111,21
"41","24003702602","Census Tract 7026.02"," Anne Arundel County"," Maryland","2020",2483,2351,68
"42","24003702702","Census Tract 7027.02"," Anne Arundel County"," Maryland","2020",1428,1370,45
"43","24003702703","Census Tract 7027.03"," Anne Arundel County"," Maryland","2020",1318,1262,26
"44","24003702704","Census Tract 7027.04"," Anne Arundel County"," Maryland","2020",1184,1132,30
"45","24003706102","Census Tract 7061.02"," Anne Arundel County"," Maryland","2020",1088,886,194
"46","24003706103","Census Tract 7061.03"," Anne Arundel County"," Maryland","2020",601,586,9
"47","24003706302","Census Tract 7063.02"," Anne Arundel County"," Maryland","2020",1799,1686,80
"48","24003706303","Census Tract 7063.03"," Anne Arundel County"," Maryland","2020",1400,1228,153
"49","24003706304","Census Tract 7063.04"," Anne Arundel County"," Maryland","2020",1360,1253,46
"50","24003706402","Census Tract 7064.02"," Anne Arundel County"," Maryland","2020",1620,1373,230
"51","24003706403","Census Tract 7064.03"," Anne Arundel County"," Maryland","2020",1324,1204,120
"52","24003706404","Census Tract 7064.04"," Anne Arundel County"," Maryland","2020",882,567,8
"53","24003706500","Census Tract 7065"," Anne Arundel County"," Maryland","2020",2356,2092,180
"54","24003706600","Census Tract 7066"," Anne Arundel County"," Maryland","2020",2083,1883,162
"55","24003706700","Census Tract 7067"," Anne Arundel County"," Maryland","2020",381,361,20
"56","24003707001","Census Tract 7070.01"," Anne Arundel County"," Maryland","2020",2164,2100,64
"57","24003707002","Census Tract 7070.02"," Anne Arundel County"," Maryland","2020",1721,1577,144
"58","24003708001","Census Tract 7080.01"," Anne Arundel County"," Maryland","2020",1396,1300,87
"59","24003708004","Census Tract 7080.04"," Anne Arundel County"," Maryland","2020",2062,1624,289
"60","24003730101","Census Tract 7301.01"," Anne Arundel County"," Maryland","2020",886,863,23
"61","24003730102","Census Tract 7301.02"," Anne Arundel County"," Maryland","2020",3774,3635,85
"62","24003730204","Census Tract 7302.04"," Anne Arundel County"," Maryland","2020",2258,2134,82
"63","24003730205","Census Tract 7302.05"," Anne Arundel County"," Maryland","2020",1087,969,118
"64","24003730206","Census Tract 7302.06"," Anne Arundel County"," Maryland","2020",1469,1207,222
"65","24003730300","Census Tract 7303"," Anne Arundel County"," Maryland","2020",1147,1036,97
