OBJECTID,CSA2010,nohhint17,nohhint18,nohhint19,CSA2020,nohhint20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,30.6332842415316,27.4868247694334,24.8674619,Allendale/Irvington/S. Hilton,22.43478261,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,27.4816349595027,26.8778452200303,21.2577669,Beechfield/Ten Hills/West Hills,15.00297678,47882527.7110596,37524.9505334171
3,Belair-Edison,26.6886326194398,21.5196078431372,17.4579377,Belair-Edison,16.26858193,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,34.1425039334681,31.9275727710291,34.65996064,Brooklyn/Curtis Bay/Hawkins Point,30.37037037,176077742.748718,150987.703638771
5,Canton,9.25879079180369,8.30530401034928,6.382428941,Canton,4.981226533,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,21.2745098039215,17.6992119089317,16.43865364,Cedonia/Frankford,13.69384188,71541340.3063965,39962.5498347166
7,Cherry Hill,38.587137620793,33.8181818181818,29.61373391,Cherry Hill,30.73424301,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,17.1926660655245,13.5753508236729,10.20408163,Chinquapin Park/Belvedere,7.486136784,21022590.1307373,21705.411630344
9,Claremont/Armistead,30.3246013667426,27.7869757174392,25.46938776,Orchard Ridge/Armistead,23.20217096,61243774.4211426,40104.415980189
10,Clifton-Berea,34.8909657320872,32,32.26329442,Clifton-Berea,25.83468395,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,15.9895414320193,18.5004868549172,16.64022213,Cross-Country/Cheswolde,12.46678929,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,30.6896551724137,33.0148619957537,28.20512821,Dickeyville/Franklintown,26.7740312,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,32.4082784571966,29.5040369088811,27.5606469,Dorchester/Ashburton,22.16364403,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,11.2779824312836,8.53333333333333,7.974443919,Downtown/Seton Hill,5.085488821,20736554.4064941,21565.859394559
