"","geoid","census_tract","county","x2010_total","x2010_white","x2010_black","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_hispanic","Pct_White_2020","Pct_White_2010","White_Pct_Diff_2020"
"1","24510010100","Census Tract 101"," Baltimore city",3028,2857,115,287,3010,2627,198,117,87.28%,94.35%,-7.08%
"2","24510010200","Census Tract 102"," Baltimore city",3516,2770,539,716,3042,2707,81,97,88.99%,78.78%,10.20%
"3","24510010300","Census Tract 103"," Baltimore city",2002,1776,12,69,2341,2033,18,94,86.84%,88.71%,-1.87%
"4","24510010400","Census Tract 104"," Baltimore city",1900,1786,8,65,2920,2266,191,313,77.60%,94.00%,-16.40%
"5","24510010500","Census Tract 105"," Baltimore city",2252,1837,254,456,1919,1743,72,283,90.83%,81.57%,9.26%
"6","24510020100","Census Tract 201"," Baltimore city",2502,1810,374,772,1662,1265,222,186,76.11%,72.34%,3.77%
"7","24510020200","Census Tract 202"," Baltimore city",2187,1696,111,1072,1605,1187,221,178,73.96%,77.55%,-3.59%
"8","24510020300","Census Tract 203"," Baltimore city",3001,2357,202,143,3910,3007,364,419,76.91%,78.54%,-1.64%
"9","24510030100","Census Tract 301"," Baltimore city",2025,510,1475,86,2109,376,1678,132,17.83%,25.19%,-7.36%
"10","24510030200","Census Tract 302"," Baltimore city",2519,1109,1038,84,2659,1623,704,236,61.04%,44.03%,17.01%
"11","24510040100","Census Tract 401"," Baltimore city",2993,1793,324,173,4869,2456,1264,406,50.44%,59.91%,-9.46%
"12","24510040200","Census Tract 402"," Baltimore city",1419,684,411,43,1161,406,521,33,34.97%,48.20%,-13.23%
"13","24510060100","Census Tract 601"," Baltimore city",3128,1080,1966,400,2925,985,1365,606,33.68%,34.53%,-0.85%
"14","24510060200","Census Tract 602"," Baltimore city",2851,1263,1126,605,2973,1244,1428,308,41.84%,44.30%,-2.46%
"15","24510060300","Census Tract 603"," Baltimore city",1731,495,1170,133,1709,905,612,140,52.95%,28.60%,24.36%
"16","24510060400","Census Tract 604"," Baltimore city",1443,243,873,21,1875,612,949,57,32.64%,16.84%,15.80%
"17","24510070100","Census Tract 701"," Baltimore city",2645,53,2576,24,2569,73,2158,196,2.84%,2.00%,0.84%
"18","24510070200","Census Tract 702"," Baltimore city",3431,60,3191,263,3735,96,2989,381,2.57%,1.75%,0.82%
"19","24510070300","Census Tract 703"," Baltimore city",1163,37,1105,0,1133,45,963,95,3.97%,3.18%,0.79%
