"","place","diff_income","pct_income_chg","median_inc_2010","median_inc_2020"
"1","Hyattsville ",$25,779,47.0%,$54,839,$80,618
"2","Elkridge ",$32,516,42.7%,$76,111,$108,627
"3","Timonium ",$31,815,42.6%,$74,698,$106,513
"4","Kemp Mill ",$37,153,41.6%,$89,294,$126,447
"5","Aberdeen ",$18,613,38.9%,$47,868,$66,481
"6","Severna Park ",$41,628,37.7%,$110,341,$151,969
"7","Oxon Hill ",$24,154,37.4%,$64,564,$88,718
"8","Parole ",$30,784,36.8%,$83,571,$114,355
"9","Catonsville ",$23,860,35.3%,$67,679,$91,539
"10","Chevy Chase ",$48,773,34.0%,$143,500,$192,273
"11","Westminster ",$16,282,33.8%,$48,117,$64,399
"12","Calverton ",$24,980,33.8%,$73,997,$98,977
"13","Cumberland ",$10,261,33.5%,$30,627,$40,888
"14","Brock Hall ",$43,463,33.2%,$131,106,$174,569
"15","Baltimore ",$12,778,32.4%,$39,386,$52,164
"16","East Riverdale ",$19,203,32.1%,$59,805,$79,008
"17","Arbutus ",$18,615,31.0%,$59,983,$78,598
"18","Ballenger Creek ",$22,158,30.7%,$72,227,$94,385
"19","Havre de Grace ",$18,839,30.4%,$62,014,$80,853
"20","Silver Spring ",$20,356,30.0%,$67,918,$88,274
"21","Parkville ",$15,772,29.9%,$52,836,$68,608
"22","Summerfield ",$19,251,29.6%,$65,025,$84,276
"23","Bethesda ",$39,393,29.5%,$133,480,$172,873
"24","Cockeysville ",$16,095,29.1%,$55,322,$71,417
"25","Eldersburg ",$28,376,29.1%,$97,605,$125,981
"26","Rossville ",$17,231,28.6%,$60,206,$77,437
"27","Middle River ",$14,374,27.9%,$51,573,$65,947
"28","Wheaton ",$19,233,27.9%,$69,008,$88,241
"29","Redland ",$26,239,27.1%,$96,766,$123,005
"30","Fairland ",$17,875,27.0%,$66,212,$84,087
"31","Laurel ",$16,984,26.8%,$63,271,$80,255
"32","Brooklyn Park ",$13,948,26.6%,$52,381,$66,329
"33","Bel Air North ",$24,301,26.2%,$92,828,$117,129
"34","Glen Burnie ",$15,479,26.0%,$59,453,$74,932
"35","Seabrook ",$17,455,25.9%,$67,295,$84,750
"36","Takoma Park ",$17,259,25.9%,$66,660,$83,919
"37","Damascus ",$26,411,25.9%,$102,035,$128,446
"38","Langley Park ",$13,030,25.7%,$50,759,$63,789
"39","Halfway ",$13,804,25.6%,$53,960,$67,764
"40","Annapolis ",$17,668,25.2%,$70,229,$87,897
"41","Rockville ",$22,379,25.0%,$89,418,$111,797
"42","Towson ",$18,002,24.7%,$72,949,$90,951
"43","Lake Arbor ",$21,314,24.4%,$87,436,$108,750
"44","Lake Shore ",$21,544,23.8%,$90,396,$111,940
"45","Waldorf ",$19,407,23.6%,$82,326,$101,733
"46","Reisters ",$13,681,23.5%,$58,170,$71,851
"47","Adelphi ",$13,016,23.5%,$55,500,$68,516
"48","Crofton ",$23,466,23.3%,$100,553,$124,019
"49","Owings Mills ",$15,578,23.1%,$67,528,$83,106
"50","Bel Air South ",$18,666,22.7%,$82,158,$100,824
