"","GEOID","Place","State","year","total","yes_internet","no_internet","pct_no"
"1","2400125","Aberdeen city"," Maryland","2020",6412,5403,892,13.9114160948222
"2","2400175","Aberdeen Proving Ground CDP"," Maryland","2020",731,699,18,2.46238030095759
"3","2400200","Abingdon CDP"," Maryland","2020",1801,1781,20,1.11049416990561
"4","2400225","Accident town"," Maryland","2020",167,115,22,13.1736526946108
"5","2400250","Accokeek CDP"," Maryland","2020",4027,3761,224,5.56245343928483
"6","2400350","Adamstown CDP"," Maryland","2020",678,653,25,3.68731563421829
"7","2400400","Adelphi CDP"," Maryland","2020",4884,4460,295,6.04013104013104
"8","2400712","Algonquin CDP"," Maryland","2020",554,473,81,14.6209386281588
"9","2400800","Allen CDP"," Maryland","2020",138,138,0,0
"10","2401450","Andrews AFB CDP"," Maryland","2020",801,747,34,4.24469413233458
"11","2401600","Annapolis city"," Maryland","2020",16291,14404,1312,8.05352648701737
"12","2401635","Annapolis Neck CDP"," Maryland","2020",5304,4968,186,3.50678733031674
"13","2401750","Antietam CDP"," Maryland","2020",27,27,0,0
"14","2401925","Aquasco CDP"," Maryland","2020",287,171,86,29.9651567944251
"15","2401975","Arbutus CDP"," Maryland","2020",7581,6463,881,11.6211581585543
"16","2402025","Arden on the Severn CDP"," Maryland","2020",611,578,33,5.40098199672668
"17","2402275","Arnold CDP"," Maryland","2020",8528,8189,213,2.49765478424015
"18","2402762","Ashton-Sandy Spring CDP"," Maryland","2020",2065,1945,120,5.81113801452785
"19","2402825","Aspen Hill CDP"," Maryland","2020",16890,15241,1346,7.9692125518058
"20","2403500","Baden CDP"," Maryland","2020",565,534,29,5.13274336283186
"21","2403514","Bagtown CDP"," Maryland","2020",151,135,16,10.5960264900662
"22","2403575","Bakersville CDP"," Maryland","2020",0,0,0,NA
"23","2403800","Ballenger Creek CDP"," Maryland","2020",8270,7499,671,8.1136638452237
"24","2404000","Baltimore city"," Maryland","2020",242499,189776,42661,17.5922374937629
"25","2404050","Baltimore Highlands CDP"," Maryland","2020",2816,2072,389,13.8139204545455
"26","2404250","Barclay town"," Maryland","2020",67,52,14,20.8955223880597
"27","2404475","Barnesville town"," Maryland","2020",55,51,4,7.27272727272727
"28","2404525","Barrelville CDP"," Maryland","2020",21,16,5,23.8095238095238
"29","2404625","Barton town"," Maryland","2020",173,144,26,15.028901734104
"30","2404650","Bartonsville CDP"," Maryland","2020",568,548,14,2.46478873239437
"31","2405250","Beaver Creek CDP"," Maryland","2020",151,151,0,0
"32","2405525","Bel Air CDP"," Maryland","2020",680,513,70,10.2941176470588
"33","2405550","Bel Air town"," Maryland","2020",4758,4117,491,10.3194619588062
"34","2405825","Bel Air North CDP"," Maryland","2020",10699,10190,408,3.81344050845873
"35","2405950","Bel Air South CDP"," Maryland","2020",21135,19695,1197,5.66359119943222
"36","2406400","Beltsville CDP"," Maryland","2020",6103,4752,545,8.9300344093069
"37","2406550","Benedict CDP"," Maryland","2020",118,80,38,32.2033898305085
"38","2406662","Bensville CDP"," Maryland","2020",4441,4375,51,1.14839000225175
"39","2406800","Berlin town"," Maryland","2020",1767,1575,171,9.67741935483871
"40","2406925","Berwyn Heights town"," Maryland","2020",914,872,34,3.7199124726477
"41","2407125","Bethesda CDP"," Maryland","2020",26040,24809,650,2.49615975422427
"42","2407200","Betterton town"," Maryland","2020",180,144,20,11.1111111111111
"43","2407285","Bier CDP"," Maryland","2020",129,129,0,0
"44","2407375","Big Pool CDP"," Maryland","2020",34,25,9,26.4705882352941
"45","2407400","Big Spring CDP"," Maryland","2020",22,22,0,0
"46","2407625","Bishopville CDP"," Maryland","2020",210,191,19,9.04761904761905
"47","2407675","Bivalve CDP"," Maryland","2020",67,32,35,52.2388059701493
"48","2407850","Bladensburg town"," Maryland","2020",3660,2962,603,16.4754098360656
"49","2408050","Bloomington CDP"," Maryland","2020",85,76,9,10.5882352941176
"50","2408625","Boonsboro town"," Maryland","2020",1441,1077,267,18.52879944483
"51","2408775","Bowie city"," Maryland","2020",20822,19965,507,2.43492459898185
"52","2408800","Bowleys Quarters CDP"," Maryland","2020",2493,2275,158,6.33774568792619
"53","2408850","Bowling Green CDP"," Maryland","2020",597,541,42,7.03517587939699
"54","2408862","Bowmans Addition CDP"," Maryland","2020",259,208,42,16.2162162162162
"55","2409100","Braddock Heights CDP"," Maryland","2020",1124,1064,52,4.62633451957295
"56","2409325","Brandywine CDP"," Maryland","2020",2910,2702,119,4.0893470790378
"57","2409400","Breathedsville CDP"," Maryland","2020",93,93,0,0
"58","2409500","Brentwood town"," Maryland","2020",1045,849,151,14.4497607655502
"59","2410150","Brock Hall CDP"," Maryland","2020",3704,3599,41,1.10691144708423
"60","2410225","Brookeville town"," Maryland","2020",51,46,2,3.92156862745098
"61","2410475","Brooklyn Park CDP"," Maryland","2020",5241,4320,738,14.0812821980538
"62","2410500","Brookmont CDP"," Maryland","2020",1347,1305,25,1.85597624350408
