X.1,workorderid,date,description,address,LAT,LON,address1,,,,,,,,,,,,,,,,,,
1,1286160,1/2/24,WATER MAIN BREAK,5614 WINTHROPE AVE,39.29038,-76.61219,"5614 WINTHROPE AVE, baltimore",,,,,,,,,,,,,,,,,,
2,1286169,1/2/24,WATER MAIN BREAK,9 LOCKETT CT,39.2938979,-76.4459088,"9 LOCKETT CT, baltimore",,,,,,,,,,,,,,,,,,
3,1286170,1/2/24,WATER MAIN BREAK,5218 FREDCREST RD,39.2828919,-76.7023328,"5218 FREDCREST RD, baltimore",,,,,,,,,,,,,,,,,,
4,1286187,1/2/24,WATER MAIN BREAK,114 EMBLETON RD,39.4415484,-76.7950865,"114 EMBLETON RD, baltimore",,,,,,,,,,,,,,,,,,
5,1286207,1/3/24,WATER JOINT LEAK,4911 BRIARCLIFT RD,39.2940821,-76.7057109,"4911 BRIARCLIFT RD, baltimore",,,,,,,,,,,,,,,,,,
6,1286208,1/3/24,WATER JOINT LEAK,2200 EASTRIDGE RD,39.44633,-76.615571,"2200 EASTRIDGE RD, baltimore",,,,,,,,,,,,,,,,,,
7,1286235,1/3/24,WATER MAIN BREAK,9831 FORGE PARK RD,39.4201483,-76.4464652,"9831 FORGE PARK RD, baltimore",,,,,,,,,,,,,,,,,,
8,1286244,1/3/24,WATER MAIN BREAK,222 NORTH CALVERTON RD,39.2908627,-76.6586104,"222 NORTH CALVERTON RD, baltimore",,,,,,,,,,,,,,,,,,
9,1286258,1/3/24,WATER MAIN BREAK,8217 MARCIE DR,39.3990088,-76.700165,"8217 MARCIE DR, baltimore",,,,,,,,,,,,,,,,,,
10,1286279,1/3/24,WATER MAIN BREAK,8317 TALLY HO RD,39.420028,-76.6572251,"8317 TALLY HO RD, baltimore",,,,,,,,,,,,,,,,,,
11,1286329,1/3/24,WATER JOINT LEAK,4614 FINDLAY RD,39.330361,-76.5589813,"4614 FINDLAY RD, baltimore",,,,,,,,,,,,,,,,,,
12,1286373,1/3/24,WATER JOINT LEAK,608 DALE AVE,39.3505705,-76.5218693,"608 DALE AVE, baltimore",,,,,,,,,,,,,,,,,,
13,1286378,1/3/24,WATER MAIN BREAK,MANNASOTA AVE AND DUDLEY AVE,39.29038,-76.61219,"MANNASOTA AVE AND DUDLEY AVE, baltimore",,,,,,,,,,,,,,,,,,
14,1286403,1/3/24,WATER MAIN BREAK,3202 ELMLEY AVE,39.3171802,-76.5781012,"3202 ELMLEY AVE, baltimore",,,,,,,,,,,,,,,,,,
15,1286413,1/3/24,WATER MAIN BREAK,514 NORTH FREMONT AVE,39.2952592,-76.6325188,"514 NORTH FREMONT AVE, baltimore",,,,,,,,,,,,,,,,,,
16,1286448,1/3/24,WATER MAIN BREAK,WILLOW AVE AND DORY LN,39.29038,-76.61219,"WILLOW AVE AND DORY LN, baltimore",,,,,,,,,,,,,,,,,,
17,1286449,1/3/24,WATER MAIN BREAK,3902 SETONHURST RD,39.3700185,-76.7669416,"3902 SETONHURST RD, baltimore",,,,,,,,,,,,,,,,,,
18,1286485,1/4/24,WATER MAIN BREAK,4434 FALLS RD,39.3428573,-76.6405779,"4434 FALLS RD, baltimore",,,,,,,,,,,,,,,,,,
19,1286502,1/4/24,WATER MAIN BREAK,1308 MIDMEADOW RD TOWSON,39.4215793,-76.5646929,"1308 MIDMEADOW RD TOWSON, baltimore",,,,,,,,,,,,,,,,,,
20,1286572,1/4/24,WATER JOINT LEAK,SHAMROCK AVE KAVON AVE,39.29038,-76.61219,"SHAMROCK AVE KAVON AVE, baltimore",,,,,,,,,,,,,,,,,,
21,1286608,1/4/24,WATER MAIN BREAK,STEVENSON RD GARDENVIEW RD,39.29038,-76.61219,"STEVENSON RD GARDENVIEW RD, baltimore",,,,,,,,,,,,,,,,,,
22,1286641,1/4/24,WATER MAIN BREAK,4604 ARABIA AVE,39.3410357,-76.5669437,"4604 ARABIA AVE, baltimore",,,,,,,,,,,,,,,,,,
23,1286783,1/4/24,WATER JOINT LEAK,REISTERSTOWN RD BOARMAN AVE,39.29038,-76.61219,"REISTERSTOWN RD BOARMAN AVE, baltimore",,,,,,,,,,,,,,,,,,
24,1286804,1/4/24,WATER MAIN BREAK,2041 EAST FAIRMOUNT AVE,39.2926787,-76.5880109,"2041 EAST FAIRMOUNT AVE, baltimore",,,,,,,,,,,,,,,,,,
25,1286811,1/4/24,WATER MAIN BREAK,107 EAST PRESTON ST,39.3044517,-76.6138527,"107 EAST PRESTON ST, baltimore",,,,,,,,,,,,,,,,,,
26,1286812,1/4/24,WATER MAIN BREAK,4234 PARKSIDE DR,39.3269723,-76.5645803,"4234 PARKSIDE DR, baltimore",,,,,,,,,,,,,,,,,,
27,1287183,1/5/24,WATER JOINT LEAK,3423 PHILIPS DR,39.3935374,-76.7069652,"3423 PHILIPS DR, baltimore",,,,,,,,,,,,,,,,,,
28,1287185,1/5/24,WATER JOINT LEAK,28 WOODHOLME AVE,39.3848889,-76.7383322,"28 WOODHOLME AVE, baltimore",,,,,,,,,,,,,,,,,,
29,1287407,1/6/24,WATER MAIN BREAK,33 GREENWOOD AVE,39.352069,-76.5180242,"33 GREENWOOD AVE, baltimore",,,,,,,,,,,,,,,,,,
30,1287448,1/7/24,WATER MAIN BREAK,1524 NORTH BOND ST,39.3079862,-76.597039,"1524 NORTH BOND ST, baltimore",,,,,,,,,,,,,,,,,,
31,1287465,1/7/24,WATER MAIN BREAK,1732 BEECHWOOD AVE,39.2558516,-76.4365435,"1732 BEECHWOOD AVE, baltimore",,,,,,,,,,,,,,,,,,
32,1287468,1/7/24,WATER MAIN BREAK,240 SOUTH GILMOR ST,39.2845415,-76.6423522,"240 SOUTH GILMOR ST, baltimore",,,,,,,,,,,,,,,,,,
33,1287483,1/7/24,WATER MAIN BREAK,2 HEDGEFORD CT,39.3859909,-76.4833472,"2 HEDGEFORD CT, baltimore",,,,,,,,,,,,,,,,,,
34,1287485,1/7/24,WATER MAIN BREAK,8112 ARROWHEAD RD,39.3696202,-76.7557026,"8112 ARROWHEAD RD, baltimore",,,,,,,,,,,,,,,,,,
35,1287486,1/7/24,WATER MAIN BREAK,820 WEDGEWOOD RD,39.2947008,-76.7067658,"820 WEDGEWOOD RD, baltimore",,,,,,,,,,,,,,,,,,
36,1287503,1/8/24,WATER MAIN BREAK,3515 EAST JOPPA RD,39.4020201,-76.5995829,"3515 EAST JOPPA RD, baltimore",,,,,,,,,,,,,,,,,,
37,1287607,1/8/24,WATER MAIN BREAK,4423 TODD POINT LN,39.2557553,-76.4532228,"4423 TODD POINT LN, baltimore",,,,,,,,,,,,,,,,,,
38,1287661,1/8/24,WATER MAIN BREAK,321 TUSCANY RD,39.3400946,-76.6249447,"321 TUSCANY RD, baltimore",,,,,,,,,,,,,,,,,,
39,1287743,1/8/24,WATER MAIN BREAK,BOARMAN AVE AND REISTERSTOWN RD,39.29038,-76.61219,"BOARMAN AVE AND REISTERSTOWN RD, baltimore",,,,,,,,,,,,,,,,,,
40,1287890,1/9/24,WATER MAIN BREAK,2 HEDGEFORD CT,39.3859909,-76.4833472,"2 HEDGEFORD CT, baltimore",,,,,,,,,,,,,,,,,,
41,1287957,1/9/24,WATER MAIN BREAK,607 REST AVE,39.2779766,-76.7817986,"607 REST AVE, baltimore",,,,,,,,,,,,,,,,,,
42,1288326,1/10/24,WATER MAIN BREAK,933 ELM RIDGE AVE,39.2640151,-76.6960869,"933 ELM RIDGE AVE, baltimore",,,,,,,,,,,,,,,,,,
43,1288452,1/10/24,WATER MAIN BREAK,119 NORTH FULTON AVE,39.2901953,-76.645233,"119 NORTH FULTON AVE, baltimore",,,,,,,,,,,,,,,,,,
44,1288457,1/10/24,WATER MAIN BREAK,2500 BLK ORLEANS ST,39.29038,-76.61219,"2500 BLK ORLEANS ST, baltimore",,,,,,,,,,,,,,,,,,
45,1288459,1/10/24,WATER MAIN BREAK,6 SPARROW HILL CT,39.2977862,-76.7570989,"6 SPARROW HILL CT, baltimore",,,,,,,,,,,,,,,,,,
46,1288470,1/10/24,WATER MAIN BREAK,5721 2ND AVE,39.2371571,-76.6936473,"5721 2ND AVE, baltimore",,,,,,,,,,,,,,,,,,
47,1288481,1/10/24,WATER MAIN BREAK,HOMESTEAD SAINT AND KIRK AVE,39.29038,-76.61219,"HOMESTEAD SAINT AND KIRK AVE, baltimore",,,,,,,,,,,,,,,,,,
48,1288508,1/10/24,WATER MAIN BREAK,1217 OAK CROFT DR,39.29038,-76.61219,"1217 OAK CROFT DR, baltimore",,,,,,,,,,,,,,,,,,
49,1288518,1/10/24,WATER MAIN BREAK,4917 LANIER AVE,39.350033,-76.6618628,"4917 LANIER AVE, baltimore",,,,,,,,,,,,,,,,,,
50,1288533,1/11/24,WATER MAIN BREAK,1831 HANFORD RD,39.3381684,-76.5076335,"1831 HANFORD RD, baltimore",,,,,,,,,,,,,,,,,,
51,1288549,1/11/24,WATER MAIN BREAK,KAVON AVE AND SHAMROCK AVE,39.29038,-76.61219,"KAVON AVE AND SHAMROCK AVE, baltimore",,,,,,,,,,,,,,,,,,
52,1288568,1/11/24,WATER MAIN BREAK,2983 FALLS RD,39.322981,-76.6299837,"2983 FALLS RD, baltimore",,,,,,,,,,,,,,,,,,
53,1288576,1/11/24,WATER MAIN BREAK,4909 BRIARCLIFT RD,39.2941862,-76.7055867,"4909 BRIARCLIFT RD, baltimore",,,,,,,,,,,,,,,,,,
54,1288609,1/11/24,WATER MAIN BREAK,16 STRABANE CT,39.4127097,-76.5308097,"16 STRABANE CT, baltimore",,,,,,,,,,,,,,,,,,
55,1288669,1/11/24,WATER MAIN BREAK,2300 WEST BALTIMORE ST,39.2880435,-76.6530202,"2300 WEST BALTIMORE ST, baltimore",,,,,,,,,,,,,,,,,,
56,1288680,1/11/24,WATER JOINT LEAK,1031 METFIELD RD,39.4121622,-76.5643808,"1031 METFIELD RD, baltimore",,,,,,,,,,,,,,,,,,
57,1288814,1/12/24,WATER MAIN BREAK,HOMESTEAD SAINT AND KIRK AVE,39.29038,-76.61219,"HOMESTEAD SAINT AND KIRK AVE, baltimore",,,,,,,,,,,,,,,,,,
58,1288927,1/12/24,WATER JOINT LEAK,1008 TIMBER TRAIL RD,39.4214324,-76.5613854,"1008 TIMBER TRAIL RD, baltimore",,,,,,,,,,,,,,,,,,
59,1288969,1/12/24,WATER JOINT LEAK,2014 HILLENWOOD RD,39.3539182,-76.5794613,"2014 HILLENWOOD RD, baltimore",,,,,,,,,,,,,,,,,,
60,1288973,1/12/24,WATER MAIN BREAK,1112 MIDDLEBOROUGH RD,39.2981467,-76.4487075,"1112 MIDDLEBOROUGH RD, baltimore",,,,,,,,,,,,,,,,,,
61,1288982,1/12/24,WATER MAIN BREAK,2017 HILLENWOOD RD,39.3536067,-76.5797778,"2017 HILLENWOOD RD, baltimore",,,,,,,,,,,,,,,,,,
62,1288999,1/13/24,WATER MAIN BREAK,20 YORKWAY,39.2651285,-76.5256954,"20 YORKWAY, baltimore",,,,,,,,,,,,,,,,,,
63,1289025,1/13/24,WATER MAIN BREAK,10 FOX KNOLL CT,39.4436245,-76.6051106,"10 FOX KNOLL CT, baltimore",,,,,,,,,,,,,,,,,,
64,1289058,1/14/24,WATER MAIN BREAK,5115 FREDERICK AVE,39.2809496,-76.6996644,"5115 FREDERICK AVE, baltimore",,,,,,,,,,,,,,,,,,
65,1289064,1/14/24,WATER MAIN BREAK,103 NORTH PAYSON ST,39.2898122,-76.6485602,"103 NORTH PAYSON ST, baltimore",,,,,,,,,,,,,,,,,,
66,1289083,1/14/24,WATER MAIN BREAK,417 DEACON BROOK CIR,39.4607261,-76.8104909,"417 DEACON BROOK CIR, baltimore",,,,,,,,,,,,,,,,,,
67,1289089,1/14/24,WATER MAIN BREAK,2203 KRONE CT,39.3252037,-76.7286094,"2203 KRONE CT, baltimore",,,,,,,,,,,,,,,,,,
68,1289197,1/15/24,WATER MAIN BREAK,417 DEACON BROOK CIR,39.4607261,-76.8104909,"417 DEACON BROOK CIR, baltimore",,,,,,,,,,,,,,,,,,
69,1289350,1/15/24,WATER MAIN BREAK,9403 JODALE RD,39.3808954,-76.8070833,"9403 JODALE RD, baltimore",,,,,,,,,,,,,,,,,,
70,1290410,1/17/24,WATER MAIN BREAK,4106 WINDRIDGE RD,39.3753628,-76.7604099,"4106 WINDRIDGE RD, baltimore",,,,,,,,,,,,,,,,,,
71,1290483,1/17/24,WATER MAIN BREAK,6103 FALLS RD,39.3763049,-76.6507176,"6103 FALLS RD, baltimore",,,,,,,,,,,,,,,,,,
72,1290493,1/17/24,WATER MAIN BREAK,1518 WILLIAM ST,39.2723325,-76.6101091,"1518 WILLIAM ST, baltimore",,,,,,,,,,,,,,,,,,
73,1290516,1/17/24,WATER MAIN BREAK,3804 ECHODALE AVE,39.3421383,-76.5552827,"3804 ECHODALE AVE, baltimore",,,,,,,,,,,,,,,,,,
74,1290519,1/18/24,WATER MAIN BREAK,2211 WEST LAFAYETTE AVE,39.2983153,-76.6529078,"2211 WEST LAFAYETTE AVE, baltimore",,,,,,,,,,,,,,,,,,
75,1290520,1/18/24,WATER MAIN BREAK,113 NORTH FULTON AVE,39.2901122,-76.6450498,"113 NORTH FULTON AVE, baltimore",,,,,,,,,,,,,,,,,,
76,1290523,1/18/24,WATER MAIN BREAK,SOUTH NORRIS SAINT AND HOLLINS ST,39.29038,-76.61219,"SOUTH NORRIS SAINT AND HOLLINS ST, baltimore",,,,,,,,,,,,,,,,,,
77,1290553,1/18/24,WATER MAIN BREAK,3695 KENYON AVE,39.3176102,-76.5623858,"3695 KENYON AVE, baltimore",,,,,,,,,,,,,,,,,,
78,1290581,1/18/24,WATER MAIN BREAK,745 WEATHERBEE RD,39.3868453,-76.5964037,"745 WEATHERBEE RD, baltimore",,,,,,,,,,,,,,,,,,
79,1290586,1/18/24,WATER MAIN BREAK,330 WEST 24TH ST,39.3163969,-76.6217729,"330 WEST 24TH ST, baltimore",,,,,,,,,,,,,,,,,,
80,1290616,1/18/24,WATER MAIN BREAK,EAST FAIRMOUNT AVE AND NORTH BROADWAY,39.29038,-76.61219,"EAST FAIRMOUNT AVE AND NORTH BROADWAY, baltimore",,,,,,,,,,,,,,,,,,
81,1290678,1/18/24,WATER MAIN BREAK,SHERWOOD AVE AND YORKWOOD RD,39.29038,-76.61219,"SHERWOOD AVE AND YORKWOOD RD, baltimore",,,,,,,,,,,,,,,,,,
82,1290746,1/18/24,WATER JOINT LEAK,3681 KENYON AVE,39.3178733,-76.562464,"3681 KENYON AVE, baltimore",,,,,,,,,,,,,,,,,,
83,1291084,1/19/24,WATER MAIN BREAK,4131 THE ALAMEDA,39.3414746,-76.5997347,"4131 THE ALAMEDA, baltimore",,,,,,,,,,,,,,,,,,
84,1291085,1/19/24,WATER MAIN BREAK,3228 TARTARIAN CT,39.2356262,-76.6540696,"3228 TARTARIAN CT, baltimore",,,,,,,,,,,,,,,,,,
85,1291087,1/19/24,WATER MAIN BREAK,3900 BLK MONDAWMIN AVE,39.29038,-76.61219,"3900 BLK MONDAWMIN AVE, baltimore",,,,,,,,,,,,,,,,,,
86,1291218,1/19/24,WATER MAIN BREAK,4025 STARBROOK RD,39.3784057,-76.7797192,"4025 STARBROOK RD, baltimore",,,,,,,,,,,,,,,,,,
87,1291277,1/19/24,WATER MAIN BREAK,6309 PIONEER DR,39.3635987,-76.5720919,"6309 PIONEER DR, baltimore",,,,,,,,,,,,,,,,,,
88,1291454,1/19/24,WATER MAIN BREAK,224 TUNBRIDGE RD,39.3561788,-76.6172044,"224 TUNBRIDGE RD, baltimore",,,,,,,,,,,,,,,,,,
89,1291829,1/20/24,WATER MAIN BREAK,1324 HAUBERT ST,39.2712697,-76.59342,"1324 HAUBERT ST, baltimore",,,,,,,,,,,,,,,,,,
90,1291843,1/20/24,WATER MAIN BREAK,2301 MOSHER ST,39.2993949,-76.6539882,"2301 MOSHER ST, baltimore",,,,,,,,,,,,,,,,,,
91,1291846,1/20/24,WATER MAIN BREAK,511 THORNFIELD RD,39.2761738,-76.692885,"511 THORNFIELD RD, baltimore",,,,,,,,,,,,,,,,,,
92,1291856,1/20/24,WATER MAIN BREAK,1000 PINE HEIGHTS AVE,39.2709818,-76.6766126,"1000 PINE HEIGHTS AVE, baltimore",,,,,,,,,,,,,,,,,,
93,1291857,1/20/24,WATER MAIN BREAK,1319 SOUTHVIEW RD,39.3407249,-76.5945472,"1319 SOUTHVIEW RD, baltimore",,,,,,,,,,,,,,,,,,
94,1291861,1/20/24,WATER MAIN BREAK,1103 CAWDOR CT,39.4118708,-76.5736355,"1103 CAWDOR CT, baltimore",,,,,,,,,,,,,,,,,,
95,1291862,1/20/24,WATER MAIN BREAK,3 LOVEBIRD CT,39.4145311,-76.4741233,"3 LOVEBIRD CT, baltimore",,,,,,,,,,,,,,,,,,
96,1291864,1/20/24,WATER MAIN BREAK,320 PRESWAY RD,39.4440347,-76.6441115,"320 PRESWAY RD, baltimore",,,,,,,,,,,,,,,,,,
97,1291868,1/20/24,WATER MAIN BREAK,909 BEAVERBANK CIR,39.4017391,-76.5820042,"909 BEAVERBANK CIR, baltimore",,,,,,,,,,,,,,,,,,
98,1291879,1/20/24,WATER MAIN BREAK,9111 KILBRIDE RD,39.3957367,-76.4588069,"9111 KILBRIDE RD, baltimore",,,,,,,,,,,,,,,,,,
99,1291882,1/20/24,WATER MAIN BREAK,939 NORTH CENTRAL AVE,39.3013445,-76.6000959,"939 NORTH CENTRAL AVE, baltimore",,,,,,,,,,,,,,,,,,
100,1291884,1/20/24,WATER MAIN BREAK,500 HOLTZMAN CT,39.285296,-76.584596,"500 HOLTZMAN CT, baltimore",,,,,,,,,,,,,,,,,,
101,1291889,1/20/24,WATER MAIN BREAK,2605 BRENDAN AVE,39.3258636,-76.575826,"2605 BRENDAN AVE, baltimore",,,,,,,,,,,,,,,,,,
102,1291896,1/21/24,WATER MAIN BREAK,4509 FULLERTON AVE,39.3582945,-76.517891,"4509 FULLERTON AVE, baltimore",,,,,,,,,,,,,,,,,,
103,1291899,1/21/24,WATER MAIN BREAK,KAVON AVE AND SEIDEL AVE,39.29038,-76.61219,"KAVON AVE AND SEIDEL AVE, baltimore",,,,,,,,,,,,,,,,,,
104,1291900,1/21/24,WATER MAIN BREAK,24 LOCUST DR,39.2685834,-76.7375078,"24 LOCUST DR, baltimore",,,,,,,,,,,,,,,,,,
105,1291902,1/21/24,WATER MAIN BREAK,24 LOCUST DR,39.2685834,-76.7375078,"24 LOCUST DR, baltimore",,,,,,,,,,,,,,,,,,
106,1291907,1/21/24,WATER MAIN BREAK,205 PURLINGTON RD,39.4337497,-76.6111632,"205 PURLINGTON RD, baltimore",,,,,,,,,,,,,,,,,,
107,1291909,1/21/24,WATER MAIN BREAK,6000 STUART AVE,39.3636922,-76.6781616,"6000 STUART AVE, baltimore",,,,,,,,,,,,,,,,,,
108,1291914,1/21/24,WATER MAIN BREAK,2300 MOSHER ST,39.2997842,-76.654014,"2300 MOSHER ST, baltimore",,,,,,,,,,,,,,,,,,
109,1291924,1/21/24,WATER MAIN BREAK,1328 WEST LANVALE ST,39.2980163,-76.6399201,"1328 WEST LANVALE ST, baltimore",,,,,,,,,,,,,,,,,,
110,1291930,1/21/24,WATER MAIN BREAK,800 NORTH MONROE ST,39.2979062,-76.647684,"800 NORTH MONROE ST, baltimore",,,,,,,,,,,,,,,,,,
111,1291937,1/21/24,WATER MAIN BREAK,3061 OAK FOREST DR,39.3743509,-76.5360624,"3061 OAK FOREST DR, baltimore",,,,,,,,,,,,,,,,,,
112,1291939,1/21/24,WATER MAIN BREAK,4300 EAST LOMBARD ST,39.2918193,-76.5607532,"4300 EAST LOMBARD ST, baltimore",,,,,,,,,,,,,,,,,,
113,1291943,1/21/24,WATER MAIN BREAK,8418 KAVANAGH RD,39.2582728,-76.4855898,"8418 KAVANAGH RD, baltimore",,,,,,,,,,,,,,,,,,
114,1291949,1/21/24,WATER MAIN BREAK,PREAKNESS WAY AND WEST NORTHERN PKWY,39.29038,-76.61219,"PREAKNESS WAY AND WEST NORTHERN PKWY, baltimore",,,,,,,,,,,,,,,,,,
115,1291950,1/21/24,WATER MAIN BREAK,4800 GREENCREST RD,39.3218153,-76.5388331,"4800 GREENCREST RD, baltimore",,,,,,,,,,,,,,,,,,
116,1291956,1/22/24,WATER MAIN BREAK,408 ANNETTA RD,39.3034004,-76.4310349,"408 ANNETTA RD, baltimore",,,,,,,,,,,,,,,,,,
117,1291958,1/22/24,WATER MAIN BREAK,334 RIDGE AVE,39.395174,-76.5942768,"334 RIDGE AVE, baltimore",,,,,,,,,,,,,,,,,,
118,1291977,1/22/24,WATER MAIN BREAK,250 NORTH FRANKLINTOWN RD,39.2919517,-76.6619952,"250 NORTH FRANKLINTOWN RD, baltimore",,,,,,,,,,,,,,,,,,
119,1292018,1/22/24,WATER MAIN BREAK,5003 CEDAR AVE,39.2276887,-76.7040186,"5003 CEDAR AVE, baltimore",,,,,,,,,,,,,,,,,,
120,1292021,1/22/24,WATER MAIN BREAK,FALKIRK RD AND SHERWOOD AVE,39.29038,-76.61219,"FALKIRK RD AND SHERWOOD AVE, baltimore",,,,,,,,,,,,,,,,,,
121,1292051,1/22/24,WATER MAIN BREAK,1200 WALTERS AVE,39.3598357,-76.5940677,"1200 WALTERS AVE, baltimore",,,,,,,,,,,,,,,,,,
122,1292059,1/22/24,WATER MAIN BREAK,6208 EASTBOURNE AVE,39.2732529,-76.5397307,"6208 EASTBOURNE AVE, baltimore",,,,,,,,,,,,,,,,,,
123,1292067,1/22/24,WATER MAIN BREAK,6818 NAVAJO DR,39.3781568,-76.6854992,"6818 NAVAJO DR, baltimore",,,,,,,,,,,,,,,,,,
124,1292133,1/22/24,WATER MAIN BREAK,3301 EASTERN BLVD,39.337216,-76.405686,"3301 EASTERN BLVD, baltimore",,,,,,,,,,,,,,,,,,
125,1292149,1/22/24,WATER MAIN BREAK,9304 CARNEY RD,39.3903004,-76.5260254,"9304 CARNEY RD, baltimore",,,,,,,,,,,,,,,,,,
126,1292151,1/22/24,WATER MAIN BREAK,NORTH CHARLES SAINT AND EAST MOUNT ROYAL ST,39.29038,-76.61219,"NORTH CHARLES SAINT AND EAST MOUNT ROYAL ST, baltimore",,,,,,,,,,,,,,,,,,
127,1292155,1/22/24,WATER JOINT LEAK,3 LOVEBIRD CT,39.4145311,-76.4741233,"3 LOVEBIRD CT, baltimore",,,,,,,,,,,,,,,,,,
128,1292160,1/22/24,WATER MAIN BREAK,13 BANGERT AVE,39.4111422,-76.4256648,"13 BANGERT AVE, baltimore",,,,,,,,,,,,,,,,,,
129,1292170,1/22/24,WATER MAIN BREAK,4260 FALLS RD,39.3408934,-76.6396332,"4260 FALLS RD, baltimore",,,,,,,,,,,,,,,,,,
130,1292186,1/22/24,WATER MAIN BREAK,801 OLDHAM ST,39.2839069,-76.5552961,"801 OLDHAM ST, baltimore",,,,,,,,,,,,,,,,,,
131,1292205,1/22/24,WATER MAIN BREAK,1831 NORTH GAY ST,39.3118655,-76.5846985,"1831 NORTH GAY ST, baltimore",,,,,,,,,,,,,,,,,,
132,1292220,1/22/24,WATER MAIN BREAK,2670 KENNEDY AVE,39.3218357,-76.5960275,"2670 KENNEDY AVE, baltimore",,,,,,,,,,,,,,,,,,
133,1292242,1/22/24,WATER MAIN BREAK,2700 BLK KIRK AVE,39.29038,-76.61219,"2700 BLK KIRK AVE, baltimore",,,,,,,,,,,,,,,,,,
134,1292303,1/22/24,WATER MAIN BREAK,3000 PRESBURY ST,39.3073081,-76.6675837,"3000 PRESBURY ST, baltimore",,,,,,,,,,,,,,,,,,
135,1292306,1/22/24,WATER MAIN BREAK,HAMPNETT AVE AND MARKLEY AVE,39.29038,-76.61219,"HAMPNETT AVE AND MARKLEY AVE, baltimore",,,,,,,,,,,,,,,,,,
136,1292315,1/22/24,WATER MAIN BREAK,1902 FOREST CT,39.4353605,-76.6155903,"1902 FOREST CT, baltimore",,,,,,,,,,,,,,,,,,
137,1292316,1/22/24,WATER MAIN BREAK,1737 NORTH BRADFORD ST,39.3106852,-76.5849926,"1737 NORTH BRADFORD ST, baltimore",,,,,,,,,,,,,,,,,,
138,1292317,1/22/24,WATER MAIN BREAK,2102 REUTER RD,39.4412492,-76.6149431,"2102 REUTER RD, baltimore",,,,,,,,,,,,,,,,,,
139,1292325,1/22/24,WATER MAIN BREAK,7202 CHAMBERLAIN RD,39.3157087,-76.7599085,"7202 CHAMBERLAIN RD, baltimore",,,,,,,,,,,,,,,,,,
140,1292339,1/22/24,WATER MAIN BREAK,3111 CEDARHURST RD,39.3421989,-76.5677796,"3111 CEDARHURST RD, baltimore",,,,,,,,,,,,,,,,,,
141,1292347,1/22/24,WATER MAIN BREAK,3700 TUDOR ARMS AVE,39.3331013,-76.6259997,"3700 TUDOR ARMS AVE, baltimore",,,,,,,,,,,,,,,,,,
142,1292350,1/22/24,WATER MAIN BREAK,901 EAST 25TH ST,39.3177693,-76.6010029,"901 EAST 25TH ST, baltimore",,,,,,,,,,,,,,,,,,
143,1292353,1/22/24,WATER MAIN BREAK,402 BRYANSTONE RD,39.4472244,-76.7982418,"402 BRYANSTONE RD, baltimore",,,,,,,,,,,,,,,,,,
144,1292358,1/22/24,WATER MAIN BREAK,9500 OLD HARFORD RD,39.41611,-76.521841,"9500 OLD HARFORD RD, baltimore",,,,,,,,,,,,,,,,,,
145,1292363,1/23/24,WATER MAIN BREAK,114 EAST EAGER ST,39.3012353,-76.613396,"114 EAST EAGER ST, baltimore",,,,,,,,,,,,,,,,,,
146,1292371,1/23/24,WATER MAIN BREAK,3563 WILKENS AVE,39.2710982,-76.6786996,"3563 WILKENS AVE, baltimore",,,,,,,,,,,,,,,,,,
